0	Index      	 *	Score 	Summary	Detail	
1	16323 13145	 * 	214.66	DCR|4VULN|1AART|1ASPD|1DUR	1RMIN|2AART|3569VULN|46LIT|6BPWR|7RCR|8DUR|aASPD
2	33536 21532	 * 	213.74	DCR|3VULN|1AART|1ASPD|1DMG|1AAC|1DUR	178VULN|2AAC|3RPLT|4DUR|5ASPD|6RCR|9DMG|aAART
3	51521 36131	 * 	209.28	DCR|3VULN|3DMG|1CDMG	1CGEN|258VULN|3RPLT|459DMG|5BPWR|6MLV|7RCR|aCDMG
4	35533 13321	 * 	208.52	DCR|4VULN|2ASPD|1CDMG|1DUR	1567VULN|2DUR|37ASPD|47LIT|7BPWR|8CGEN|9CDMG|aRCR
5	31224 31541	 * 	207.59	DCR|3VULN|2DMG|1ASPD|1CDMG	134VULN|2DMSP|56DMG|7AME|8ASPD|9CDMG|aRCR
6	31224 33341	   	207.59	DCR|3VULN|2DMG|1ASPD|1CDMG	134VULN|2DMSP|56DMG|7ASPD|8CGEN|9CDMG|aRCR
7	16323 13535	   	206.36	DCR|4VULN|1AART|1ASPD	1RMIN|2AART|3568VULN|46LIT|6BPWR|7RCR|9BEXP|aASPD
8	32633 31516	 * 	206.23	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	16VULN|2BEXP|3DUR|4DMG|5MLV|79ASPD|8RCR|aAART
9	51623 13413	 * 	206.22	DCR|4VULN|1SPLARM|1MDPS|1AART	1CGEN|2569VULN|3AART|46LIT|6BPWR|7RCR|8SPLARM|aMDPS
10	31215 33541	 * 	205.95	DCR|4VULN|1ASPD|1DMG|1CDMG	1357VULN|2DMSP|45AME|5BPWR|6DMG|8ASPD|9CDMG|aRCR
11	31224 21541	   	205.85	DCR|4VULN|1ASPD|1DMG|1CDMG	1346VULN|2DMSP|5DMG|7AME|8ASPD|9CDMG|aRCR
12	31224 23341	   	205.85	DCR|4VULN|1ASPD|1DMG|1CDMG	1346VULN|2DMSP|5DMG|7ASPD|8CGEN|9CDMG|aRCR
13	16323 13143	   	204.93	DCR|4VULN|1AART|1ZMB|1DUR	1RMIN|2AART|3569VULN|46LIT|6BPWR|7RCR|8DUR|aZMB
14	16323 43143	   	204.83	DCR|4VULN|1AART|1ZMB|1DUR	1RMIN|2AART|3569VULN|4LIT|7RCR|8DUR|aZMB
15	16132 14832	 * 	204.35	3VULN|1SPLARM|2DMG|1AART|2CDMG|1ASPD	1RMIN|2AART|3MBVNT|48aVULN|5ASPD|68CDMG|78DMG|8BPWR|9SPLARM
16	16323 11345	   	204.26	DCR|4VULN|1AART|1ASPD	1RMIN|2AART|3569VULN|46LIT|6BPWR|7DUST|8RCR|aASPD
17	33536 21142	   	204.01	DCR|3VULN|1AART|1ASPD|1AAC|1ZMB|1DUR	179VULN|2AAC|3RPLT|4DUR|5ASPD|6RCR|8ZMB|aAART
18	33536 21522	   	204.01	DCR|3VULN|1AART|1ASPD|1AAC|1ZMB|1DUR	178VULN|2AAC|3RPLT|4DUR|5ASPD|6RCR|9ZMB|aAART
19	34142 34145	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	146VULN|2MBVNT|3DMSP|5BEXP|7RCR|8DMG|9ASPD|aAART
20	22535 22363	   	202.99	DCR|4VULN|2ASPD|1CDMG	1FEWX|2567VULN|35ASPD|4RCVC|5BPWR|8RPLT|9CDMG|aRCR
21	22512 22145	   	202.47	DCR|4VULN|2ASPD|1CDMG	1FEWX|2467VULN|38ASPD|5RCVC|9CDMG|aRCR
22	16323 13516	 * 	202.27	DCR|4VULN|2AART	1RMIN|2aAART|3568VULN|46LIT|6BPWR|7RCR|9TLV
23	34143 34174	   	202.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	146VULN|2MBVNT|3DMSP|5DUR|7RCR|8DMG|9ZMB|aAART
24	34614 31642	   	201.71	DCR|4VULN|1ASPD|1DMG|1DUR	145aVULN|2MBVNT|3ASPD|6DUST|7DUR|8RCR|9DMG
25	33536 21412	   	201.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1AAC	17VULN|2AAC|3RPLT|49DUR|5ASPD|6RCR|8DMG|aAART
26	33536 22532	   	201.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1AAC	18VULN|2AAC|3RPLT|47DUR|5ASPD|6RCR|9DMG|aAART
27	12636 23353	 * 	200.57	DCR|2VULN|1MDPS|2DMG|2ASPD|1NUKE	1RMIN|2MDPS|3aVULN|4aDMG|5BEXP|6ERES|7RCR|8aASPD|9NUKE|aBPWR
28	16323 13416	 * 	200.55	DCR|5VULN|1AART	1RMIN|2AART|3569aVULN|46LIT|6BPWR|7RCR|8VENFST
29	32533 13321	   	200.21	DCR|4VULN|2ASPD|1CDMG	1567VULN|2BEXP|37ASPD|47LIT|7BPWR|8CGEN|9CDMG|aRCR
30	22515 12363	   	200.11	DCR|4VULN|2ASPD|1CDMG	16FEWX|2457VULN|35ASPD|5BPWR|8RPLT|9CDMG|aRCR
31	22145 22363	   	200.11	DCR|4VULN|2ASPD|1CDMG	1FEWX|2567VULN|3DMSP|45ASPD|5BPWR|8RPLT|9CDMG|aRCR
32	22245 22363	   	200.11	DCR|4VULN|2ASPD|1CDMG	13FEWX|2567VULN|45ASPD|5BPWR|8RPLT|9CDMG|aRCR
33	22525 22363	   	200.11	DCR|4VULN|2ASPD|1CDMG	14FEWX|2567VULN|35ASPD|5BPWR|8RPLT|9CDMG|aRCR
34	16323 13525	   	199.97	DCR|4VULN|1AART|1AAC|1ZMB	1RMIN|2AART|3568VULN|46LIT|6BPWR|7RCR|9ZMB|aAAC
35	34736 21413	   	199.87	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	15VULN|2MBVNT|3DUR|4aDMG|6ERES|7ASPD|8CDMG|9RCR
36	16323 13115	   	199.57	DCR|3VULN|1AART|1ASPD|1DUR	1RMIN|2AART|356VULN|46LIT|6BPWR|7RCR|8DUR|9RCVC|aASPD
37	16323 43115	   	199.47	DCR|3VULN|1AART|1ASPD|1DUR	1RMIN|2AART|356VULN|4LIT|7RCR|8DUR|9RCVC|aASPD
38	33522 21643	   	199.24	DCR|3VULN|2DMG|1ASPD|1AAC	179VULN|2AAC|3RPLT|4aDMG|5LWND|6RCR|8ASPD
39	34142 34138	 * 	199.22	DCR|4VULN|1AART|1DMG	146aVULN|2MBVNT|3DMSP|5BEXP|7RCR|8DMG|9AART
40	34614 23453	 * 	198.02	DCR|5VULN|2ASPD	14579VULN|2MBVNT|37ASPD|67LIT|7BPWR|8MSLREG|aRCR
41	34633 13453	   	198.02	DCR|5VULN|2ASPD	15679VULN|2MBVNT|37ASPD|47LIT|7BPWR|8MSLREG|aRCR
42	51623 13143	   	198.00	DCR|4VULN|1AART|1ZMB|1DUR	1CGEN|2569VULN|3AART|46LIT|6BPWR|7RCR|8DUR|aZMB
43	35533 33321	   	197.91	DCR|3VULN|2ASPD|1CDMG|2DUR	157VULN|26DUR|37ASPD|47LIT|7BPWR|8CGEN|9CDMG|aRCR
44	31422 24334	 * 	197.26	DCR|3VULN|2DMG|1AART	158VULN|2DMSP|378AME|4BELT|68DMG|8BPWR|9RCR|aAART
45	33623 11345	   	197.22	DCR|4VULN|1AART|1ASPD|1AAC	1569VULN|2AAC|3AART|46LIT|6BPWR|7DUST|8RCR|aASPD
46	16132 12127	 * 	196.95	DCR|2VULN|2ASPD|1AART|1CDMG	1RMIN|2AART|3MBVNT|49VULN|57ASPD|6CDMG|8AELBLL|aRCR
47	16253 21343	 * 	196.89	DCR|2VULN|2AART|1DMG|1ZMB	1RMIN|23AART|4ERES|59VULN|6DMG|7LIT|8RCR|aZMB
48	16323 13521	   	196.63	DCR|4VULN|1AART|1ZMB	1RMIN|2AART|3568VULN|46LIT|6BPWR|7RCR|9ZMB|aCGEN
49	16323 13522	   	196.63	DCR|4VULN|1AART|1ZMB	1RMIN|2AART|3568VULN|46LIT|6BPWR|7RCR|9ZMB|aAME
50	16323 13523	   	196.63	DCR|4VULN|1AART|1ZMB	1RMIN|2AART|3568VULN|46LIT|6BPWR|7RCR|9ZMB|aLHND
51	16323 13526	   	196.63	DCR|4VULN|1AART|1ZMB	1RMIN|2AART|3568VULN|46LIT|6BPWR|7RCR|9ZMB|aDMSP
52	16323 13533	   	196.63	DCR|4VULN|1AART|1ZMB	1RMIN|2AART|3568VULN|46LIT|6BPWR|7RCR|9BEXP|aZMB
53	16323 13543	   	196.63	DCR|4VULN|1AART|1ZMB	1RMIN|2AART|3568VULN|46LIT|6BPWR|7RCR|9LHND|aZMB
54	16323 13524	   	196.53	DCR|4VULN|1AART|1ZMB	1RMIN|2AART|3568VULN|46LIT|6BPWR|7RCR|9ZMB|aERES
55	16323 43521	   	196.53	DCR|4VULN|1AART|1ZMB	1RMIN|2AART|3568VULN|4LIT|7RCR|9ZMB|aCGEN
