0	Index      	 *	Score 	Summary	Detail	
1	32463 43221	 * 	245.20	DCR|3VULN|3DMG|2ASPD|1AART	147VULN|246DMG|3RPLT|46BPWR|56ASPD|8FEWX|9AART|aRCR
2	32534 32433	 * 	235.97	DCR|3DMG|2VULN|1MDPS|1AART|1ASPD	17VULN|279DMG|3ASPD|4AART|5MLV|67BEXP|7BPWR|8RCR|aMDPS
3	32531 52433	   	235.87	DCR|3DMG|2VULN|1MDPS|1AART|1ASPD	17VULN|279DMG|3ASPD|4AART|5DUST|67CGEN|7BPWR|8RCR|aMDPS
4	33222 57363	   	233.34	DCR|3VULN|2DMG|2ASPD|1AART	179VULN|2LHND|39DMG|4LEGI|5MBVNT|69ASPD|8RCR|9BPWR|aAART
5	32534 32432	   	231.36	DCR|3DMG|2VULN|2ASPD|1AART	17VULN|279DMG|3aASPD|4AART|5MLV|67BEXP|7BPWR|8RCR
6	32531 52432	   	231.26	DCR|3DMG|2VULN|2ASPD|1AART	17VULN|279DMG|3aASPD|4AART|5DUST|67CGEN|7BPWR|8RCR
7	33222 54168	 * 	229.45	DCR|3DMG|2VULN|2ASPD|1NUKE	19VULN|2LHND|389DMG|4LEGI|5MBVNT|69ASPD|7RCR|9BPWR|aNUKE
8	32463 42321	   	227.26	DCR|3DMG|2VULN|2ASPD|1AART	14VULN|246DMG|3RPLT|46BPWR|56ASPD|7LEGI|8DMSP|9AART|aRCR
9	32534 32421	 * 	221.45	DCR|2VULN|2DMG|1AART|1ASPD|1NUKE	17VULN|27DMG|3ASPD|4AART|5MLV|67BEXP|7BPWR|8RCR|9NUKE|aFEWX
10	32534 32422	   	221.45	DCR|2VULN|2DMG|1AART|1ASPD|1NUKE|1ZMB	17VULN|27DMG|3ASPD|4AART|5MLV|67BEXP|7BPWR|8RCR|9NUKE|aZMB
11	32534 32423	   	221.45	DCR|2VULN|2DMG|1AART|1ASPD|1NUKE	17VULN|27DMG|3ASPD|4AART|5MLV|67BEXP|7BPWR|8RCR|9NUKE|aLHND
12	32531 52421	   	221.35	DCR|2VULN|2DMG|1AART|1ASPD|1NUKE	17VULN|27DMG|3ASPD|4AART|5DUST|67CGEN|7BPWR|8RCR|9NUKE|aFEWX
13	32531 52422	   	221.35	DCR|2VULN|2DMG|1AART|1ASPD|1NUKE|1ZMB	17VULN|27DMG|3ASPD|4AART|5DUST|67CGEN|7BPWR|8RCR|9NUKE|aZMB
14	32531 52423	   	221.35	DCR|2VULN|2DMG|1AART|1ASPD|1NUKE	17VULN|27DMG|3ASPD|4AART|5DUST|67CGEN|7BPWR|8RCR|9NUKE|aLHND
15	32461 35321	 * 	220.00	DCR|3VULN|2DMG|1NUKE|1CDMG|1DUR	149VULN|24DMG|3RPLT|4BPWR|5LHND|6CDMG|7DUR|8RCR|aNUKE
16	32526 12352	   	218.66	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB|1DUR	15VULN|2DMG|36ASPD|45BEXP|5BPWR|7RCR|8DUR|9AART|aZMB
17	12561 12352	   	218.56	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB|1DUR	1LHND|2DMG|36ASPD|45VULN|7RCR|8DUR|9AART|aZMB
18	32521 12352	   	218.56	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB|1DUR	15VULN|2DMG|36ASPD|4BEXP|7RCR|8DUR|9AART|aZMB
19	32563 12352	   	218.56	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB|1DUR	14VULN|2DMG|36ASPD|5LWND|7RCR|8DUR|9AART|aZMB
20	36356 32112	   	218.36	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	123VULN|4ASPD|5ZMB|6FEWX|7RCR|8CDMG|9AART|aDUR
21	12561 12323	 * 	218.13	DCR|4VULN|2ASPD|1DMG|1DUR	1LHND|2DMG|36ASPD|459aVULN|7RCR|8DUR
22	42561 12323	   	218.13	DCR|4VULN|2ASPD|1DMG|1DUR	1FEWX|2DMG|36ASPD|459aVULN|7RCR|8DUR
23	32563 12323	   	218.13	DCR|4VULN|2ASPD|1DMG|1DUR	149aVULN|2DMG|36ASPD|5LWND|7RCR|8DUR
24	32565 32323	   	218.13	DCR|4VULN|2ASPD|1DMG|1DUR	149aVULN|2DMG|35ASPD|6FEWX|7RCR|8DUR
25	32564 12123	   	218.03	DCR|4VULN|2ASPD|1DMG|1DUR	149aVULN|2DMG|36ASPD|5DUR|7RCR|8MBVNT
26	32564 12223	   	218.03	DCR|4VULN|2ASPD|1DMG|1DUR	149aVULN|2DMG|36ASPD|5DUR|7RCR|8DUST
27	36253 21261	 * 	217.91	DCR|1SPLARM|3DMG|2VULN|1MDPS	12VULN|3LWND|4SPLARM|589DMG|6LIT|7RCR|aMDPS
28	36223 13254	   	217.78	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	127VULN|3LWND|4DMG|5RMIN|6ASPD|8RCR|9CDMG|aAART
29	33222 54161	   	217.69	DCR|3DMG|2VULN|2ASPD|1DUR	19VULN|2LHND|389DMG|4LEGI|5MBVNT|69ASPD|7RCR|9BPWR|aDUR
30	32461 31513	   	217.64	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	14VULN|24DMG|3RPLT|4BPWR|5LHND|6CDMG|7AME|8RCR|9ASPD|aAART
31	32521 12615	   	217.51	DCR|2VULN|2DMG|2ASPD|1AART	15VULN|2aDMG|36ASPD|4BEXP|7RCR|8RPLT|9AART
32	12622 54163	   	217.51	DCR|2VULN|2DMG|2ASPD|1AART	19LHND|28DMG|39VULN|4LEGI|5MBVNT|69ASPD|7RCR|9BPWR|aAART
33	33222 54463	   	217.51	DCR|2VULN|2DMG|2ASPD|1AART	19VULN|28LHND|39DMG|4LEGI|5MBVNT|69ASPD|7RCR|9BPWR|aAART
34	63434 44163	   	217.50	DCR|3VULN|2ASPD|1AART|2DUR	1RCVC|2MBVNT|37aVULN|4AART|5BELT|6RCR|8aDUR|9aASPD|aBPWR
35	32534 32431	   	217.04	DCR|3DMG|2VULN|1AART|1ASPD	17VULN|279DMG|3ASPD|4AART|5MLV|67BEXP|7BPWR|8RCR|aAIRARM
36	32531 52431	   	216.94	DCR|3DMG|2VULN|1AART|1ASPD	17VULN|279DMG|3ASPD|4AART|5DUST|67CGEN|7BPWR|8RCR|aAIRARM
37	32254 22362	 * 	216.37	DCR|2SPLARM|3VULN|2ASPD|1DMG|1AAC|1DUR	189VULN|2DMG|3AAC|48SPLARM|5DUR|6LWND|78ASPD|8BPWR|aRCR
38	32561 11316	   	215.78	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	14aVULN|2DMG|3ASPD|5LIT|6LHND|7AART|8CDMG|9RCR
39	36353 33433	   	215.78	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	123VULN|4ASPD|5LWND|6CDMG|7DMG|8BEXP|9RCR|aAART
40	36354 23333	   	215.78	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	123VULN|4ASPD|5CDMG|6BEXP|7DMG|8LWND|9RCR|aAART
41	32322 57363	   	215.75	DCR|3VULN|2ASPD|1AART|1DMG	179VULN|2DMG|39LWND|4LEGI|5MBVNT|69ASPD|8RCR|9BPWR|aAART
42	63434 43163	 * 	215.75	DCR|2VULN|2AART|2ASPD|2DUR	1RCVC|2MBVNT|3aVULN|47AART|5BELT|6RCR|8aDUR|9aASPD|aBPWR
43	32463 31153	   	215.54	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	14VULN|24DMG|3RPLT|4BPWR|5ASPD|6CGEN|7CDMG|8MBVNT|9RCR|aAART
44	12561 12322	 * 	215.21	DCR|3VULN|3ASPD|1DMG|1DUR	1LHND|2DMG|36aASPD|459VULN|7RCR|8DUR
45	42561 12322	   	215.21	DCR|3VULN|3ASPD|1DMG|1DUR	1FEWX|2DMG|36aASPD|459VULN|7RCR|8DUR
46	32563 12322	   	215.21	DCR|3VULN|3ASPD|1DMG|1DUR	149VULN|2DMG|36aASPD|5LWND|7RCR|8DUR
47	32565 32322	   	215.21	DCR|3VULN|3ASPD|1DMG|1DUR	149VULN|2DMG|35aASPD|6FEWX|7RCR|8DUR
