0	Index      	 *	Score 	Summary	Detail	
1	23222 34522	 * 	225.70	DCR|4VULN|2AART|1ASPD|1DUR	179aVULN|2DUR|38AART|4LHND|5ASPD|6RCR
2	23655 22222	 * 	216.26	DCR|2SPLARM|4VULN|1ASPD|1ZMB|1DUR	158aVULN|2DUR|3ZMB|45SPLARM|5BPWR|6RCR|7ASPD|9FEWX
3	23655 22231	   	216.26	DCR|2SPLARM|4VULN|1ASPD|1ZMB|1DUR	1589VULN|2DUR|3ZMB|45SPLARM|5BPWR|6RCR|7ASPD|aAELBLL
4	23655 22232	   	216.26	DCR|2SPLARM|4VULN|1ASPD|1ZMB|1DUR	1589VULN|2DUR|3ZMB|45SPLARM|5BPWR|6RCR|7ASPD|aFEWX
5	23655 22233	   	216.26	DCR|2SPLARM|4VULN|1ASPD|1ZMB|1DUR	1589VULN|2DUR|3ZMB|45SPLARM|5BPWR|6RCR|7ASPD|aLIT
6	23655 33211	 * 	216.23	DCR|2SPLARM|2VULN|2DMG|1ASPD|1ZMB|1DUR	15VULN|2DUR|3ZMB|45SPLARM|5BPWR|6CGEN|79DMG|8RCR|aASPD
7	23655 23332	 * 	216.16	DCR|2SPLARM|4VULN|1DMG|1ZMB|1DUR	159aVULN|2DUR|3ZMB|45SPLARM|5BPWR|6RCR|7LEGI|8DMG
8	25222 34533	 * 	215.97	DCR|3VULN|2AART|2ASPD	17aVULN|2FEWX|38AART|4aLHND|5aASPD|6RCR|9BELT|aBPWR
9	23222 34521	   	215.10	DCR|3VULN|2AART|1ASPD|2DUR	179VULN|2aDUR|38AART|4LHND|5ASPD|6RCR
10	23222 35522	   	215.10	DCR|3VULN|2AART|1ASPD|2DUR	19aVULN|27DUR|38AART|4LHND|5ASPD|6RCR
11	23655 22211	 * 	214.54	DCR|2SPLARM|3VULN|2ASPD|1ZMB|1DUR	158VULN|2DUR|3ZMB|45SPLARM|5BPWR|6RCR|7aASPD|9ERES
12	21335 22264	   	213.24	DCR|3VULN|2ASPD|1AART|2ZMB	158VULN|2LHND|3TSLFST|45ZMB|5BPWR|6RCR|7aASPD|9AART
13	23222 34536	 * 	212.08	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	17VULN|2DUR|38AART|4LHND|5ASPD|6RCR|9FEWX|aDMG
14	23222 34515	 * 	211.61	DCR|2VULN|2AART|1ASPD|1CDMG|1AAC|1DUR	17VULN|2DUR|38AART|4LHND|5ASPD|6RCR|9CDMG|aAAC
15	51536 33113	 * 	211.46	DCR|2VULN|3ZMB|1AART|1ASPD|1DMG|1SELL	139ZMB|2ASPD|46VULN|5SELL|7RCR|8DMG|aAART
16	23222 32522	   	211.46	DCR|3VULN|2AART|1ASPD|1DUR	19aVULN|2DUR|38AART|4LHND|5ASPD|6RCR|7RCVC
17	52623 62321	 * 	210.88	DCR|2DMG|2ASPD|1VULN|1AART|2ZMB	19ZMB|2LWND|3RPLT|49ASPD|5FEWX|6VULN|7RCR|89DMG|9BPWR|aAART
18	52624 12321	   	210.88	DCR|2DMG|2ASPD|1VULN|1AART|2ZMB	19ZMB|2LWND|3RPLT|49ASPD|5VULN|6FEWX|7RCR|89DMG|9BPWR|aAART
19	53624 12321	   	210.88	DCR|2DMG|2ASPD|1VULN|1AART|2ZMB	19ZMB|2BEXP|3RPLT|49ASPD|5VULN|6FEWX|7RCR|89DMG|9BPWR|aAART
20	23213 33611	 * 	209.93	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC|1DUR	158VULN|2DUR|3AART|4AAC|6RCR|7ASPD|9DMSP|aCDMG
21	25222 34521	   	209.85	DCR|3VULN|2AART|1ASPD|1DUR	179VULN|2FEWX|38AART|4LHND|5ASPD|6RCR|aDUR
22	23222 33522	   	209.85	DCR|3VULN|2AART|1ASPD|1DUR	19aVULN|2DUR|38AART|47LHND|5ASPD|6RCR
23	23222 34523	   	209.85	DCR|3VULN|2AART|1ASPD|1DUR	179VULN|2DUR|38AART|4LHND|5ASPD|6RCR|aFEWX
24	23222 34525	   	209.85	DCR|3VULN|2AART|1ASPD|1DUR	179VULN|2DUR|38AART|4aLHND|5ASPD|6RCR
25	23222 34526	   	209.85	DCR|3VULN|2AART|1ASPD|1DUR	179VULN|2DUR|38AART|4LHND|5ASPD|6RCR|aLWND
26	23222 36522	   	209.85	DCR|3VULN|2AART|1ASPD|1DUR	19aVULN|2DUR|38AART|4LHND|5ASPD|6RCR|7DMSP
27	51131 61163	 * 	209.80	DCR|3DMG|2VULN|1ASPD|1ZMB|1DUR	1ZMB|2ASPD|3DUR|468DMG|5aVULN|7BEXP|9RCR
28	23213 33436	   	209.75	DCR|3VULN|2AART|1ASPD|1AAC|1DUR	15aVULN|2DUR|38AART|4AAC|6RCR|7ASPD|9BEXP
29	23213 33452	   	209.75	DCR|3VULN|2AART|1ASPD|1AAC|1DUR	15aVULN|2DUR|38AART|4AAC|6RCR|7ASPD|9MLV
30	23213 33614	   	209.75	DCR|3VULN|2AART|1ASPD|1AAC|1DUR	158VULN|2DUR|3aAART|4AAC|6RCR|7ASPD|9DMSP
31	23222 34524	   	209.75	DCR|3VULN|2AART|1ASPD|1DUR|1MSE	179VULN|2DUR|38AART|4LHND|5ASPD|6RCR|aMSE
32	23213 33426	   	209.65	DCR|3VULN|2AART|1ASPD|1AAC|1DUR	15aVULN|2DUR|38AART|4AAC|6RCR|7ASPD|9DUST
33	23213 33442	   	209.65	DCR|3VULN|2AART|1ASPD|1AAC|1DUR	15aVULN|2DUR|38AART|4AAC|6RCR|7ASPD|9ERES
34	23213 33665	   	209.65	DCR|3VULN|2AART|1ASPD|1AAC|1DUR	158VULN|2DUR|3aAART|4AAC|6RCR|7ASPD|9BASFIG
35	23222 34136	   	209.62	DCR|4VULN|1AART|1ASPD|1DUR	179aVULN|2DUR|3AART|4LHND|5ASPD|6RCR|8CGEN
36	23213 33222	   	209.52	DCR|4VULN|1AART|1ASPD|1AAC|1DUR	159aVULN|2DUR|3AART|4AAC|6RCR|7ASPD|8RMIN
37	23213 33636	   	209.52	DCR|4VULN|1AART|1ASPD|1AAC|1DUR	158aVULN|2DUR|3AART|4AAC|6RCR|7ASPD|9BEXP
38	23213 33652	   	209.52	DCR|4VULN|1AART|1ASPD|1AAC|1DUR	158aVULN|2DUR|3AART|4AAC|6RCR|7ASPD|9MLV
39	23231 23336	   	209.51	DCR|2VULN|2AART|1ASPD|1CDMG|2DUR	1aVULN|29DUR|35AART|4CDMG|6RPLT|7ASPD|8RCR
40	23213 33626	   	209.42	DCR|4VULN|1AART|1ASPD|1AAC|1DUR	158aVULN|2DUR|3AART|4AAC|6RCR|7ASPD|9DUST
41	23213 33642	   	209.42	DCR|4VULN|1AART|1ASPD|1AAC|1DUR	158aVULN|2DUR|3AART|4AAC|6RCR|7ASPD|9ERES
42	23124 61363	 * 	209.39	DCR|2VULN|2DMG|1MDPS|1AART|3DUR	17VULN|267DUR|3BEXP|4LWND|57DMG|7BPWR|8RCR|9AART|aMDPS
43	52351 22353	 * 	208.64	DCR|3VULN|1SPLARM|2ASPD|3ZMB	178ZMB|2LWND|379VULN|4SPLARM|5LHND|67ASPD|7BPWR|aRCR
44	23323 66621	 * 	208.48	DCR|3VULN|3DMG|2DUR	18aVULN|28DUR|3AME|45ERES|6RCR|789DMG|8BPWR
45	62326 21152	 * 	208.43	DCR|3ASPD|2VULN|1AART|2DUR	1RPLT|25DUR|345ASPD|5BPWR|6RCR|7CGEN|8AART|9aVULN
46	23222 34512	   	208.27	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	17VULN|2DUR|38AART|4LHND|5ASPD|6RCR|9CDMG|aBEXP
47	23222 34513	   	208.27	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	17VULN|2DUR|38AART|4LHND|5ASPD|6RCR|9CDMG|aLIT
48	23222 34514	   	208.27	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	17VULN|2DUR|38AART|4LHND|5ASPD|6RCR|9CDMG|aFEWX
49	23222 34516	   	208.27	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	17VULN|2DUR|38AART|4LHND|5ASPD|6RCR|9CDMG|aLWND
50	23213 33411	   	208.17	DCR|2VULN|2AART|1ASPD|1CDMG|1AAC|1DUR	15VULN|2DUR|38AART|4AAC|6RCR|7ASPD|9DMSP|aCDMG
51	23222 34511	   	208.17	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	17VULN|2DUR|38AART|4LHND|5ASPD|6RCR|9CDMG|aERES
52	23311 23524	   	208.03	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	18aVULN|2DUR|3AME|4CDMG|5AART|6ASPD|7RCR|9LHND
53	23311 23534	   	208.03	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	18aVULN|2DUR|3AME|4CDMG|5AART|6ASPD|7RCR|9BEXP
54	23232 23524	   	208.03	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	18aVULN|2DUR|3AART|4CDMG|5AME|6ASPD|7RCR|9LHND
55	23232 23534	   	208.03	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	18aVULN|2DUR|3AART|4CDMG|5AME|6ASPD|7RCR|9BEXP
56	23222 34132	   	208.00	DCR|3VULN|2ASPD|1AART|1DUR	179VULN|2DUR|3AART|4LHND|5aASPD|6RCR|8CGEN
57	21655 22222	   	207.96	DCR|2SPLARM|4VULN|1ASPD|1ZMB	158aVULN|2LHND|3ZMB|45SPLARM|5BPWR|6RCR|7ASPD|9FEWX
58	21655 22231	   	207.96	DCR|2SPLARM|4VULN|1ASPD|1ZMB	1589VULN|2LHND|3ZMB|45SPLARM|5BPWR|6RCR|7ASPD|aAELBLL
