0	Index      	 *	Score 	Summary	Detail	
1	32413 32516	 * 	209.34	DCR|4VULN|1MDPS|3CDMG|1DUR	17MSLFST|2357VULN|467CDMG|7BPWR|8DUR|9RCR|aMDPS
2	32413 35362	 * 	203.05	DCR|3VULN|1AART|2CDMG|1NUKE	1MSLFST|235VULN|46CDMG|7FEWX|8AART|9RCR|aNUKE
3	32413 36362	   	202.95	DCR|3VULN|1AART|2CDMG|1NUKE	1MSLFST|235VULN|46CDMG|7DUST|8AART|9RCR|aNUKE
4	11632 63312	 * 	202.49	DCR|3VULN|2ASPD|1CDMG|1ZMB	1LIT|2ZMB|3AME|479VULN|58ASPD|6RCR|aCDMG
5	22632 63312	   	202.49	DCR|3VULN|2ASPD|1CDMG|1ZMB	1ZMB|2LIT|3AME|479VULN|58ASPD|6RCR|aCDMG
6	26341 31352	 * 	202.09	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1ZMB|2BELT|3ASPD|4aDMG|5LIT|67VULN|8CDMG|9RCR
7	32413 32116	   	201.04	DCR|4VULN|1MDPS|3CDMG	17MSLFST|2357VULN|467CDMG|7BPWR|8BEXP|9RCR|aMDPS
8	32413 32316	   	201.04	DCR|4VULN|1MDPS|3CDMG	17MSLFST|2357VULN|467CDMG|7BPWR|8LHND|9RCR|aMDPS
9	44113 22343	 * 	200.66	DCR|2VULN|2DMG|1AART|2CDMG|1AAC|1SELL	1AAC|2SELL|35CDMG|45DMG|5BPWR|68VULN|7AME|9AART|aRCR
10	44113 21343	 * 	200.56	DCR|2VULN|2DMG|1AART|2CDMG|1AAC|1SELL	1AAC|2SELL|35CDMG|45DMG|5BPWR|68VULN|7ERES|9AART|aRCR
11	16121 62216	 * 	199.45	DCR|3DMG|2ASPD|1VULN|1CDMG	1LIT|29BEXP|3CDMG|4VULN|589DMG|6CGEN|79ASPD|9BPWR|aRCR
12	16121 42216	   	199.35	DCR|3DMG|2ASPD|1VULN|1CDMG	1LIT|29BEXP|3CDMG|4VULN|589DMG|6TLV|79ASPD|9BPWR|aRCR
13	35325 12231	 * 	198.88	DCR|2AART|2DMG|1VULN|1ASPD|1AAC	18MSLFST|28AME|35AART|4AAC|68DMG|7RCR|8BPWR|9ASPD|aVULN
14	32413 35361	 * 	198.83	DCR|4VULN|1AART|2CDMG	1MSLFST|235aVULN|46CDMG|7FEWX|8AART|9RCR
15	32413 36361	   	198.73	DCR|4VULN|1AART|2CDMG	1MSLFST|235aVULN|46CDMG|7DUST|8AART|9RCR
16	32232 16622	 * 	197.91	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1MSLFST|246VULN|3ASPD|5AIRARM|7ZMB|8DUR|9RCR|aAART
17	13632 62133	 * 	197.83	DCR|2VULN|2AART|2ASPD|1AAC	1LIT|2AAC|3AME|49VULN|58ASPD|6RCR|7aAART
18	42632 62133	   	197.83	DCR|2VULN|2AART|2ASPD|1AAC	1AAC|2CGEN|3LIT|49VULN|58ASPD|6RCR|7aAART
19	11632 63361	 * 	196.78	DCR|2VULN|2ASPD|1DMG|1ZMB|1DUR	1LIT|2ZMB|3AME|47VULN|58ASPD|6RCR|9DUR|aDMG
