0	Index      	 *	Score 	Summary	Detail	
1	43322 61431	 * 	249.91	橙2易伤2等级1伤害2暴击1矿等1时间	1时间2敌人爆炸3a等级4a暴击5火球减费6a易伤7核8伤害9矿等a序列升级
2	61313 51531	 * 	233.98	橙3易伤2矿等1等级1全技能1技能	1技能27矿等3等级4挖青578易伤67雷电7序列升级9全技能a核
3	11312 42831	 * 	232.42	橙橙1等级1伤害1矿等1技能	1雷电2矿等3喷火对愈4伤害5风暴减费6a核7加一8等级9技能
4	11312 42881	   	232.42	橙橙1等级1伤害1矿等	1雷电2矿等3喷火对愈4伤害5风暴减费6a核7加一8等级9策反
5	42222 31255	 * 	231.71	橙2易伤2矿等1等级1伤害1时间	1时间26狙击对黄3基地爆炸4伤害56矿等6序列升级78易伤9核a等级
6	41134 62233	 * 	230.22	橙2易伤2时间1等级1伤害1暴击	18时间28随机技能3低血量敌人4立即金币5暴击68易伤7核8序列升级9伤害a等级
7	41234 62233	   	230.22	橙2易伤2时间1等级1伤害1暴击	18时间28随机技能3最后敌人4立即金币5暴击68易伤7核8序列升级9伤害a等级
8	12323 46131	   	229.85	橙2易伤2等级1伤害1矿等1时间	15雷电2a易伤3散射对喷气45等级5序列升级6矿等7核8时间9伤害
9	12335 56213	 * 	229.04	橙橙2易伤	1雷电28易伤3散射对喷气4最后敌人5金币生成6低血量敌人7a核9基地爆炸
10	13236 32263	   	228.94	橙橙2易伤	1雷电2最后敌人3双倍秒伤4金币生成5基础对愈6a核7立即金币89易伤
11	12231 65343	 * 	228.94	橙橙1易伤1等级	1雷电2易伤3双倍秒伤49金币生成5低血量敌人6a核7等级8寒冰对黄
12	13213 65343	   	228.94	橙橙1易伤1等级	1雷电2最后敌人3双倍秒伤4易伤59金币生成6a核7等级8寒冰对黄
13	13213 65353	   	228.94	橙橙1易伤1等级	1雷电29最后敌人3双倍秒伤4易伤5金币生成6a核7等级8寒冰对黄
14	12325 46333	   	228.84	橙橙1易伤1等级	1雷电2易伤3散射对喷气4等级5挖尘6挖青7a核8基地爆炸9金币生成
15	12231 65323	   	228.84	橙橙1易伤1等级	1雷电2易伤3双倍秒伤4金币生成5低血量敌人6a核7等级8寒冰对黄9风暴减费
16	13213 65323	   	228.84	橙橙1易伤1等级	1雷电2最后敌人3双倍秒伤4易伤5金币生成6a核7等级8寒冰对黄9风暴减费
17	13215 61633	   	228.84	橙橙1易伤1等级	1雷电2最后敌人3双倍秒伤4易伤5等级6a核7立即金币8风暴减费9多重对愈
18	13215 62633	   	228.84	橙橙1易伤1等级	1雷电27最后敌人3双倍秒伤4易伤5等级6a核8风暴减费9多重对愈
19	11223 42235	 * 	224.10	橙橙2伤害1矿等	1雷电2矿等3基地爆炸45伤害6敌人爆炸7额外掉落8a核9双倍矿
20	11223 42265	   	224.10	橙橙2伤害1矿等	1雷电2矿等3基地爆炸45伤害6敌人爆炸79额外掉落8a核
21	11623 42235	   	224.10	橙橙2伤害1矿等	1雷电2矿等35伤害4基地爆炸6敌人爆炸7额外掉落8a核9双倍矿
22	11523 62235	   	224.00	橙橙2伤害1矿等	1雷电2矿等3敌人爆炸45伤害6挖尘7额外掉落8a核9双倍矿
23	12323 46121	   	223.44	橙2易伤2等级1矿等1时间1技能	15雷电29易伤3散射对喷气45等级5序列升级6矿等7核8时间a技能
24	41531 22611	   	223.43	橙橙1易伤1时间	1时间2随机技能3寒冰对冰4额外掉落5基地爆炸6易伤7a核8攻速9毒液对黄
25	32222 61235	 * 	223.36	橙2易伤2伤害1等级1矿等	1低血量敌人2狙击对黄3基地爆炸46伤害5矿等78易伤9核a等级
26	32422 61235	   	223.36	橙2易伤2伤害1等级1矿等	1低血量敌人2狙击对黄3敌人爆炸46伤害5矿等78易伤9核a等级
27	11321 26543	 * 	222.99	橙橙2等级1矿等	15雷电2矿等3喷火对愈45等级5序列升级6最后敌人7a核8金币生成9敌人爆炸
28	11321 26353	   	222.89	橙橙2等级1矿等	15雷电2矿等3喷火对愈45等级5序列升级6最后敌人7a核8基地爆炸9掉矿
29	11321 26563	   	222.89	橙橙2等级1矿等	15雷电2矿等3喷火对愈45等级5序列升级6最后敌人7a核8金币生成9挖尘
30	11321 26253	   	222.79	橙橙2等级1矿等	15雷电2矿等3喷火对愈45等级5序列升级6最后敌人7a核8挖尘9掉矿
31	62132 61531	 * 	222.28	橙2易伤2等级2矿等1全技能1技能	1技能27等级37雷电4低血量敌人58易伤67矿等7序列升级9全技能a核
32	43322 61351	   	221.19	橙2易伤2等级2暴击1时间	1时间2敌人爆炸3a等级4a暴击5火球减费6a易伤7核8金币生成9攻速a序列升级
