0	Index      	 *	Score 	Summary	Detail	
1	36462 13333	 * 	245.22	紫2易伤3基地爆炸2攻速2伤害1全技能	124基地爆炸3a伤害5核6全技能7雷电8a易伤9a攻速a序列升级
2	56241 11123	 * 	242.29	紫2基础对甲3攻速3基地爆炸	1a敌人爆炸258基地爆炸35基础对甲4核5a序列升级69a攻速7a最后敌人
3	56241 11211	 * 	237.33	紫2基础对甲2易伤2基地爆炸1攻速1暴击	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6攻速7最后敌人8a易伤9暴击
4	56241 12213	   	236.14	紫2基础对甲3基地爆炸1攻速1暴击1全技能	1敌人爆炸25a基地爆炸35基础对甲4核5序列升级6攻速7额外掉落8暴击9全技能
5	56241 23311	 * 	233.25	紫2基础对甲2易伤2基地爆炸2全技能	1敌人爆炸25基地爆炸35基础对甲4核5序列升级68全技能7雷电9a易伤
6	56241 31231	   	233.25	紫2基础对甲2易伤2基地爆炸2全技能	1敌人爆炸25基地爆炸35基础对甲4核5序列升级68易伤7随机矿9a全技能
7	23236 65313	 * 	232.38	紫3伤害1基础对甲1易伤1全技能1基地爆炸	1喷火对黄2全技能3敌人爆炸4核579伤害6基地爆炸8基础对甲a易伤
8	56241 11113	 * 	228.81	紫2基础对甲3基地爆炸1攻速2暴击	1敌人爆炸258基地爆炸35基础对甲4核5序列升级6攻速7最后敌人9a暴击
9	56241 12111	   	228.72	紫2基础对甲2攻速2基地爆炸1暴击	1敌人爆炸25基地爆炸35基础对甲4核5序列升级69攻速7额外掉落8双倍秒伤a暴击
10	56241 22311	   	228.08	紫2基础对甲2基地爆炸1易伤1全技能1暴击1技能	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6全技能7易伤8低血量敌人9技能a暴击
11	56241 22111	   	227.98	紫2基础对甲2基地爆炸1易伤1全技能1暴击1技能	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6全技能7易伤8加一9技能a暴击
12	56241 13112	   	227.94	紫2基础对甲3基地爆炸2攻速	1敌人爆炸258基地爆炸35基础对甲4核5序列升级6a攻速7立即金币9双倍秒伤
13	56241 11121	   	226.43	紫2基础对甲3基地爆炸2攻速	1敌人爆炸258基地爆炸35基础对甲4核5序列升级69攻速7最后敌人a雷电
14	56241 11122	   	226.33	紫2基础对甲3基地爆炸2攻速	1敌人爆炸258基地爆炸35基础对甲4核5序列升级69攻速7最后敌人a双倍秒伤
15	56241 22312	   	225.58	紫2基础对甲2易伤2基地爆炸1全技能1技能	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6全技能7a易伤8低血量敌人9技能
16	56241 22112	   	225.48	紫2基础对甲2易伤2基地爆炸1全技能1技能	1敌人爆炸25基地爆炸35基础对甲4核5序列升级6全技能7a易伤8加一9技能
