0	Index      	 *	Score 	Summary	Detail	
1	31411 34126	 * 	213.85	紫2易伤1基础对甲1攻速1伤害1全技能	1敌人爆炸2伤害39易伤4额外掉落5核6攻速7全技能8导弹对绿a基础对甲
2	31511 32535	 * 	205.77	紫3伤害2攻速1易伤1全技能	1a敌人爆炸28a伤害3额外掉落4低血量敌人5核6易伤7a攻速9全技能a序列升级
3	31411 63135	 * 	205.67	紫2易伤2攻速2伤害1全技能	17a敌人爆炸2a伤害37易伤4额外掉落5核67低血量敌人7a序列升级8a攻速9全技能
4	31511 33135	   	205.67	紫2易伤2攻速2伤害1全技能	17a敌人爆炸2a伤害3额外掉落47低血量敌人5核67易伤7a序列升级8a攻速9全技能
5	31411 34335	   	198.37	紫2攻速1易伤1伤害1基地爆炸1暴击1全技能	1敌人爆炸2伤害3易伤4额外掉落5核6a攻速7全技能8暴击9基地爆炸
6	31411 34331	 * 	194.35	紫1易伤2基地爆炸1攻速1伤害1暴击1全技能	1敌人爆炸2伤害3易伤4额外掉落5核6攻速7全技能8暴击9a基地爆炸
7	35411 34331	   	194.35	紫1易伤2基地爆炸1攻速1伤害1暴击1全技能	1敌人爆炸2攻速3易伤4额外掉落5核6伤害7全技能8暴击9a基地爆炸
8	11134 15411	   	191.46	紫1基础对甲1易伤1攻速1基地爆炸1全技能	1雷电2易伤3低血量敌人4攻速5核6挖尘7基地爆炸8全技能9掉矿a基础对甲
9	15626 13231	   	190.15	紫1基础对甲1易伤1基地爆炸1暴击1全技能	1雷电2技能点3全技能4核5平台6基础对甲7基地爆炸8随机矿9易伤a暴击
10	15626 13131	   	190.05	紫1基础对甲1易伤1全技能1基地爆炸1暴击	1雷电2技能点3全技能4核5平台6基础对甲7基地爆炸8技能9易伤a暴击
11	15626 13331	   	190.05	紫1基础对甲1易伤1暴击1基地爆炸1全技能	1雷电2技能点3全技能4核5平台6基础对甲7基地爆炸8掉矿9易伤a暴击
12	31411 61135	   	188.86	紫2攻速2伤害1易伤1全技能	17a敌人爆炸2a伤害3易伤4额外掉落5核6低血量敌人8a攻速9全技能a序列升级
13	31411 62135	   	188.86	紫2攻速2伤害1易伤1全技能	18a敌人爆炸2a伤害3易伤4额外掉落5核6低血量敌人7a攻速9全技能a序列升级
14	31411 62335	   	188.86	紫2攻速2伤害1易伤1全技能	1a敌人爆炸2a伤害3易伤4额外掉落5核68低血量敌人7a攻速9全技能a序列升级
15	31511 14135	   	188.86	紫2攻速2伤害1易伤1全技能	16a敌人爆炸2a伤害3额外掉落4低血量敌人5核7易伤8a攻速9全技能a序列升级
16	31511 31135	   	188.86	紫2攻速2伤害1易伤1全技能	17a敌人爆炸2a伤害3额外掉落4低血量敌人5核6易伤8a攻速9全技能a序列升级
17	31511 32135	   	188.86	紫2攻速2伤害1易伤1全技能	18a敌人爆炸2a伤害3额外掉落4低血量敌人5核6易伤7a攻速9全技能a序列升级
18	31511 32335	   	188.86	紫2攻速2伤害1易伤1全技能	1a敌人爆炸2a伤害3额外掉落48低血量敌人5核6易伤7a攻速9全技能a序列升级
19	31411 42125	   	187.04	紫2易伤2攻速2伤害	19敌人爆炸29伤害3a易伤4额外掉落5核6技能7掉矿89攻速9序列升级
20	34116 23533	   	186.51	紫1基础对甲1伤害1基地爆炸1暴击	1敌人爆炸2挖尘3核4掉矿5基地爆炸6矿等7金币生成8暴击9伤害a基础对甲
21	34161 23533	   	186.51	紫1基础对甲1伤害1基地爆炸1暴击	1敌人爆炸2挖尘3核4基地爆炸5矿等6技能点7金币生成8暴击9伤害a基础对甲
22	31411 34325	 * 	185.82	紫1易伤1攻速1伤害1基础对冰1暴击1全技能	1敌人爆炸2伤害3易伤4额外掉落5核6攻速7全技能8暴击9双倍秒伤a基础对冰
23	31411 34622	 * 	185.57	紫2易伤1攻速1伤害1基础对冰1全技能	1a敌人爆炸2伤害39易伤4额外掉落5核6攻速7全技能8基础对冰
24	31411 34623	   	185.57	紫2易伤1攻速1伤害1基础对冰1全技能	1敌人爆炸2伤害39易伤4额外掉落5核6攻速7全技能8基础对冰a低血量敌人
25	15626 11222	 * 	185.54	紫1基础对甲2攻速1全技能	1雷电2技能点3全技能4核5平台6基础对甲7随机矿8金币生成9a攻速
26	31411 34621	   	185.47	紫2易伤1攻速1伤害1基础对冰1全技能	1敌人爆炸2伤害39易伤4额外掉落5核6攻速7全技能8基础对冰a等级
27	15626 11122	   	185.44	紫1基础对甲2攻速1全技能	1雷电2技能点3全技能4核5平台6基础对甲7随机矿8掉矿9a攻速
28	11554 22321	   	185.15	紫1基础对甲1易伤1基地爆炸1暴击1全技能	1雷电2易伤3等级4基地爆炸5核6平台7暴击8时间9全技能a基础对甲
29	15364 22221	   	185.15	紫1基础对甲1易伤1基地爆炸1暴击1全技能	1雷电2技能点3基地爆炸4易伤5核6平台7暴击8敌人爆炸9全技能a基础对甲
30	31411 34315	   	184.72	紫2攻速1易伤1伤害1暴击1全技能	1敌人爆炸2伤害3易伤4额外掉落5核6a攻速7全技能8暴击9低血量敌人
31	34165 33113	   	184.24	紫2易伤2攻速1基地爆炸1暴击	1敌人爆炸2挖尘3核4基地爆炸58易伤6平台7暴击9a攻速
32	15623 36322	   	183.99	紫2易伤2攻速1全技能1暴击	18雷电2技能点3全技能4核58攻速68易伤7核弹8序列升级9时间a暴击
