0	Index      	 *	Score 	Summary	Detail	
1	36312 21634	 * 	285.72	DCR|3VULN|2MLV|1TLV|1AAC	18LWND|2AART|3MBVNT|4TLV|58aVULN|68MLV|7AAC|8BPWR|9RCR
2	36312 21635	   	279.83	DCR|2VULN|2MLV|1TLV|1AAC|1ASPD	18LWND|2AART|3MBVNT|4TLV|58VULN|68MLV|7AAC|8BPWR|9RCR|aASPD
3	36312 21631	 * 	277.76	DCR|2VULN|2MLV|2TLV|1AAC	18LWND|2AART|3MBVNT|4aTLV|58VULN|68MLV|7AAC|8BPWR|9RCR
4	24323 61252	 * 	274.86	DCR|DCR|2MLV|1TLV	16MLV|2RPLT|3LIT|4TLV|5FEWX|79RCR|8BEXP|aRAT
5	21321 62441	 * 	272.04	DCR|3VULN|3MLV|3RAT	189MLV|2RCVC|3LHND|489VULN|5LWND|6AEFRZ|789RAT|89BPWR|aRCR
6	22321 62441	   	272.04	DCR|3VULN|3MLV|3RAT	189MLV|2DMSP|3LHND|489VULN|5LWND|6AEFRZ|789RAT|89BPWR|aRCR
7	23232 42341	 * 	271.74	DCR|3VULN|3MLV|1DMG	136MLV|237ERES|369BPWR|49DUST|569VULN|8RCR|aDMG
8	23336 33424	 * 	270.99	DCR|3MLV|2DMG|1VULN|1ASPD|2RAT	158MLV|2ERES|38RAT|4DUST|6VULN|78DMG|8BPWR|9RCR|aASPD
9	23232 45336	 * 	270.04	DCR|3MLV|2VULN|1TLV	136MLV|23ERES|36BPWR|4DUST|56VULN|7LWND|8TLV|9DUR|aRCR
10	24333 61353	 * 	268.03	DCR|DCR|2MLV|1VULN	16MLV|2RPLT|3LIT|4RMIN|5FEWX|79RCR|8LHND|aVULN
11	24323 61251	   	267.93	DCR|DCR|2MLV|1TLV	16MLV|2RPLT|3LIT|4TLV|5FEWX|79RCR|8BEXP|aCGEN
12	24323 61253	   	267.83	DCR|DCR|2MLV|1TLV	16MLV|2RPLT|3LIT|4TLV|5FEWX|79RCR|8BEXP|aMBVNT
13	21136 55123	   	267.32	DCR|DCR|1TLV|1MLV|1AAC	1MLV|2RCVC|3DUST|4DMSP|5TLV|6FEWX|79RCR|8AART|aAAC
14	22136 55123	   	267.32	DCR|DCR|1TLV|1MLV|1AAC	1MLV|24DMSP|3DUST|5TLV|6FEWX|79RCR|8AART|aAAC
15	32233 14361	   	266.67	DCR|DCR|1VULN|1MLV|1ASPD	12LWND|3MLV|4AART|5ASPD|6TBNT|78RCR|9MDPS|aVULN
16	34233 14361	   	266.67	DCR|DCR|1VULN|1MLV|1ASPD	12LWND|2BPWR|3MLV|4AART|5ASPD|6TBNT|78RCR|9MDPS|aVULN
