0	Index      	 *	Score 	Summary	Detail	
1	13632 35633	 * 	299.84	DCR|DCR|2VULN|1TLV|1ASPD	12VULN|3ASPD|4LHND|5LWND|6RAT|7TLV|8aRCR|9CGEN
2	11252 35633	 * 	297.97	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1VULN|2MLV|3TLV|4ASPD|5LWND|6RAT|7AME|8aRCR|9CGEN
3	32133 13636	 * 	292.98	DCR|DCR|3VULN|1AAC|1SELL	1SELL|25RPLT|36aVULN|4AAC|7AART|89RCR
4	32133 43636	 * 	292.98	DCR|DCR|3VULN|1AAC|1SELL	1SELL|25RPLT|36aVULN|4AAC|6BPWR|7AART|89RCR
5	11313 48338	 * 	285.91	DCR|DCR|2VULN|1MLV	13VULN|2MLV|4DUR|5MBVNT|6LHND|7aRCR|8LWND|9RAT
6	11333 18338	   	285.91	DCR|DCR|2VULN|1MLV	13VULN|2MLV|4LHND|5MBVNT|6DUR|7aRCR|8LWND|9RAT
7	11311 68338	   	285.81	DCR|DCR|2VULN|1MLV	13VULN|2MLV|4DUR|5DUST|6MBVNT|7aRCR|8LWND|9RAT
8	11311 68438	   	285.81	DCR|DCR|2VULN|1MLV	13VULN|2MLV|4DUR|5DUST|6MBVNT|7aRCR|8LHND|9RAT
9	11313 38338	   	285.81	DCR|DCR|2VULN|1MLV	13VULN|2MLV|4DUR|5MBVNT|6DUST|7aRCR|8LWND|9RAT
10	11313 38438	   	285.81	DCR|DCR|2VULN|1MLV	13VULN|2MLV|4DUR|5MBVNT|6DUST|7aRCR|8LHND|9RAT
11	11313 48148	   	285.81	DCR|DCR|2VULN|1MLV	13VULN|2MLV|4DUR|5MBVNT|6LHND|7aRCR|8RAT|9BEXP
12	11333 18148	   	285.81	DCR|DCR|2VULN|1MLV	13VULN|2MLV|4LHND|5MBVNT|6DUR|7aRCR|8RAT|9BEXP
13	11363 18338	   	285.81	DCR|DCR|2VULN|1MLV	13VULN|2MLV|4BEXP|5MBVNT|6DUR|7aRCR|8LWND|9RAT
14	11363 18438	   	285.81	DCR|DCR|2VULN|1MLV	13VULN|2MLV|4BEXP|5MBVNT|6DUR|7aRCR|8LHND|9RAT
15	11435 41323	 * 	285.15	DCR|3VULN|2MLV|2TLV	19aVULN|2aMLV|3BBNT|4FEWX|5LHND|6aTLV|7AART|8RCR|aBPWR
16	11635 41323	   	285.15	DCR|3VULN|2MLV|2TLV	19aVULN|2aMLV|3TBNT|4FEWX|5LHND|6aTLV|7AART|8RCR|aBPWR
17	11451 41323	   	285.05	DCR|3VULN|2MLV|2TLV	19aVULN|2aMLV|3BBNT|4LWND|5BEXP|6aTLV|7AART|8RCR|aBPWR
18	11461 41323	   	285.05	DCR|3VULN|2MLV|2TLV	19aVULN|2aMLV|3BBNT|4LHND|5BEXP|6aTLV|7AART|8RCR|aBPWR
19	11651 41323	   	285.05	DCR|3VULN|2MLV|2TLV	19aVULN|2aMLV|3TBNT|4LWND|5BEXP|6aTLV|7AART|8RCR|aBPWR
20	11661 41323	   	285.05	DCR|3VULN|2MLV|2TLV	19aVULN|2aMLV|3TBNT|4LHND|5BEXP|6aTLV|7AART|8RCR|aBPWR
21	11253 56322	 * 	283.83	DCR|2VULN|2MLV|1TLV|1DMG|1ASPD	19VULN|29MLV|3TLV|4ASPD|5RPLT|69FEWX|7RCR|8AART|9BPWR|aDMG
22	11515 31632	 * 	281.26	DCR|3MLV|2VULN|1TLV|2CDMG|1SELL	17VULN|245MLV|34CDMG|4BPWR|6TBNT|8SELL|9RCR|aTLV
23	11253 56323	   	277.94	DCR|2VULN|2MLV|2TLV|1ASPD	19VULN|29MLV|3aTLV|4ASPD|5RPLT|69FEWX|7RCR|8AART|9BPWR
24	14123 15125	   	277.50	DCR|DCR|2VULN|1AAC|1ASPD	19VULN|2BEXP|3ASPD|4BASICY|5LIT|6TBNT|7AAC|8aRCR
25	14123 35125	   	277.50	DCR|DCR|2VULN|1AAC|1ASPD	19VULN|2BEXP|3ASPD|4BASICY|5LIT|6BBNT|7AAC|8aRCR
26	23123 15125	   	277.50	DCR|DCR|2VULN|1AAC|1ASPD	1BEXP|29VULN|3ASPD|4BASICY|5LIT|6TBNT|7AAC|8aRCR
27	23123 35125	   	277.50	DCR|DCR|2VULN|1AAC|1ASPD	1BEXP|29VULN|3ASPD|4BASICY|5LIT|6BBNT|7AAC|8aRCR
28	11333 48338	   	277.50	DCR|DCR|2VULN|1MLV	13VULN|2MLV|4LHND|5MBVNT|6BEXP|7aRCR|8LWND|9RAT
29	11333 68338	   	277.50	DCR|DCR|2VULN|1MLV	13VULN|2MLV|4LHND|5MBVNT|6LEGI|7aRCR|8LWND|9RAT
30	11333 78338	   	277.50	DCR|DCR|2VULN|1MLV	13VULN|2MLV|4LHND|5MBVNT|6DUST|7aRCR|8LWND|9RAT
31	11333 68148	   	277.40	DCR|DCR|2VULN|1MLV	13VULN|2MLV|4LHND|5MBVNT|6LEGI|7aRCR|8RAT|9BEXP
32	11266 21135	   	276.69	DCR|2VULN|2MLV|1TLV|1AAC|1CDMG	19VULN|29MLV|3TLV|4CDMG|5AAC|6RCR|7RMIN|89ZMB|9BPWR|aRAT
