0	Index      	 *	Score 	Summary	Detail	
1	46121 23351	 * 	309.97	ACR|DCR|2VULN|2MLV|1TLV|1DMG	1MDPS|26VULN|38MLV|4aRCR|5TLV|7DMG|9DMSP
2	62353 43222	 * 	297.85	DCR|3MLV|2VULN|1TLV|2CDMG|1ASPD	128MLV|39LIT|4TLV|59VULN|69CDMG|7RCR|9BPWR|aASPD
3	62353 43321	 * 	293.01	DCR|3VULN|2MLV|1TLV|1AAC|1CDMG	12MLV|3LIT|4TLV|589VULN|6CDMG|7RCR|aAAC
4	62353 53222	 * 	291.82	DCR|3MLV|2VULN|2TLV|1ASPD|1SELL	128MLV|39LIT|49TLV|59VULN|6SELL|7RCR|9BPWR|aASPD
5	62353 43322	   	284.43	DCR|3VULN|2MLV|1TLV|1CDMG	12MLV|3LIT|4TLV|589VULN|6CDMG|7RCR|aDUR
6	62113 21541	 * 	283.67	DCR|DCR|2MLV|1VULN|1AAC	12MLV|3LHND|4RCVC|5BEXP|6VULN|7aRCR|8CGEN|9AAC
7	62233 21541	   	283.67	DCR|DCR|2MLV|1VULN|1AAC	12MLV|3AME|4LWND|5ERES|6VULN|7aRCR|8CGEN|9AAC
8	25433 52254	 * 	283.54	DCR|2VULN|2TLV|2DMG|1MLV|1AAC	1AAC|2MBVNT|3TBNT|4aVULN|5NUKE|6MLV|7aDMG|8RCR|9aTLV|aBPWR
9	62353 43211	   	283.39	DCR|3MLV|2VULN|1TLV|1CDMG	128MLV|3LIT|4TLV|5aVULN|6CDMG|7RCR|9AART
10	23516 14331	 * 	283.13	DCR|2VULN|2AAC|1TLV|1MLV|1DMG|1ASPD	1aAAC|2DMG|3MLV|4RCVC|5TLV|69VULN|7RCR|8ASPD
11	15613 21252	   	283.02	DCR|DCR|2MLV|1VULN|1ASPD	13LHND|23MLV|3BPWR|4RCVC|5BEXP|6VULN|79RCR|8DUST|aASPD
12	63533 11252	   	282.92	DCR|DCR|2MLV|1VULN|1ASPD	13MLV|2RMIN|4VULN|5ERES|6FEWX|79RCR|8DUST|aASPD
13	62113 21252	   	282.92	DCR|DCR|2MLV|1VULN|1ASPD	12MLV|3LHND|4RCVC|5BEXP|6VULN|79RCR|8DUST|aASPD
14	62126 21252	   	282.92	DCR|DCR|2MLV|1VULN|1ASPD	12MLV|35LHND|4BEXP|6VULN|79RCR|8DUST|aASPD
15	62233 21252	   	282.92	DCR|DCR|2MLV|1VULN|1ASPD	12MLV|3AME|4LWND|5ERES|6VULN|79RCR|8DUST|aASPD
16	61523 21252	   	282.82	DCR|DCR|2MLV|1VULN|1ASPD	13MLV|2ERES|4AME|5BEXP|6VULN|79RCR|8DUST|aASPD
17	62523 21252	   	282.82	DCR|DCR|2MLV|1VULN|1ASPD	12MLV|3ERES|4AME|5BEXP|6VULN|79RCR|8DUST|aASPD
18	62353 43233	   	282.03	DCR|3MLV|2VULN|1TLV|1CDMG	128MLV|3LIT|4TLV|5aVULN|6CDMG|7RCR|9RAT
19	15633 41131	   	281.73	DCR|DCR|2MLV|1VULN|2DUR	13LHND|23MLV|3BPWR|4ZMB|5ERES|68DUR|7aRCR|9VULN
20	62133 41131	   	281.63	DCR|DCR|2MLV|1VULN|2DUR	12MLV|3LHND|4ZMB|5ERES|68DUR|7aRCR|9VULN
21	62353 43221	   	281.50	DCR|3MLV|2VULN|1TLV|2CDMG	128MLV|39LIT|4TLV|59VULN|69CDMG|7RCR|9BPWR|aMDPS
22	62353 43223	   	281.50	DCR|3MLV|2VULN|1TLV|2CDMG	128MLV|39LIT|4TLV|59VULN|69CDMG|7RCR|9BPWR|aDUST
23	21414 51131	 * 	280.33	DCR|DCR|1VULN|1TLV|1AAC|2DUR	1AAC|28DUR|3LWND|4RCVC|5TLV|6CGEN|7aRCR|9VULN
24	21324 51531	   	280.23	DCR|DCR|1VULN|1TLV|1AAC|2DUR	1AAC|23DUR|4BEXP|5TLV|68CGEN|7aRCR|9VULN
25	21424 51131	   	280.23	DCR|DCR|1VULN|1TLV|1AAC|2DUR	1AAC|28DUR|3LWND|4AEBURN|5TLV|6CGEN|7aRCR|9VULN
