0	Index      	 *	Score 	Summary	Detail	
1	43321 14533	 * 	292.63	DCR|DCR|2VULN|1MLV|1ASPD|1SELL	1SELL|2DUST|35VULN|4AART|69RCR|7BELT|8ASPD|aMLV
2	12563 31132	 * 	289.55	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2FEWX|3TBNT|4VULN|5AART|6RAT|79RCR|8AME|aMLV
3	12563 31231	   	289.55	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2FEWX|3TBNT|4VULN|5AART|6RAT|79RCR|8MLV|aLHND
4	12563 31232	   	289.55	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2FEWX|3TBNT|4VULN|5AART|6RAT|79RCR|8MLV|aAME
5	12563 31235	   	289.55	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2FEWX|3TBNT|4VULN|5AART|6RAT|79RCR|8MLV|aRPLT
6	16563 31132	   	289.45	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2DUST|3TBNT|4VULN|5AART|6RAT|79RCR|8AME|aMLV
7	16563 31231	   	289.45	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2DUST|3TBNT|4VULN|5AART|6RAT|79RCR|8MLV|aLHND
8	16563 31232	   	289.45	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2DUST|3TBNT|4VULN|5AART|6RAT|79RCR|8MLV|aAME
9	12563 31233	   	289.45	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2FEWX|3TBNT|4VULN|5AART|6RAT|79RCR|8MLV|aBEXP
10	12563 31234	   	289.45	DCR|DCR|1VULN|1TLV|1MLV|1MSE	1TLV|2FEWX|3TBNT|4VULN|5AART|6RAT|79RCR|8MLV|aMSE
11	12563 31236	   	289.45	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1TLV|2FEWX|3TBNT|4VULN|5AART|6RAT|79RCR|8MLV|aSELL
12	16563 31233	   	289.35	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2DUST|3TBNT|4VULN|5AART|6RAT|79RCR|8MLV|aBEXP
