0	Index      	 *	Score 	Summary	Detail	
1	11133 34244	 * 	315.15	DCR|DCR|2VULN|2ASPD|1MLV|1CDMG	1MLV|27ASPD|3FEWX|4CDMG|5aVULN|69RCR|8MDPS
2	14223 32246	 * 	312.62	DCR|4VULN|2MLV|1TLV|1ASPD|2RAT	17MLV|2679VULN|3FRZARM|4ASPD|57RAT|7BPWR|8TLV|aRCR
3	11133 33244	   	308.97	DCR|DCR|2VULN|1MLV|1ASPD|1CDMG	1MLV|2ASPD|3FEWX|4CDMG|5aVULN|69RCR|7DUR|8LHND
4	11133 33344	   	308.97	DCR|DCR|2VULN|1MLV|1ASPD|1CDMG	1MLV|2ASPD|3FEWX|4CDMG|5aVULN|69RCR|7DUR|8LWND
5	11133 31244	   	300.57	DCR|DCR|2VULN|1MLV|1ASPD|1CDMG	1MLV|2ASPD|3FEWX|4CDMG|5aVULN|69RCR|7DMSP|8MDPS
6	11133 35244	   	300.57	DCR|DCR|2VULN|1MLV|1ASPD|1CDMG	1MLV|2ASPD|3FEWX|4CDMG|5aVULN|69RCR|7BEXP|8LHND
7	11133 35344	   	300.57	DCR|DCR|2VULN|1MLV|1ASPD|1CDMG	1MLV|2ASPD|3FEWX|4CDMG|5aVULN|69RCR|7BEXP|8LWND
8	11133 36244	   	300.57	DCR|DCR|2VULN|1MLV|1ASPD|1CDMG	1MLV|2ASPD|37FEWX|4CDMG|5aVULN|69RCR|8MDPS
9	11133 34241	 * 	300.30	DCR|DCR|3ASPD|1VULN|1MLV|1CDMG	1MLV|27aASPD|3FEWX|4CDMG|5VULN|69RCR|8MDPS
10	14213 16232	 * 	296.91	DCR|3VULN|2MLV|2TLV|1DMG	19MLV|269VULN|3FRZARM|4LWND|5RMIN|79TLV|8RCR|9BPWR|aDMG
11	14413 16232	   	296.81	DCR|3VULN|2MLV|2TLV|1DMG	19MLV|269VULN|3BASARM|4LWND|5RMIN|79TLV|8RCR|9BPWR|aDMG
12	11133 33241	   	295.48	DCR|DCR|1VULN|2ASPD|1MLV|1CDMG	1MLV|2aASPD|3FEWX|4CDMG|5VULN|69RCR|7DUR|8LHND
13	11133 33341	   	295.48	DCR|DCR|1VULN|2ASPD|1MLV|1CDMG	1MLV|2aASPD|3FEWX|4CDMG|5VULN|69RCR|7DUR|8LWND
14	11413 33244	   	294.98	DCR|DCR|2VULN|1MLV|1ASPD|1SELL	1MLV|2ASPD|3SELL|4DUST|5aVULN|69RCR|7DUR|8LHND
15	11413 33344	   	294.98	DCR|DCR|2VULN|1MLV|1ASPD|1SELL	1MLV|2ASPD|3SELL|4DUST|5aVULN|69RCR|7DUR|8LWND
16	11433 33344	   	294.98	DCR|DCR|2VULN|1MLV|1ASPD|1SELL	1MLV|2ASPD|3SELL|4LHND|5aVULN|69RCR|7DUR|8BEXP
17	11312 26145	 * 	294.23	DCR|2MLV|2DMG|1VULN|1TLV|2ASPD|2DUR|1SELL	17MLV|27ASPD|3TLV|4SELL|5VULN|67DMG|7BPWR|89DUR|aRCR
18	14223 32231	   	292.37	DCR|3VULN|2MLV|1TLV|1ASPD|2RAT	17MLV|267VULN|3FRZARM|4ASPD|57RAT|7BPWR|8TLV|9BEXP|aRCR
19	14423 32231	   	292.27	DCR|3VULN|2MLV|1TLV|1ASPD|2RAT	17MLV|267VULN|3BASARM|4ASPD|57RAT|7BPWR|8TLV|9BEXP|aRCR
20	63541 48131	   	289.72	DCR|DCR|2VULN|1DMG|1AAC	1AAC|2ZMB|3MBVNT|45VULN|6DUR|79RCR|8DMG|aLWND
21	63541 48132	   	289.72	DCR|DCR|2VULN|1DMG|1AAC	1AAC|2ZMB|3MBVNT|45VULN|6DUR|79RCR|8DMG|aCGEN
22	16216 36233	 * 	289.69	DCR|3MLV|2TLV|1VULN|1DMG|2DUR	139MLV|23FRZARM|39BPWR|49DUR|5DMG|6VULN|79TLV|8RCR|aRAT
23	63541 48133	   	289.62	DCR|DCR|2VULN|1DMG|1AAC	1AAC|2ZMB|3MBVNT|45VULN|6DUR|79RCR|8DMG|aBEXP
24	63541 48134	   	289.62	DCR|DCR|2VULN|1DMG|1AAC	1AAC|2ZMB|3MBVNT|45VULN|6DUR|79RCR|8DMG|aCANSTR
25	14133 11242	 * 	288.09	DCR|3VULN|2MLV|2DMG|2CDMG	19MLV|259VULN|3NUKE|46CDMG|7CGEN|89DMG|9BPWR|aRCR
26	14133 51242	   	288.09	DCR|3VULN|2MLV|2DMG|2CDMG	19MLV|259VULN|3NUKE|47CDMG|6CGEN|89DMG|9BPWR|aRCR
27	14133 31242	   	287.99	DCR|3VULN|2MLV|2DMG|2CDMG	19MLV|259VULN|3NUKE|47CDMG|6ERES|89DMG|9BPWR|aRCR
