0	Index      	 *	Score 	Summary	Detail	
1	32313 42152	 * 	313.96	DCR|DCR|2VULN|1TLV|1MLV|1CDMG	1TLV|25VULN|3MSLFST|4MLV|6ERES|7LWND|8aRCR|9CDMG
2	32314 32525	 * 	299.79	DCR|3VULN|2TLV|2ASPD|1MLV|1DMG	18TLV|289VULN|3MSLFST|4MLV|5RMIN|68ASPD|7RCR|8BPWR|aDMG
3	42332 34152	   	296.07	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1CGEN|2VULN|3MSLFST|4DUR|5MLV|6TLV|7AEWIND|8aRCR|9CDMG
4	21116 14352	   	293.68	DCR|DCR|2VULN|1TLV|1CDMG	1DUST|2DUR|37VULN|4SPLREG|5FEWX|6CDMG|8aRCR|9TLV
5	35314 22152	 * 	289.98	DCR|DCR|2MLV|1TLV|1CDMG	1TLV|2DUR|3SPLARM|47MLV|5RMIN|6LHND|8aRCR|9CDMG
6	23332 33552	   	289.88	DCR|DCR|2MLV|1TLV|1CDMG	1DUST|2TLV|3SPLARM|4DUR|57MLV|6CDMG|8aRCR|9AME
7	33332 33552	   	289.88	DCR|DCR|2MLV|1TLV|1CDMG	1TLV|2DUST|3SPLARM|4DUR|57MLV|6CDMG|8aRCR|9AME
8	43313 35152	   	287.86	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1CGEN|2DUST|3SPLARM|4MLV|5VULN|6TLV|7RCVC|8aRCR|9CDMG
9	43313 34152	   	287.76	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1CGEN|2DUST|3SPLARM|4MLV|5VULN|6TLV|7AEWIND|8aRCR|9CDMG
10	43313 36152	   	287.76	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1CGEN|27DUST|3SPLARM|4MLV|5VULN|6TLV|8aRCR|9CDMG
11	32314 25152	   	287.76	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1TLV|2VULN|3MSLFST|4MLV|5RMIN|6LEGI|7RCVC|8aRCR|9CDMG
12	31425 12152	   	287.66	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1TLV|2ERES|3AEFBLL|4MLV|5SNIFST|6VULN|7LWND|8aRCR|9CDMG
13	32311 42152	   	287.66	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1TLV|2VULN|3MSLFST|4MLV|5AEWIND|6ERES|7LWND|8aRCR|9CDMG
14	32314 24152	   	287.66	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1TLV|2VULN|3MSLFST|4MLV|5RMIN|6LEGI|7AEWIND|8aRCR|9CDMG
15	32315 42152	   	287.66	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1TLV|2VULN|3MSLFST|4MLV|5AEFRZ|6ERES|7LWND|8aRCR|9CDMG
16	32314 32524	   	286.66	DCR|3VULN|2TLV|2ASPD|1MLV	18TLV|289VULN|3MSLFST|4MLV|5RMIN|68ASPD|7RCR|8BPWR|aRAT
17	12422 14352	   	285.27	DCR|DCR|2VULN|1TLV|1CDMG	1MDPS|2AEBURN|3VENICY|4DUST|57VULN|6CDMG|8aRCR|9TLV
18	12612 14352	   	285.17	DCR|DCR|2VULN|1TLV|1CDMG	1MDPS|2AEBURN|3DUST|4CANSTR|57VULN|6CDMG|8aRCR|9TLV
19	14212 14352	   	285.17	DCR|DCR|2VULN|1TLV|1CDMG	13MDPS|2DUST|4CANSTR|57VULN|6CDMG|8aRCR|9TLV
20	26212 14352	   	285.17	DCR|DCR|2VULN|1TLV|1CDMG	1DUST|23MDPS|4CANSTR|57VULN|6CDMG|8aRCR|9TLV
