0	Index      	 *	Score 	Summary	Detail	
1	52233 16131	 * 	280.31	DCR|3VULN|1TLV|2ASPD|1MLV|2AART	1aAEBURN|28aVULN|3MLV|45AART|6TLV|7RCR|9aASPD|aBPWR
2	52231 31541	 * 	276.63	DCR|DCR|2VULN|1MLV	1AEBURN|2aVULN|3MLV|4AART|5AME|69RCR|7BBNT|8FEWX
3	52234 31341	   	276.53	DCR|DCR|2VULN|1MLV	1AEBURN|2aVULN|3MLV|4AART|5CGEN|69RCR|7TBNT|8DUST
4	42322 63121	 * 	275.04	DCR|DCR|2VULN|1DMG	1LIT|2FEWX|3DMG|47VULN|5RAT|69RCR|8AEFRZ|aDUR
5	44322 63121	   	274.94	DCR|DCR|2VULN|1DMG	1LIT|2DUST|3DMG|47VULN|5RAT|69RCR|8AEFRZ|aDUR
6	42322 61421	 * 	272.52	DCR|DCR|1VULN|1TLV|1DMG	1LIT|2FEWX|3DMG|4VULN|5RAT|69RCR|7MDPS|8TLV|aDUST
7	42322 61422	   	272.52	DCR|DCR|1VULN|1TLV|1DMG|1SELL	1LIT|2FEWX|3DMG|4VULN|5RAT|69RCR|7MDPS|8TLV|aSELL
8	42322 61423	   	272.52	DCR|DCR|1VULN|1TLV|1DMG	1LIT|2FEWX|3DMG|4VULN|5RAT|69RCR|7MDPS|8TLV|aBLAICY
9	52341 44218	 * 	269.83	DCR|4VULN|1TLV|1MLV|1ASPD	16AEBURN|2346VULN|5MBVNT|6BPWR|7MLV|8TLV|9ASPD|aRCR
10	52233 16132	 * 	269.29	DCR|2VULN|2MLV|1TLV|1ASPD|2AART	1AEBURN|28VULN|3aMLV|45AART|6TLV|7RCR|9ASPD
11	53212 26432	 * 	268.52	DCR|3VULN|3MLV|1AAC|1SELL	17AEBURN|2FEWX|378MLV|4SELL|567VULN|7BPWR|9AAC|aRCR
12	52231 32131	 * 	267.57	DCR|3VULN|2MLV|2ASPD	17aAEBURN|28aVULN|37MLV|4AART|57AME|6RCR|7aBPWR|9aASPD
13	52234 32131	   	267.57	DCR|3VULN|2MLV|2ASPD	17aAEBURN|28aVULN|37MLV|4AART|57CGEN|6RCR|7aBPWR|9aASPD
14	42322 63122	   	266.73	DCR|DCR|2VULN|1DMG	1LIT|2FEWX|3DMG|47VULN|5RAT|69RCR|8AEFRZ|aLHND
15	42322 63124	   	266.73	DCR|DCR|2VULN|1DMG	1LIT|2aFEWX|3DMG|47VULN|5RAT|69RCR|8AEFRZ
16	42322 63126	   	266.73	DCR|DCR|2VULN|1DMG	1LIT|2FEWX|3DMG|47VULN|5RAT|69RCR|8AEFRZ|aBBNT
17	44322 63122	   	266.63	DCR|DCR|2VULN|1DMG	1LIT|2DUST|3DMG|47VULN|5RAT|69RCR|8AEFRZ|aLHND
18	41232 63126	   	266.63	DCR|DCR|2VULN|1DMG	1LIT|2ZMB|37VULN|4DUST|5RAT|69RCR|8AEFRZ|aDMG
19	42322 63123	   	266.63	DCR|DCR|2VULN|1DMG	1LIT|2FEWX|3DMG|47VULN|5RAT|69RCR|8AEFRZ|aAEFBLL
20	44322 63123	   	266.53	DCR|DCR|2VULN|1DMG	1LIT|2DUST|3DMG|47VULN|5RAT|69RCR|8AEFRZ|aAEFBLL
21	12133 12265	   	265.57	DCR|DCR|1VULN|1MLV	1MULHEA|2RAT|3DUR|4AART|5RMIN|69RCR|7BEXP|8MLV|aVULN
22	32133 12265	   	265.57	DCR|DCR|1VULN|1MLV	1MSLFST|2RAT|3DUR|4AART|5RMIN|69RCR|7BEXP|8MLV|aVULN
23	62223 13636	   	265.45	DCR|3VULN|1TLV|2ASPD|1MLV	1AME|2CGEN|3MLV|458VULN|67ASPD|9RCR|aTLV
24	62223 13336	 * 	263.37	DCR|2VULN|1TLV|2ASPD|1MLV|1DMG	1AME|2CGEN|3MLV|45VULN|67ASPD|8DMG|9RCR|aTLV
25	41232 63125	   	262.82	DCR|DCR|2VULN|1ASPD	1LIT|2ZMB|37VULN|4DUST|5RAT|69RCR|8AEFRZ|aASPD
26	52231 33131	 * 	260.83	DCR|4VULN|2ASPD|1MLV	1aAEBURN|278aVULN|3MLV|4AART|5AME|6RCR|9aASPD|aBPWR
27	52234 33131	   	260.83	DCR|4VULN|2ASPD|1MLV	1aAEBURN|278aVULN|3MLV|4AART|5CGEN|6RCR|9aASPD|aBPWR
28	62223 13631	   	259.17	DCR|3VULN|2MLV|2ASPD	1AME|2CGEN|3aMLV|458VULN|67ASPD|9RCR
29	15113 25241	   	257.26	DCR|DCR|1VULN|1MLV	1MULHEA|2ZMB|3DUST|4VULN|5MLV|6DUR|79RCR|8FEWX|aRAT
30	35113 25241	   	257.26	DCR|DCR|1VULN|1MLV	1MSLFST|2ZMB|3DUST|4VULN|5MLV|6DUR|79RCR|8FEWX|aRAT
31	14511 11431	   	257.16	DCR|DCR|1VULN|1MLV	12MULHEA|2BPWR|3RPLT|4ERES|5DUR|69RCR|7VULN|8RAT|aMLV
32	15113 25341	   	257.16	DCR|DCR|1VULN|1MLV	1MULHEA|2ZMB|3DUST|4VULN|5MLV|6DUR|79RCR|8LEGI|aRAT
33	34511 11431	   	257.16	DCR|DCR|1VULN|1MLV	12MSLFST|2BPWR|3RPLT|4ERES|5DUR|69RCR|7VULN|8RAT|aMLV
34	35113 25341	   	257.16	DCR|DCR|1VULN|1MLV	1MSLFST|2ZMB|3DUST|4VULN|5MLV|6DUR|79RCR|8LEGI|aRAT
35	21622 51361	 * 	255.45	DCR|3VULN|1MLV|1DMG|1ASPD	1AART|2DUR|3MLV|4DMG|59aVULN|6FEWX|7RCR|8ASPD
36	21622 11361	   	255.35	DCR|3VULN|1MLV|1DMG|1ASPD	1AART|2DUR|3MLV|4DMG|59aVULN|6DUST|7RCR|8ASPD
37	52323 53412	   	254.89	DCR|4VULN|1TLV|1ASPD|1CDMG	1AEBURN|2378VULN|4CDMG|5DUST|6RCR|9TLV|aASPD
38	41232 46121	   	254.88	DCR|DCR|2VULN	1LIT|2ZMB|36VULN|4DUST|5RAT|79RCR|8AEFRZ|aDUR
39	41232 63121	   	254.88	DCR|DCR|2VULN	1LIT|2ZMB|37VULN|4DUST|5RAT|69RCR|8AEFRZ|aDUR
40	41422 63121	   	254.88	DCR|DCR|2VULN	1LIT|2ZMB|3AETHUN|47VULN|5RAT|69RCR|8AEFRZ|aDUR
41	52231 32132	 * 	254.29	DCR|3MLV|2VULN|1ASPD	17AEBURN|28VULN|37aMLV|4AART|57AME|6RCR|7BPWR|9ASPD
42	52234 32132	   	254.29	DCR|3MLV|2VULN|1ASPD	17AEBURN|28VULN|37aMLV|4AART|57CGEN|6RCR|7BPWR|9ASPD
43	24613 83132	 * 	254.00	DCR|2MLV|1VULN|1TLV|1DMG|1CDMG	1AART|2RMIN|37MLV|4MBVNT|5VULN|6DMG|8CDMG|9TLV|aRCR
44	22342 16341	   	253.93	DCR|DCR|1VULN|1TLV	1AART|2AEBURN|3AME|4LWND|5FEWX|6TLV|79RCR|8TBNT|aVULN
45	26213 61148	   	253.93	DCR|DCR|1VULN|1TLV	1AART|2ZMB|3FEWX|4RMIN|5VULN|6LHND|7aRCR|8MBVNT|9TLV
46	24613 13371	   	253.43	DCR|3VULN|2MLV|1AAC	1AART|2RMIN|38MLV|4MBVNT|58aVULN|68DUST|7AAC|8BPWR|9RCR
47	24636 23332	 * 	253.14	ACR|DCR|2VULN|1MLV|1CDMG	1AART|2RMIN|3MLV|4CDMG|5aRCR|6AEPOI|7MBVNT|89VULN
48	21326 21226	   	252.85	DCR|1VULN|1TLV|1MLV|1DMG|1ASPD|1CDMG	1AART|2DUR|3CDMG|4DMG|5LIT|6ASPD|7MLV|8TLV|9RCR|aVULN
49	52231 33132	   	252.79	DCR|3VULN|2MLV|1ASPD	1AEBURN|278VULN|3aMLV|4AART|5AME|6RCR|9ASPD
50	52234 33132	   	252.79	DCR|3VULN|2MLV|1ASPD	1AEBURN|278VULN|3aMLV|4AART|5CGEN|6RCR|9ASPD
51	41232 61421	   	252.36	DCR|DCR|1VULN|1TLV|1MSE	1LIT|2ZMB|3VULN|4DUST|5RAT|69RCR|7MDPS|8TLV|aMSE
52	41232 61422	   	252.36	DCR|DCR|1VULN|1TLV|1SELL	1LIT|2ZMB|3VULN|4DUST|5RAT|69RCR|7MDPS|8TLV|aSELL
53	41232 61423	   	252.36	DCR|DCR|1VULN|1TLV	1LIT|2ZMB|3VULN|4DUST|5RAT|69RCR|7MDPS|8TLV|aBLAICY
54	52233 16135	   	251.79	DCR|2VULN|1TLV|1MLV|1ASPD|2AART	1AEBURN|28VULN|3MLV|45AART|6TLV|7RCR|9ASPD|aDUR
55	53212 26422	 * 	251.63	DCR|3VULN|3MLV|1SELL	17AEBURN|2FEWX|378MLV|4SELL|567VULN|7BPWR|9ZMB|aRCR
56	52214 51222	 * 	251.53	DCR|3MLV|1VULN|1TLV|1ASPD|1SELL	1AEBURN|2VULN|379MLV|4SELL|5TLV|6RCR|8RMIN|aASPD
57	23631 33341	   	250.52	DCR|DCR|1VULN|1MLV	1AART|2LHND|3MLV|4DMSP|5AME|69RCR|7FEWX|8TBNT|aVULN
58	23611 36341	   	250.42	DCR|DCR|1VULN|1MLV	1AART|2LHND|3MLV|45RMIN|69RCR|7BEXP|8TBNT|aVULN
59	23631 36341	   	250.42	DCR|DCR|1VULN|1MLV	1AART|2LHND|3MLV|4DMSP|5AME|69RCR|7BEXP|8TBNT|aVULN
60	23634 31341	   	250.42	DCR|DCR|1VULN|1MLV	1AART|2LHND|3MLV|4DMSP|5CGEN|69RCR|7BBNT|8DUST|aVULN
61	52231 31542	   	250.32	DCR|DCR|1VULN|1MLV	1AEBURN|2VULN|3MLV|4AART|5AME|69RCR|7BBNT|8FEWX|aBEXP
62	52231 31543	   	250.32	DCR|DCR|1VULN|1MLV	1AEBURN|2VULN|3MLV|4AART|5AME|69RCR|7BBNT|8FEWX|aAEFBLL
