0	Index      	 *	Score 	Summary	Detail	
1	11352 61153	 * 	217.94	紫4易伤3伤害2暴击2时间	158a易伤2平台3核4加一68时间78a伤害8a序列升级9a暴击
2	11312 61143	   	205.70	紫4易伤3伤害2暴击	158a易伤2平台3核48基地爆炸6挖青78a伤害8a序列升级9a暴击
3	11352 81153	   	205.70	紫4易伤3伤害2暴击	158a易伤2平台3核4加一68低血量敌人78a伤害8a序列升级9a暴击
4	26312 61143	   	205.70	紫4易伤3伤害2暴击	1平台258a易伤3核48基地爆炸6挖青78a伤害8a序列升级9a暴击
5	11352 71153	   	205.50	紫4易伤3伤害2暴击	158a易伤2平台3核4加一6挖青78a伤害8a序列升级9a暴击
6	11362 61143	   	205.50	紫4易伤3伤害2暴击	158a易伤2平台3核48挖尘6挖青78a伤害8a序列升级9a暴击
7	11351 61153	   	203.83	紫3易伤3伤害2暴击2时间	18a易伤2平台3核4加一5立即金币68时间78a伤害8a序列升级9a暴击
8	11312 51143	   	202.38	紫4易伤2伤害2暴击2时间	158a易伤2平台3核4a基地爆炸68时间78伤害8a序列升级9a暴击
9	26312 51143	   	202.38	紫4易伤2伤害2暴击2时间	1平台258a易伤3核4a基地爆炸68时间78伤害8a序列升级9a暴击
10	11362 51143	   	202.18	紫4易伤2伤害2暴击2时间	158a易伤2平台3核4a挖尘68时间78伤害8a序列升级9a暴击
11	11534 52742	 * 	200.23	橙3易伤2伤害1全技能2暴击	19a易伤2平台3全技能4加一5等级69伤害7核89暴击9序列升级
12	11352 61353	   	198.34	紫3易伤3伤害2暴击	15a易伤2平台3核4加一6时间78a伤害9a暴击a序列升级
13	11352 33733	   	196.79	紫4易伤2伤害2暴击	156a易伤2平台3核4加一7时间8a暴击9a伤害a序列升级
14	26352 33733	   	196.79	紫4易伤2伤害2暴击	1平台256a易伤3核4加一7时间8a暴击9a伤害a序列升级
15	11357 12316	 * 	196.24	紫3易伤2伤害1全技能2策反	19a易伤2平台3核4加一5基地爆炸6全技能79伤害89策反9序列升级
16	11312 51141	   	195.87	紫4易伤2伤害1暴击2时间	158a易伤2平台3核4基地爆炸68时间78伤害8序列升级9暴击
17	26312 51141	   	195.87	紫4易伤2伤害1暴击2时间	1平台258a易伤3核4基地爆炸68时间78伤害8序列升级9暴击
18	11352 61148	   	195.77	紫4易伤2伤害1喷火对愈2时间	158a易伤2平台3核4加一68时间78伤害8序列升级9喷火对愈
19	11352 61151	   	195.77	紫4易伤2伤害1暴击2时间	158a易伤2平台3核4加一68时间78伤害8序列升级9暴击
20	11362 51141	   	195.77	紫4易伤2伤害1暴击2时间	158a易伤2平台3核4挖尘68时间78伤害8序列升级9暴击
21	11357 12318	   	194.24	紫2易伤2伤害1全技能2策反1暴击	19易伤2平台3核4加一5基地爆炸6全技能79伤害89策反9序列升级a暴击
22	43536 31233	 * 	193.47	紫4易伤2伤害3策反	1核弹237策反467a易伤5核7a序列升级8随机矿9a伤害
23	23352 12573	 * 	192.83	紫3易伤2伤害2全技能	1平台29敌人爆炸3核4加一59a易伤68全技能79伤害9序列升级
24	11312 51145	   	192.77	紫3易伤2伤害1暴击2时间1策反	158易伤2平台3核4基地爆炸68时间78伤害8序列升级9暴击a策反
25	11352 61143	   	192.67	紫3易伤2伤害1喷火对愈2时间1策反	158易伤2平台3核4加一68时间78伤害8序列升级9喷火对愈a策反
26	26352 61143	   	192.67	紫3易伤2伤害1喷火对愈2时间1策反	1平台258易伤3核4加一68时间78伤害8序列升级9喷火对愈a策反
27	11356 33114	 * 	191.90	紫3易伤2伤害3攻速3时间	18a易伤2平台3核4加一58a攻速678时间8a序列升级9a伤害
28	26356 33114	   	191.90	紫3易伤2伤害3攻速3时间	1平台28a易伤3核4加一58a攻速678时间8a序列升级9a伤害
29	11311 61143	   	191.60	紫3易伤3伤害2暴击	18a易伤2平台3核48基地爆炸5立即金币6挖青78a伤害8a序列升级9a暴击
30	11351 81153	   	191.60	紫3易伤3伤害2暴击	18a易伤2平台3核4加一5立即金币68低血量敌人78a伤害8a序列升级9a暴击
31	26311 61143	   	191.60	紫3易伤3伤害2暴击	1平台28a易伤3核48基地爆炸5立即金币6挖青78a伤害8a序列升级9a暴击
32	11312 61343	   	191.40	紫3易伤3伤害2暴击	15a易伤2平台3核4基地爆炸6挖青78a伤害9a暴击a序列升级
33	11351 71153	   	191.40	紫3易伤3伤害2暴击	18a易伤2平台3核4加一5立即金币6挖青78a伤害8a序列升级9a暴击
34	11352 81353	   	191.40	紫3易伤3伤害2暴击	15a易伤2平台3核4加一6低血量敌人78a伤害9a暴击a序列升级
35	11361 61143	   	191.40	紫3易伤3伤害2暴击	18a易伤2平台3核48挖尘5立即金币6挖青78a伤害8a序列升级9a暴击
36	26312 61343	   	191.40	紫3易伤3伤害2暴击	1平台25a易伤3核4基地爆炸6挖青78a伤害9a暴击a序列升级
37	11352 71353	   	191.30	紫3易伤3伤害2暴击	15a易伤2平台3核4加一6挖青78a伤害9a暴击a序列升级
38	11362 61343	   	191.30	紫3易伤3伤害2暴击	15a易伤2平台3核4挖尘6挖青78a伤害9a暴击a序列升级
39	11312 33633	   	190.57	紫4易伤2伤害1暴击	156a易伤2平台3核4a基地爆炸7时间8暴击9a伤害a序列升级
40	26312 33633	   	190.57	紫4易伤2伤害1暴击	1平台256a易伤3核4a基地爆炸7时间8暴击9a伤害a序列升级
41	11362 33633	   	190.37	紫4易伤2伤害1暴击	156a易伤2平台3核4a挖尘7时间8暴击9a伤害a序列升级
42	26362 33633	   	190.37	紫4易伤2伤害1暴击	1平台256a易伤3核4a挖尘7时间8暴击9a伤害a序列升级
43	11312 61443	   	189.85	紫4易伤2伤害2暴击	158a易伤2平台3核4基地爆炸6挖青7a伤害9a暴击a序列升级
44	11352 38733	   	189.85	紫4易伤2伤害2暴击	156a易伤2平台3核4加一7最后敌人8a暴击9a伤害a序列升级
45	11312 35641	 * 	189.75	紫5易伤2伤害	15679易伤2平台3核49基地爆炸89伤害9序列升级a攻速
46	11311 51143	   	188.28	紫3易伤2伤害2暴击2时间	18a易伤2平台3核4a基地爆炸5立即金币68时间78伤害8a序列升级9a暴击
47	11316 51143	   	188.28	紫3易伤2伤害2暴击2时间	18a易伤2平台3核45a基地爆炸68时间78伤害8a序列升级9a暴击
48	26311 51143	   	188.28	紫3易伤2伤害2暴击2时间	1平台28a易伤3核4a基地爆炸5立即金币68时间78伤害8a序列升级9a暴击
49	11361 51143	   	188.08	紫3易伤2伤害2暴击2时间	18a易伤2平台3核4a挖尘5立即金币68时间78伤害8a序列升级9a暴击
50	11352 63733	   	187.98	紫3易伤2伤害2暴击2时间	15a易伤2平台3核4加一67时间8a暴击9a伤害a序列升级
