0	Index      	 *	Score 	Summary	Detail	
1	11236 25262	 * 	262.91	橙3易伤3伤害3时间1全技能1暴击	18a易伤2电球减费3暴击4全技能5挖青68a时间78a伤害8a序列升级9核
2	11213 25262	 * 	255.63	橙3易伤3伤害3暴击1全技能1时间	18a易伤2电球减费38a暴击4最后敌人5全技能6时间78a伤害8a序列升级9核
3	11231 25262	   	255.63	橙3易伤3伤害3暴击1全技能1时间	18a易伤2电球减费38a暴击4全技能5低血量敌人6时间78a伤害8a序列升级9核
4	11233 25265	   	255.63	橙3易伤3伤害3暴击1全技能1时间	18a易伤2电球减费38a暴击4全技能5基地爆炸6时间78a伤害8a序列升级9核
5	11235 25262	   	255.63	橙3易伤3伤害3暴击1全技能1时间	18a易伤2电球减费38a暴击4全技能5最后敌人6时间78a伤害8a序列升级9核
6	11231 35262	   	244.63	橙3易伤3伤害3暴击1全技能	18a易伤2电球减费38a暴击4全技能5低血量敌人6最后敌人78a伤害8a序列升级9核
7	11233 35265	   	244.63	橙3易伤3伤害3暴击1全技能	18a易伤2电球减费38a暴击4全技能5基地爆炸6最后敌人78a伤害8a序列升级9核
8	11236 25362	   	237.54	橙3易伤2伤害1全技能2时间1暴击	18a易伤2电球减费3暴击4全技能5挖青6a时间7a伤害9核a序列升级
9	15512 42242	 * 	235.51	橙3易伤2伤害2攻速1全技能	14a易伤2全技能3a伤害5技能点6加一7金币生成8核9a攻速a序列升级
10	15512 41242	   	235.41	橙3易伤2伤害2攻速1全技能	14a易伤2全技能3a伤害5技能点6加一7等级8核9a攻速a序列升级
11	15522 41242	   	235.31	橙3易伤2伤害2攻速1全技能	15a易伤2全技能3a伤害4掉矿6加一7等级8核9a攻速a序列升级
12	11213 25362	   	233.74	橙3易伤2伤害1全技能2暴击1时间	18a易伤2电球减费3a暴击4最后敌人5全技能6时间7a伤害9核a序列升级
13	11231 25362	   	233.74	橙3易伤2伤害1全技能2暴击1时间	18a易伤2电球减费3a暴击4全技能5低血量敌人6时间7a伤害9核a序列升级
14	11233 25365	   	233.74	橙3易伤2伤害1全技能2暴击1时间	18a易伤2电球减费3a暴击4全技能5基地爆炸6时间7a伤害9核a序列升级
15	11235 25362	   	233.74	橙3易伤2伤害1全技能2暴击1时间	18a易伤2电球减费3a暴击4全技能5最后敌人6时间7a伤害9核a序列升级
