0	Index      	 *	Score 	Summary	Detail	
1	42421 26113	 * 	237.77	紫2散射对甲3易伤2伤害1攻速1暴击1时间	18a易伤2最后敌人38散射对甲4核5攻速6时间78伤害8序列升级9暴击
2	44322 23333	 * 	236.68	橙3易伤3伤害1双倍秒伤1全技能1攻速	147易伤2双倍秒伤347伤害47序列升级5电球减费67敌人爆炸8核9攻速a全技能
3	44322 23361	 * 	233.60	橙4易伤3伤害1双倍秒伤1核弹	1479易伤2双倍秒伤347伤害47序列升级5电球减费67敌人爆炸8核a核弹
4	44322 23363	 * 	228.74	橙5易伤3伤害1双倍秒伤	1479a易伤2双倍秒伤347伤害47a序列升级5电球减费67a敌人爆炸8核
5	42422 36113	   	220.75	紫2散射对甲3易伤2伤害1暴击1策反	18a易伤2最后敌人38散射对甲4核5挖尘6策反78伤害8序列升级9暴击
6	44322 23313	 * 	220.33	橙3易伤3伤害1双倍秒伤1全技能1核弹	147易伤2双倍秒伤347伤害47序列升级5电球减费67敌人爆炸8核9核弹a全技能
7	44322 23311	   	216.61	橙3易伤3伤害1双倍秒伤1核弹	147易伤2双倍秒伤347伤害47序列升级5电球减费67敌人爆炸8核9核弹a低血量敌人
8	44322 23312	   	216.61	橙3易伤3伤害1双倍秒伤1核弹	147易伤2双倍秒伤347伤害47序列升级5电球减费67敌人爆炸8核9核弹a金币生成
9	44322 23315	   	216.61	橙3易伤3伤害1双倍秒伤1核弹	147易伤2双倍秒伤347伤害47序列升级5电球减费67敌人爆炸8核9核弹a基地爆炸
10	44322 23316	   	216.61	橙3易伤3伤害1双倍秒伤1核弹	147易伤2双倍秒伤347伤害47序列升级5电球减费67敌人爆炸8核9核弹a矿等
11	44322 23326	 * 	215.90	橙2双倍秒伤3易伤3伤害	147易伤2a双倍秒伤347伤害47序列升级5电球减费67敌人爆炸8核9最后敌人
12	64213 14311	 * 	215.19	橙3易伤3策反1全技能1伤害	169策反2全技能3伤害489易伤59技能点7核9序列升级a低血量敌人
13	64213 14312	   	215.19	橙3易伤3策反1全技能1伤害	169策反2全技能3伤害489易伤59技能点7核9序列升级a平台
14	64213 14313	   	215.09	橙3易伤3策反1全技能1伤害1挖怪	169策反2全技能3伤害489易伤59技能点7核9序列升级a挖怪
15	44322 23362	   	213.44	橙4易伤3伤害1双倍秒伤	1479易伤2双倍秒伤347伤害47序列升级5电球减费67敌人爆炸8核a掉矿
16	44322 23331	   	212.90	橙3易伤3伤害1双倍秒伤1攻速	147易伤2双倍秒伤347伤害47序列升级5电球减费67敌人爆炸8核9攻速a低血量敌人
17	44322 23332	   	212.90	橙3易伤3伤害1双倍秒伤1攻速	147易伤2双倍秒伤347伤害47序列升级5电球减费67敌人爆炸8核9攻速a金币生成
18	44322 23335	   	212.90	橙3易伤3伤害1双倍秒伤1攻速	147易伤2双倍秒伤347伤害47序列升级5电球减费67敌人爆炸8核9攻速a基地爆炸
19	44322 23336	   	212.90	橙3易伤3伤害1双倍秒伤1攻速	147易伤2双倍秒伤347伤害47序列升级5电球减费67敌人爆炸8核9攻速a矿等
20	44322 23136	   	209.54	橙4易伤3伤害1双倍秒伤	1478易伤2双倍秒伤347伤害47序列升级5电球减费67敌人爆炸9金币生成a核
21	44211 21522	   	209.28	橙3伤害2易伤1双倍秒伤1攻速1暴击	18易伤2双倍秒伤3金币生成458伤害68最后敌人7核8序列升级9暴击a攻速
22	64212 52331	   	208.63	橙2易伤1双倍秒伤1全技能1伤害1暴击1策反	1策反2全技能3伤害47易伤5立即金币6暴击8低血量敌人9核a双倍秒伤
23	44336 23131	 * 	208.22	橙3伤害2易伤1双倍秒伤2攻速	19易伤2双倍秒伤359伤害4基地爆炸6敌人爆炸79攻速8核9序列升级a低血量敌人
24	44336 23132	   	208.22	橙3伤害2易伤1双倍秒伤2攻速	19易伤2双倍秒伤359伤害4基地爆炸6敌人爆炸79攻速8核9序列升级a金币生成
25	44336 23133	   	208.22	橙3伤害2易伤1双倍秒伤2攻速	19易伤2双倍秒伤359伤害4基地爆炸6敌人爆炸79攻速8核9序列升级a双倍矿
