0	Index      	 *	Score 	Summary	Detail	
1	34126 13521	 * 	221.37	ACR|4VULN|2DMG|2ASPD|1CDMG	1ERES|2RCR|35ASPD|45DMG|5BPWR|689aVULN|7CDMG
2	52633 11321	 * 	221.27	DCR|3DMG|2VULN|3ZMB|1ASPD	138DMG|234ZMB|3BPWR|59VULN|6BEXP|7RCR|aASPD
3	52633 31321	   	221.17	DCR|3DMG|2VULN|3ZMB|1ASPD	138DMG|234ZMB|3BPWR|59VULN|6DUST|7RCR|aASPD
4	52623 53131	 * 	218.84	DCR|2VULN|2DMG|2CDMG|1ASPD|2ZMB	13DMG|23ZMB|3BPWR|4aVULN|58CDMG|6RCR|7LIT|9ASPD
5	35223 12641	 * 	216.75	ACR|3VULN|3DMG|1AART|1ASPD	189ERES|2AART|3RCR|489DMG|5ASPD|6LHND|789VULN|89BPWR|aRMIN
6	52623 52121	 * 	216.61	DCR|3VULN|2DMG|2CDMG|2ZMB	13DMG|23ZMB|3BPWR|49aVULN|58CDMG|6RCR|7AME
7	11253 61323	 * 	215.65	DCR|3ASPD|2VULN|1DMG|1CDMG|1ZMB	1BEXP|29VULN|346ASPD|5DMG|7RCR|8CDMG|aZMB
8	21253 61323	   	215.55	DCR|3ASPD|2VULN|1DMG|1CDMG|1ZMB	1DUST|29VULN|346ASPD|5DMG|7RCR|8CDMG|aZMB
9	34126 13522	   	213.82	ACR|3VULN|2DMG|2ASPD|1CDMG|1DUR	1ERES|2RCR|35ASPD|45DMG|5BPWR|689VULN|7CDMG|aDUR
10	11253 61321	   	213.62	DCR|3ASPD|2VULN|1DMG|1CDMG|1DUR	1BEXP|29VULN|346ASPD|5DMG|7RCR|8CDMG|aDUR
11	11253 61363	   	213.62	DCR|3ASPD|2VULN|1DMG|1CDMG|1DUR	1BEXP|2aVULN|346ASPD|5DMG|7RCR|8CDMG|9DUR
12	21253 61321	   	213.52	DCR|3ASPD|2VULN|1DMG|1CDMG|1DUR	1DUST|29VULN|346ASPD|5DMG|7RCR|8CDMG|aDUR
13	34126 13121	 * 	212.95	ACR|3VULN|2DMG|2ASPD|2CDMG	1ERES|2RCR|35ASPD|45DMG|5BPWR|69aVULN|78CDMG
14	11253 61262	 * 	212.85	DCR|3ASPD|2VULN|1AART|1DMG	1BEXP|29VULN|346ASPD|5DMG|7RCR|8MLV|aAART
15	52613 51223	 * 	212.82	DCR|3DMG|3ZMB|1AART|1CDMG|2DUR	138DMG|238ZMB|38BPWR|49DUR|5CDMG|6RCR|78SNIFST|aAART
16	52613 51233	 * 	212.82	DCR|3DMG|3ZMB|1VULN|1CDMG|2DUR	138DMG|238ZMB|38BPWR|4aDUR|5CDMG|6RCR|78SNIFST|9VULN
17	21253 61262	   	212.75	DCR|3ASPD|2VULN|1AART|1DMG	1DUST|29VULN|346ASPD|5DMG|7RCR|8MLV|aAART
18	35223 12642	   	212.58	ACR|3VULN|3DMG|1AART|1ASPD	189ERES|2AART|3RCR|489DMG|5ASPD|6LHND|789VULN|89BPWR|aLWND
19	35223 12643	   	212.48	ACR|3VULN|3DMG|1AART|1ASPD|1MSE	189ERES|2AART|3RCR|489DMG|5ASPD|6LHND|789VULN|89BPWR|aMSE
20	52613 51231	 * 	212.21	DCR|3DMG|1MDPS|3ZMB|1VULN|1CDMG|1DUR	138DMG|238ZMB|38BPWR|4DUR|5CDMG|6RCR|78SNIFST|9VULN|aMDPS
