0	Index      	 *	Score 	Summary	Detail	
1	33411 66221	 * 	213.64	DCR|3ASPD|2VULN|1AART|1CDMG|1DUR	138LWND|238ASPD|38BPWR|4MLV|5DUR|6AART|78VULN|9RCR|aCDMG
2	33255 12262	 * 	212.35	ACR|1SPLARM|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1LWND|2ASPD|3VULN|4RCR|56DMG|7AART|8SPLARM|9ZMB|aCDMG
3	14221 11621	 * 	211.55	DCR|4VULN|1AART|1ASPD|1AAC|1ZMB	1AAC|2357VULN|4RCVC|6RCR|8ZMB|9AART|aASPD
4	14221 11622	 * 	210.31	DCR|4VULN|1MDPS|1AART|1AAC|1ZMB	1AAC|2357VULN|4RCVC|6RCR|8ZMB|9AART|aMDPS
5	14251 13343	 * 	210.30	DCR|4VULN|1SPLARM|1AART|1AAC	1AAC|2345VULN|6RCR|7AME|8LHND|9SPLARM|aAART
6	14251 12343	   	210.20	DCR|4VULN|1SPLARM|1AART|1AAC	1AAC|2345VULN|6RCR|7ERES|8LHND|9SPLARM|aAART
7	25111 11621	 * 	210.02	DCR|3VULN|2ASPD|1AART|1ZMB	13RCVC|257VULN|4aASPD|6RCR|8ZMB|9AART
8	53232 21536	 * 	208.99	DCR|2VULN|1MDPS|2ASPD|1AART|1DUR	18BEXP|28ASPD|39VULN|4DUR|58DUST|6RCR|7AART|8BPWR|aMDPS
9	14251 33263	 * 	208.48	DCR|4VULN|1MDPS|2ASPD|1AAC	1AAC|2345VULN|69ASPD|7RCR|8BEXP|aMDPS
10	25115 11621	   	205.12	DCR|3ASPD|2VULN|1AART|1ZMB	13RCVC|27VULN|45aASPD|6RCR|8ZMB|9AART
11	53262 22271	 * 	204.43	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1BEXP|2ASPD|38VULN|4MULARM|5DMG|6MBVNT|7RCR|9AART|aMDPS
12	53262 22274	 * 	203.43	DCR|3VULN|1AART|1ASPD|1DMG	1BEXP|2ASPD|38aVULN|4MULARM|5DMG|6MBVNT|7RCR|9AART
13	53262 22273	 * 	203.19	DCR|2VULN|2DMG|1AART|1ASPD	1BEXP|2ASPD|38VULN|4MULARM|5aDMG|6MBVNT|7RCR|9AART
14	14222 25613	 * 	201.43	DCR|3VULN|1AART|1DMG|1NUKE|1AAC	1AAC|237VULN|4RCVC|5DMG|6AART|8RCR|9LHND|aNUKE
15	14252 21613	   	201.43	DCR|3VULN|1AART|1DMG|1NUKE|1AAC	1AAC|234VULN|5DMG|6AART|7AELBLL|8RCR|9LHND|aNUKE
16	14222 25623	   	201.33	DCR|3VULN|1AART|1DMG|1NUKE|1AAC	1AAC|237VULN|4RCVC|5DMG|6AART|8RCR|9MBVNT|aNUKE
17	14252 21623	   	201.33	DCR|3VULN|1AART|1DMG|1NUKE|1AAC	1AAC|234VULN|5DMG|6AART|7AELBLL|8RCR|9MBVNT|aNUKE
18	25111 11525	   	201.32	DCR|4VULN|1AART|1ASPD	13RCVC|2578VULN|4ASPD|6RCR|9LWND|aAART
19	25111 11561	   	201.32	DCR|4VULN|1AART|1ASPD	13RCVC|2578VULN|4ASPD|6RCR|9AART|aLIT
20	25111 11563	   	201.32	DCR|4VULN|1AART|1ASPD	13RCVC|2578VULN|4ASPD|6RCR|9AART|aRPLT
21	25111 11562	   	201.22	DCR|4VULN|1AART|1ASPD	13RCVC|2578VULN|4ASPD|6RCR|9AART|aDUST
22	14221 11535	 * 	200.01	DCR|5VULN|1ASPD|1AAC|1DUR	1AAC|23578VULN|4RCVC|6RCR|9ASPD|aDUR
23	53232 21436	   	199.91	DCR|2VULN|1MDPS|1AART|1ASPD|2DUR	1BEXP|2ASPD|39VULN|48DUR|5DUST|6RCR|7AART|aMDPS
24	14251 11135	 * 	199.91	DCR|5VULN|2AAC|1ASPD|1DUR	18AAC|23457VULN|6RCR|9ASPD|aDUR
25	14251 11333	 * 	199.91	DCR|5VULN|1DMG|1AAC|1DUR	1AAC|23457VULN|6RCR|8DUST|9DMG|aDUR
26	53262 22174	 * 	199.82	DCR|2VULN|2ASPD|1AART|1DMG	1BEXP|28ASPD|3aVULN|4MULARM|5DMG|6MBVNT|7RCR|9AART
27	25112 25622	 * 	199.78	DCR|2VULN|2AART|1ASPD|1DMG	13RCVC|27VULN|4ASPD|5DMG|6aAART|8RCR|9RPLT
28	25111 11321	   	199.59	DCR|3VULN|2ASPD|1AART|1AAC	13RCVC|257VULN|4aASPD|6RCR|8AAC|9AART
29	21115 11135	 * 	199.37	DCR|3ASPD|2VULN|1DMG|1DUR	13RCVC|2DUR|458ASPD|6RCR|7aVULN|9DMG
30	14251 33315	   	199.22	DCR|4VULN|1AART|1ASPD|1AAC	1AAC|2345VULN|6ASPD|7RCR|8LHND|9RMIN|aAART
31	14251 33335	   	199.22	DCR|4VULN|1AART|1ASPD|1AAC	1AAC|2345VULN|6ASPD|7RCR|8LHND|9AME|aAART
32	14251 33343	   	199.22	DCR|4VULN|1AART|1ASPD|1AAC	1AAC|2345VULN|6ASPD|7RCR|8LHND|9VENFST|aAART
33	53262 22312	 * 	199.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1BEXP|2ASPD|3VULN|4MULARM|5aDMG|6MBVNT|7RCR|8CDMG|9AART
34	53231 25252	 * 	198.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1BEXP|2ASPD|38VULN|4DUR|5LWND|6RCR|7CDMG|9ZMB|aDMG
35	33452 22221	   	198.40	DCR|3ASPD|1AART|1VULN|1CDMG|2DUR	138LWND|238ASPD|38BPWR|4VULN|5ERES|68DUR|7AART|9RCR|aCDMG
36	14251 11231	 * 	197.78	DCR|5VULN|2AAC|1DMG	1aAAC|23457VULN|6RCR|8BASFIG|9DMG
37	14312 21623	 * 	197.74	DCR|2VULN|1MDPS|1AART|1ASPD|1NUKE|1AAC|1ZMB	1AAC|24VULN|3MDPS|5DUST|6RCR|7AART|8ZMB|9ASPD|aNUKE
38	14342 21623	   	197.74	DCR|2VULN|1MDPS|1AART|1ASPD|1NUKE|1AAC|1ZMB	1AAC|24VULN|3MDPS|4BPWR|5DUST|6RCR|7AART|8ZMB|9ASPD|aNUKE
39	25111 11522	 * 	197.60	DCR|4VULN|1ASPD|1NUKE	13RCVC|2578VULN|4ASPD|6RCR|9LWND|aNUKE
