0	Index      	 *	Score 	Summary	Detail	
1	13135 26261	 * 	245.75	DCR|3VULN|3DMG|3CDMG|1AART|1AAC	19aVULN|2CGEN|3AART|4RMIN|5AAC|69aCDMG|79aDMG|8RCR|9aBPWR
2	15352 16313	 * 	226.59	DCR|3DMG|2VULN|1AART|1ASPD|2DUR	19VULN|2BASARM|3AART|459DMG|6ASPD|7CGEN|89DUR|9BPWR|aRCR
3	35332 26261	 * 	223.41	DCR|3DMG|2AART|3CDMG|1VULN	19aERES|25AART|39aCDMG|4BEXP|6VULN|79aDMG|8RCR|9aBPWR
4	34213 44264	 * 	220.81	DCR|3ASPD|2VULN|2DMG|1CDMG	125ERES|35aASPD|4MBVNT|5aBPWR|6CDMG|7aVULN|8RCR|9aDMG
5	25133 62151	 * 	220.03	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1LWND|2MLV|35AART|4DMG|6RCR|7ASPD|8aVULN|9CDMG
6	23133 13451	   	218.03	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1LWND|2CGEN|35AART|4DMG|6CDMG|7RCR|8aVULN|9ASPD
7	25133 13451	   	218.03	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1LWND|2MLV|35AART|4DMG|6CDMG|7RCR|8aVULN|9ASPD
8	23133 13465	 * 	216.99	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG	19LWND|29CGEN|35AART|4DMG|6CDMG|7RCR|89VULN|9BPWR|aMDPS
9	15352 12523	   	216.43	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1aVULN|2BASARM|3AART|45DMG|6ASPD|7SPLREG|8RCR|9DUR
10	23133 13461	 * 	216.20	DCR|3VULN|2AART|1DMG|1CDMG	19aLWND|29aCGEN|35AART|4DMG|6CDMG|7RCR|89aVULN|9aBPWR
11	25133 13461	   	216.20	DCR|3VULN|2AART|1DMG|1CDMG	19aLWND|29aMLV|35AART|4DMG|6CDMG|7RCR|89aVULN|9aBPWR
12	23133 12251	   	216.03	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1LWND|2CGEN|35AART|4DMG|6CDMG|7aVULN|8RCR|9ASPD
13	25133 12251	   	216.03	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1LWND|2MLV|35AART|4DMG|6CDMG|7aVULN|8RCR|9ASPD
14	25133 42351	   	216.03	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1LWND|2MLV|35AART|4DMG|6aVULN|7ASPD|8RCR|9CDMG
15	23133 13464	   	216.00	DCR|3VULN|2AART|1DMG|1CDMG	19LWND|29CGEN|35AART|4DMG|6CDMG|7RCR|89aVULN|9BPWR
16	35332 26251	   	215.93	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1ERES|25AART|3CDMG|4BEXP|6aVULN|7DMG|8RCR|9ASPD
