0	Index      	 *	Score 	Summary	Detail	
1	13443 43676	 * 	374.83	橙3易伤1双倍秒伤1时间	1最后敌人2加一378易伤4攻速5头目6时间9核a双倍秒伤
2	25213 24111	 * 	358.24	橙2易伤1双倍秒伤1暴击1时间	1挖青25易伤3防空对甲4时间6核7赏金邻近8暴击9双倍秒伤a散射对喷气
3	25213 24112	   	358.24	橙2易伤1双倍秒伤1暴击1时间	1挖青25易伤3防空对甲4时间6核7赏金邻近8暴击9双倍秒伤a技能点
4	25213 24113	   	358.24	橙2易伤1双倍秒伤1暴击1伤害1时间	1挖青25易伤3防空对甲4时间6核7赏金邻近8暴击9双倍秒伤a伤害
5	25213 24114	   	358.24	橙2易伤1双倍秒伤1暴击1时间	1挖青25易伤3防空对甲4时间6核7赏金邻近8暴击9双倍秒伤a平台
6	25213 24115	   	358.24	橙2易伤1双倍秒伤1暴击1时间1挖怪	1挖青25易伤3防空对甲4时间6核7赏金邻近8暴击9双倍秒伤a挖怪
7	25213 24116	   	358.24	橙2易伤1双倍秒伤1暴击1时间	1挖青25易伤3防空对甲4时间6核7赏金邻近8暴击9双倍秒伤a雷电
8	12363 13748	 * 	355.57	2双倍秒伤3易伤1时间	1最后敌人2基地爆炸3加一457易伤6散射对甲8时间9a双倍秒伤
9	13423 13748	   	355.57	2双倍秒伤3易伤1时间	1最后敌人2加一357易伤4基地爆炸6散射对甲8时间9a双倍秒伤
10	13423 53748	   	355.57	2双倍秒伤3易伤1时间	1最后敌人2加一357易伤4基地爆炸6狙击对毒8时间9a双倍秒伤
11	13423 83748	   	355.57	2双倍秒伤3易伤1时间	1最后敌人2加一357易伤4基地爆炸6喷火对黄8时间9a双倍秒伤
12	13263 63348	   	355.47	2双倍秒伤3易伤1时间	1最后敌人2加一3爆破对壮4挖尘578易伤6时间9a双倍秒伤
13	13463 13748	   	355.47	2双倍秒伤3易伤1时间	1最后敌人2加一347易伤5挖尘6散射对甲8时间9a双倍秒伤
14	16313 33348	   	355.47	2双倍秒伤3易伤1时间	1最后敌人2挖尘3加一4时间578易伤6激光对绿9a双倍秒伤
15	16313 63348	   	355.47	2双倍秒伤3易伤1时间	1最后敌人2挖尘3加一4时间578易伤6散射对喷气9a双倍秒伤
16	32222 11256	   	351.01	橙2易伤1双倍秒伤1伤害1时间	1雷电26易伤34掉矿5时间7暴雪减费8核9伤害a双倍秒伤
