0	Index      	 *	Score 	Summary	Detail	Bounty	
1	62335 16232	 * 	307.95	橙4易伤2等级2伤害1时间1暴击	147a易伤2平台3暴击57伤害67等级7序列升级8时间9核	9
2	62335 16232	 * 	301.49	橙3易伤2等级2伤害2时间1暴击	147易伤2平台3暴击57伤害67等级7序列升级8a时间9核	10
3	32135 15612	 * 	301.06	橙3易伤2等级3时间2伤害	1随机矿279时间348易伤57伤害67等级7序列升级a核	6
4	32135 16252	   	301.06	橙3易伤2等级3时间2伤害	1随机矿278时间349易伤57伤害67等级7序列升级a核	8
5	32135 16312	   	301.06	橙3易伤2等级3时间2伤害	1随机矿279时间348易伤57伤害67等级7序列升级a核	8
6	32135 16612	   	301.06	橙3易伤2等级3时间2伤害	1随机矿279时间348易伤57伤害67等级7序列升级a核	7
7	63136 11531	 * 	296.20	橙5易伤2等级2伤害	1379a易伤26等级4加一56伤害6序列升级8核	5
8	14133 31362	   	294.86	橙5易伤2等级1伤害1时间	18掉矿2时间34578易伤68等级8序列升级9伤害a核	6
9	62335 16332	   	291.71	橙4易伤2等级2伤害1暴击	147a易伤2平台3暴击57伤害67等级7序列升级8基地爆炸9核	9
10	63161 12632	 * 	290.63	橙5易伤2时间1等级1伤害	13468易伤2等级58时间78策反8序列升级9伤害a核	9
11	63162 11362	   	290.63	橙5易伤2时间1等级1伤害	13478易伤2等级58金币生成68时间8序列升级9伤害a核	5
12	63163 11362	   	290.63	橙5易伤2时间1等级1伤害	13478易伤2等级58金币生成68时间8序列升级9伤害a核	4
13	63161 31362	   	290.43	橙5易伤2时间1等级1伤害	13478易伤2等级58时间68掉矿8序列升级9伤害a核	6
14	62335 16231	   	286.90	橙3易伤2等级2伤害1时间1暴击	147易伤2平台3暴击57伤害67等级7序列升级8时间9核a双倍矿	9
15	62335 16231	   	286.90	橙3易伤2等级2伤害1时间1暴击	147易伤2平台3暴击57伤害67等级7序列升级8时间9核a随机矿	10
16	62335 16233	   	286.90	橙3易伤2等级2伤害1时间1暴击	147易伤2平台3暴击57伤害67等级7序列升级8时间9核a立即金币	10
17	62335 16332	   	286.90	橙3易伤2等级2伤害1时间1暴击	147易伤2平台3暴击57伤害67等级7序列升级8基地爆炸9核a时间	10
18	62335 16221	   	286.90	橙3易伤2等级2伤害1时间1暴击	147易伤2平台3暴击57伤害67等级7序列升级8时间9最后敌人a核	10
19	62335 16233	   	286.80	橙3易伤2等级2伤害1时间1暴击	147易伤2平台3暴击57伤害67等级7序列升级8时间9核a掉矿	9
20	63136 11544	   	286.70	橙3易伤2等级2伤害1时间1暴击	137易伤26等级4加一56伤害6序列升级8核9暴击a时间	5
21	63161 16222	   	285.42	橙5易伤2时间1等级2雷电	13468易伤2等级58时间78雷电8序列升级9核a双倍矿	8
22	63161 16223	   	285.42	橙5易伤2时间1等级2雷电	13468易伤2等级58时间78雷电8序列升级9核a金币生成	8
23	63161 16221	   	285.32	橙5易伤2时间1等级2雷电	13468易伤2等级58时间78雷电8序列升级9核a挖尘	8
24	63133 16712	 * 	284.36	橙4易伤2等级3时间	1378易伤27等级4加一5立即金币679时间7序列升级a核	4
25	63134 16712	   	284.36	橙4易伤2等级3时间	1378易伤27等级4加一5双倍矿679时间7序列升级a核	4
26	63145 12111	   	281.36	橙3易伤2等级2伤害1时间	136易伤28等级4a伤害5攻速7核9时间	7
27	63143 63331	 * 	280.72	橙3易伤3伤害2等级1卖塔	137易伤27等级457伤害6随机矿7序列升级8卖塔9雷电a核	6
28	32164 61331	   	280.31	橙4易伤3时间1等级2雷电	1随机矿245时间348a易伤48序列升级6核78雷电9等级	3
29	63145 12212	   	279.46	橙4易伤1等级1伤害1时间1暴击	136a易伤2等级4伤害5攻速7核8时间9暴击	9
30	63252 35331	   	278.81	橙5易伤2等级3雷电	15679易伤27等级37敌人爆炸456雷电567序列升级8随机矿a核	7
31	63136 11531	   	278.51	橙5易伤2等级1伤害	1379a易伤26等级4加一5伤害8核	6
