0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51333 21453	6	 * 	302.91	橙5易伤2等级3时间	145时间23458易伤458序列升级68金币生成78等级9加一a核
2	51333 13151	9	   	300.96	橙5易伤3时间1伤害1暴击	145时间23457易伤45序列升级6全技能8核9伤害a暴击
3	51333 13156	10	   	300.96	橙5易伤3时间1伤害1暴击	145时间23457易伤45序列升级6全技能8核9伤害a暴击
4	51334 11242	6	   	299.42	橙4易伤2等级3时间2雷电	14a时间2348易伤4a序列升级5平台6核7a雷电9a等级
5	51333 13151	10	   	295.62	橙5易伤3时间1伤害	145时间23457易伤45序列升级6全技能8核9伤害a雷电
6	51333 13155	9	   	295.08	橙5易伤3时间1伤害2全技能	145时间23457易伤45序列升级6a全技能8核9伤害
7	51333 13116	9	   	293.45	橙5易伤3时间1等级	145时间23457易伤45序列升级6全技能8核9平台a等级
8	51333 13156	8	   	293.45	橙5易伤3时间1等级	145时间23457易伤45序列升级6全技能8核9平台a等级
9	51252 13152	9	 * 	292.75	橙4易伤3伤害3时间	178时间278a易伤3最后敌人4低血量敌人5平台678伤害78序列升级9核
10	51333 46113	6	   	292.10	橙5易伤3时间1等级	145时间23456易伤456序列升级7等级8攻速9低血量敌人a核
11	51333 33325	10	   	292.10	橙5易伤3时间1等级	145时间23459易伤45序列升级6雷电7平台8核a等级
12	51333 41121	10	   	291.85	橙5易伤3时间1等级1卖塔	145时间23456易伤456序列升级7雷电8卖塔9等级a核
13	51333 55221	9	   	291.30	橙5易伤3时间1伤害1暴击	145时间2345a易伤45序列升级6伤害7低血量敌人8暴击9核
14	51333 56221	9	   	291.30	橙5易伤3时间1伤害1暴击	145时间2345a易伤45序列升级6伤害7基地爆炸8暴击9核
15	51331 31323	4	   	291.20	橙4易伤2等级2时间1伤害	14时间234a易伤4序列升级5敌人爆炸6伤害7核89等级
16	51331 51433	4	   	291.20	橙4易伤2等级2时间1伤害	14时间234a易伤4序列升级5敌人爆炸68等级7核9伤害
17	51332 51433	4	   	291.20	橙4易伤2等级2时间1伤害	14时间234a易伤4序列升级5基地爆炸68等级7核9伤害
18	51331 31363	4	   	290.53	橙5易伤2时间1等级1伤害	14时间2349a易伤4序列升级5敌人爆炸6伤害7核8等级
19	51332 31463	4	   	290.53	橙5易伤2时间1等级1伤害	14时间2349a易伤4序列升级5基地爆炸6伤害7核8等级
20	51331 31333	4	 * 	289.77	橙4易伤2伤害2时间1等级	14时间234a易伤4序列升级5敌人爆炸69伤害7核8等级
21	51332 31433	4	   	289.77	橙4易伤2伤害2时间1等级	14时间234a易伤4序列升级5基地爆炸69伤害7核8等级
22	51333 13121	8	   	289.21	橙5易伤3时间1暴击	145时间23457易伤45序列升级6全技能8核9攻速a暴击
23	51333 13161	9	   	289.21	橙5易伤3时间1暴击	145时间23457易伤45序列升级6全技能8核9攻速a暴击
24	51333 13166	10	   	289.21	橙5易伤3时间1暴击	145时间23457易伤45序列升级6全技能8核9攻速a暴击
25	51333 12136	10	   	288.76	橙4易伤3时间1等级1暴击	145时间2345易伤45序列升级6全技能7最后敌人8暴击9等级a核
26	51333 35112	10	   	287.85	橙5易伤3时间1暴击	145时间23458易伤45序列升级6雷电7攻速9暴击a核
27	51333 42362	6	   	287.85	橙5易伤3时间1暴击	145时间23456易伤456序列升级7核8攻速9雷电a暴击
28	51333 13152	10	   	287.31	橙5易伤3时间1伤害	145时间23457易伤45序列升级6全技能8核9伤害a平台
29	51333 13153	10	   	287.31	橙5易伤3时间1伤害	145时间23457易伤45序列升级6全技能8核9伤害a低血量敌人
30	51333 13153	9	   	287.31	橙5易伤3时间1伤害	145时间23457易伤45序列升级6全技能8核9伤害a低血量敌人
31	51333 13154	10	   	287.31	橙5易伤3时间1伤害	145时间23457易伤45序列升级6全技能8核9伤害a金币生成
32	51333 13154	9	   	287.31	橙5易伤3时间1伤害	145时间23457易伤45序列升级6全技能8核9伤害a最后敌人
33	51333 13156	9	   	287.31	橙5易伤3时间1伤害	145时间23457易伤45序列升级6全技能8核9伤害a策反
34	51333 13131	8	   	287.21	橙5易伤3时间1伤害	145时间23457易伤45序列升级6全技能8核9赏金邻近a伤害
35	51333 14115	6	   	287.21	橙5易伤3时间2暴击	145时间23458易伤458序列升级6全技能78暴击9赏金塔a核
36	22343 35522	1	 * 	286.36	橙4易伤2等级2伤害	1额外掉落2389易伤4雷电5随机矿69伤害79等级9序列升级a核
37	51333 42331	6	   	285.96	橙5易伤3时间1伤害	145时间23456易伤456序列升级7核8攻速9伤害a敌人爆炸
38	51333 42332	6	   	285.96	橙5易伤3时间1伤害	145时间23456易伤456序列升级7核8攻速9伤害a平台
39	51333 42333	6	   	285.96	橙5易伤3时间1伤害	145时间23456易伤456序列升级7核8攻速9伤害a随机矿
40	51333 42334	6	   	285.96	橙5易伤3时间1伤害	145时间23456易伤456序列升级7核8攻速9伤害a矿等
41	51333 42335	6	   	285.96	橙5易伤3时间1伤害	145时间23456易伤456序列升级7核8攻速9伤害a策反
42	51334 16122	10	   	285.41	橙4易伤3时间1等级1伤害	147时间234a易伤4序列升级5平台6核8等级9伤害
43	51332 11535	6	   	285.20	橙4易伤3时间2伤害	149时间2349易伤49序列升级5掉矿6敌人爆炸7核89伤害a雷电
44	51333 52315	7	   	285.20	橙4易伤3时间2伤害	145时间2345易伤45序列升级67伤害8攻速9低血量敌人a核
45	51333 52325	7	   	285.10	橙4易伤3时间2伤害	145时间2345易伤45序列升级67伤害8攻速9挖尘a核
46	51332 21535	6	   	285.10	橙4易伤3时间2伤害	149时间2349易伤49序列升级5掉矿6挖尘7核89伤害a雷电
47	51334 13423	6	   	284.79	橙4易伤2等级2时间1暴击	14时间234a易伤4序列升级5平台6核7暴击89等级
48	51333 13161	10	   	283.86	橙5易伤3时间	145时间23457易伤45序列升级6全技能8核9攻速a雷电
49	51333 23154	9	   	283.79	橙5易伤3时间1等级	145时间23459易伤45序列升级67金币生成8等级a核
50	51333 42111	6	   	283.79	橙5易伤3时间1等级	145时间23456易伤456序列升级7核8随机矿9平台a等级
51	51334 16131	9	   	283.69	橙5易伤3时间1等级	147时间2349a易伤4序列升级5平台6核8等级
52	51333 14226	8	   	283.50	橙5易伤3时间2攻速	145时间23459易伤459序列升级6全技能7立即金币89攻速a核
53	51333 13125	8	   	283.33	橙5易伤3时间2全技能	145时间23457易伤45序列升级6a全技能8核9攻速
54	51333 13165	9	   	283.33	橙5易伤3时间2全技能	145时间23457易伤45序列升级6a全技能8核9攻速
55	51333 11116	8	   	280.90	橙5易伤3时间1暴击	145时间23459易伤45序列升级6全技能7基地爆炸8暴击a核
56	51333 11136	9	   	280.90	橙5易伤3时间1暴击	145时间23459易伤45序列升级6全技能7基地爆炸8暴击a核
57	51333 11216	7	   	280.90	橙5易伤3时间1暴击	145时间23459易伤45序列升级6全技能7基地爆炸8暴击a核
58	51333 11216	6	   	280.90	橙5易伤3时间1暴击	145时间23459易伤45序列升级6全技能7敌人爆炸8暴击a核
59	51333 15216	6	   	280.90	橙5易伤3时间1暴击	145时间23459易伤45序列升级6全技能7基地爆炸8暴击a核
60	51333 13111	8	   	280.90	橙5易伤3时间1暴击	145时间23457易伤45序列升级6全技能8核9暴击a策反
61	51333 13112	8	   	280.90	橙5易伤3时间1暴击	145时间23457易伤45序列升级6全技能8核9暴击a敌人爆炸
62	51333 13113	8	   	280.90	橙5易伤3时间1暴击	145时间23457易伤45序列升级6全技能8核9暴击a低血量敌人
63	51333 13114	8	   	280.90	橙5易伤3时间1暴击	145时间23457易伤45序列升级6全技能8核9暴击a最后敌人
64	51333 13116	8	   	280.90	橙5易伤3时间1暴击	145时间23457易伤45序列升级6全技能8核9暴击a随机矿
65	51333 13145	9	   	280.90	橙5易伤3时间1暴击	145时间23457易伤45序列升级6全技能8核9随机矿a暴击
66	51333 13416	8	   	280.80	橙5易伤3时间1暴击	145时间23457易伤45序列升级6全技能8挖青9暴击a核
67	51333 13131	10	   	280.66	橙5易伤3时间1暴击1卖塔	145时间23457易伤45序列升级6全技能8核9卖塔a暴击
68	51331 31364	4	   	280.49	橙4易伤2时间1等级1伤害	14时间2349易伤4序列升级5敌人爆炸6伤害7核8等级a攻速
69	51333 41262	9	   	279.55	橙5易伤3时间1暴击	145时间23456易伤456序列升级7雷电8随机矿9核a暴击
70	51333 42211	6	   	279.45	橙5易伤3时间1暴击	145时间23456易伤456序列升级7核8赏金塔9雷电a暴击
71	51333 42511	6	   	279.45	橙5易伤3时间1暴击	145时间23456易伤456序列升级7核8赏金邻近9雷电a暴击
72	51335 31423	6	   	279.44	橙4易伤2等级2时间	14时间234a易伤4序列升级5最后敌人6攻速7核89等级
