0	Index      	 *	Score 	Summary	Detail	Bounty	
1	12142 36226	 * 	283.70	橙3易伤2等级2时间1伤害1暴击	19挖尘29等级3暴击47时间589易伤6核9序列升级a伤害	10
2	12623 52214	 * 	276.42	橙4易伤2等级1伤害2攻速	137挖尘23等级37序列升级4578易伤67攻速9伤害a核	6
3	41122 41325	 * 	274.93	橙2易伤2等级2伤害3暴击	13a暴击2攻速4a伤害58等级6雷电7a易伤9核a序列升级	5
4	62623 12621	   	270.03	橙4易伤2等级1伤害1全技能	13敌人爆炸23等级3序列升级4567易伤8核9伤害a全技能	5
5	12142 36223	 * 	269.95	橙3易伤2等级2时间2暴击	19挖尘29等级3a暴击47时间589易伤6核9序列升级	9
6	12142 36223	   	269.95	橙3易伤2等级2时间2暴击	19挖尘29等级3a暴击47时间589易伤6核9序列升级	8
7	12623 12641	 * 	268.11	橙5易伤2等级1全技能	13挖尘23等级3序列升级4567a易伤8核9全技能	5
8	41163 51122	 * 	267.88	橙3易伤3时间3暴击3攻速	134暴击29a攻速59a时间6核79a易伤8赏金邻近9a序列升级	6
9	12142 36143	   	264.59	橙3易伤2时间1等级1伤害1暴击	1挖尘2等级3暴击47时间59a易伤6核8伤害	8
10	12142 36143	   	264.59	橙3易伤2时间1等级1伤害1暴击	1挖尘2等级3暴击47时间59a易伤6核8伤害	10
11	12142 36143	   	264.59	橙3易伤2时间1等级1伤害1暴击	1挖尘2等级3暴击47时间59a易伤6核8伤害	9
12	12142 36253	   	264.59	橙3易伤2时间1等级1伤害1暴击	1挖尘2等级3暴击47时间58a易伤6核9伤害	10
13	12142 36253	   	264.59	橙3易伤2时间1等级1伤害1暴击	1挖尘2等级3暴击47时间58a易伤6核9伤害	9
14	33112 12414	 * 	264.33	橙5易伤2时间1伤害	17策反2掉矿34678易伤57时间7序列升级9伤害a核	4
15	33115 12414	   	264.33	橙5易伤2时间1伤害	17策反2掉矿34678易伤57时间7序列升级9伤害a核	5
16	12142 36221	   	263.64	橙3易伤2等级2时间1暴击	19挖尘29等级3暴击47时间589易伤6核9序列升级a敌人爆炸	10
