0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25133 63352	7	 * 	303.11	橙5易伤2等级3时间	179时间2随机矿3579a易伤457敌人爆炸579序列升级6核89等级
2	12112 63636	10	 * 	299.51	橙4易伤3等级2时间1伤害	167a易伤2雷电37时间467等级5挖青67序列升级8伤害9核
3	25133 63351	7	   	293.07	橙4易伤2等级3时间	179时间2随机矿3579易伤457敌人爆炸579序列升级6核89等级a攻速
4	12112 13152	10	   	292.67	橙4易伤2等级3时间	1679易伤2雷电378时间47等级5挖青7序列升级a核
5	22212 13152	10	   	292.67	橙4易伤2等级3时间	178时间2雷电3679易伤47等级5挖青7序列升级a核
6	11262 44131	7	 * 	290.36	橙3易伤3时间2伤害1等级	168易伤2额外掉落389时间4等级5雷电78伤害8序列升级a核
7	53324 22413	7	 * 	289.77	橙4易伤2伤害2时间1等级	1敌人爆炸2359易伤45时间5序列升级6等级7核8a伤害
8	25153 12252	5	   	289.77	橙4易伤2伤害2时间1等级	15时间2随机矿3459易伤5序列升级6等级78伤害a核
9	13225 16126	1	 * 	286.90	橙3易伤2等级2伤害1时间1暴击	168易伤28基地爆炸37伤害4暴击58等级8序列升级9时间a核
10	12112 63633	10	   	286.76	橙3易伤3等级2时间1伤害	167易伤2雷电37时间467等级5挖青67序列升级8伤害9核a攻速
11	12133 24852	10	 * 	285.37	橙3易伤3等级3时间1暴击	18a易伤2雷电38a时间4策反5暴击6加一78a等级8a序列升级9核
12	22233 24852	10	   	285.37	橙3易伤3等级3时间1暴击	18a时间2雷电38a易伤4策反5暴击6加一78a等级8a序列升级9核
13	12112 63633	9	   	285.01	橙3易伤3等级2时间1伤害2雷电	167易伤2a雷电37时间467等级5挖青67序列升级8伤害9核
14	25133 63353	7	   	284.66	橙4易伤2等级3时间	179时间2随机矿3579易伤457敌人爆炸579序列升级6核89等级a赏金邻近
15	12115 63224	4	   	280.39	橙4易伤2时间1等级1伤害	1679易伤2雷电35时间4等级8核a伤害
16	22215 63224	4	   	280.39	橙4易伤2时间1等级1伤害	15时间2雷电3679易伤4等级8核a伤害
17	12112 13454	8	   	279.44	橙4易伤2等级2时间	1679易伤2雷电37时间47等级5挖青7序列升级8金币生成a核
18	22212 13454	8	   	279.44	橙4易伤2等级2时间	17时间2雷电3679易伤47等级5挖青7序列升级8金币生成a核
19	12111 13855	10	   	279.44	橙4易伤2等级2时间	1789易伤2雷电37时间47等级5立即金币6加一7序列升级a核
20	22211 13855	10	   	279.44	橙4易伤2等级2时间	17时间2雷电3789易伤47等级5立即金币6加一7序列升级a核
21	53324 22133	7	   	279.44	橙4易伤2等级2时间	1敌人爆炸235a易伤45时间5序列升级68等级7核9雷电
22	53324 22253	8	   	279.44	橙4易伤2等级2时间	1敌人爆炸235a易伤45时间5序列升级69等级7核8雷电
23	12112 13354	7	   	279.34	橙4易伤2等级2时间	1679易伤2雷电37时间47等级5挖青7序列升级8掉矿a核
24	12112 13414	7	   	279.34	橙4易伤2等级2时间	1678易伤2雷电37时间47等级5挖青7序列升级9掉矿a核
25	22212 13354	7	   	279.34	橙4易伤2等级2时间	17时间2雷电3679易伤47等级5挖青7序列升级8掉矿a核
26	22212 13414	7	   	279.34	橙4易伤2等级2时间	17时间2雷电3678易伤47等级5挖青7序列升级9掉矿a核
27	25153 22224	6	 * 	279.23	橙4易伤3伤害2时间	15时间2随机矿3458易伤5序列升级679伤害a核
28	12112 63631	10	   	278.46	橙3易伤3等级2时间1伤害	167易伤2雷电37时间467等级5挖青67序列升级8伤害9核a金币生成
29	12112 63632	9	   	278.46	橙3易伤3等级2时间1伤害	167易伤2雷电37时间467等级5挖青67序列升级8伤害9核a低血量敌人
30	12112 63632	10	   	278.46	橙3易伤3等级2时间1伤害	167易伤2雷电37时间467等级5挖青67序列升级8伤害9核a随机矿
31	12112 63634	9	   	278.46	橙3易伤3等级2时间1伤害	167易伤2雷电37时间467等级5挖青67序列升级8伤害9核a敌人爆炸
32	12112 63635	9	   	278.46	橙3易伤3等级2时间1伤害	167易伤2雷电37时间467等级5挖青67序列升级8伤害9核a金币生成
33	12112 63635	10	   	278.46	橙3易伤3等级2时间1伤害	167易伤2雷电37时间467等级5挖青67序列升级8伤害9核a最后敌人
34	53324 22113	7	   	278.46	橙3易伤2等级2时间1伤害	1敌人爆炸235易伤45时间5序列升级68等级7核9攻速a伤害
35	12112 63165	10	   	278.36	橙3易伤3等级2时间2暴击	167易伤2雷电37时间467等级5挖青67序列升级89暴击a核
36	12112 63631	9	   	278.36	橙3易伤3等级2时间1伤害	167易伤2雷电37时间467等级5挖青67序列升级8伤害9核a挖尘
37	12112 63634	10	   	278.36	橙3易伤3等级2时间1伤害	167易伤2雷电37时间467等级5挖青67序列升级8伤害9核a掉矿
38	12112 63636	9	   	278.36	橙3易伤3等级2时间1伤害	167易伤2雷电37时间467等级5挖青67序列升级8伤害9核a赏金邻近
39	22212 33352	10	   	278.17	橙3易伤2等级3时间2雷电	167时间28雷电379易伤47等级5挖青7序列升级a核
40	12112 33352	10	   	278.17	橙3易伤2等级3时间2雷电	179易伤28雷电367时间47等级5挖青7序列升级a核
