0	Index      	 *	Score 	Summary	Detail	
1	51132 62224	 * 	185.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8DUR|9aVULN
2	51152 62222	 * 	184.83	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	1CANHEL|24DMG|34CDMG|4BPWR|5ERES|6RCR|7AART|8DUR|9VULN|aZMB
3	54332 32822	 * 	181.40	ACR|2VULN|2DMG|1AART|2CDMG	17CANHEL|2MBVNT|37CDMG|4RCVC|5RCR|67DMG|7BPWR|89VULN|aAART
4	46153 12221	 * 	179.18	ACR|2DMG|1AART|1VULN|2ZMB|1DUR|1ASPD	1LIT|2RCR|3aZMB|4ASPD|5DUR|6AART|7aDUST|8VULN|9aDMG|aBPWR
5	51132 62222	   	178.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8DUR|9VULN|aZMB
6	51132 62324	   	178.06	DCR|2VULN|2DMG|1AART|1CDMG	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8LHND|9aVULN
7	51152 62322	   	177.89	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1CANHEL|24DMG|34CDMG|4BPWR|5ERES|6RCR|7AART|8LHND|9VULN|aZMB
8	46241 22321	   	176.37	ACR|2VULN|2DMG|1AART|1DUR	1aLIT|2RCR|3DUR|4AART|5aVULN|68FEWX|7LWND|9aDMG|aBPWR
9	31533 36132	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1BEXP|2CGEN|3aDMG|49VULN|5AART|6CDMG|7ERES|8RCR
10	54332 32823	 * 	173.85	ACR|3DMG|2VULN|2CDMG	17CANHEL|2MBVNT|37CDMG|4RCVC|5RCR|67aDMG|7BPWR|89VULN
11	51152 62221	   	173.83	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1CANHEL|24DMG|34CDMG|4BPWR|5ERES|6RCR|7AART|8DUR|9VULN|aMLV
12	51152 62223	   	173.83	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1CANHEL|24DMG|34CDMG|4BPWR|5ERES|6RCR|7AART|8DUR|9VULN|aBELT
13	46141 12221	 * 	173.78	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1aLIT|2RCR|3ZMB|4aDUR|5RMIN|6AART|7DUST|8VULN|9aDMG|aBPWR
14	54332 31622	 * 	173.05	ACR|3VULN|1AART|1DMG|1CDMG	1CANHEL|2MBVNT|3CDMG|4RCVC|5RCR|6DMG|789VULN|aAART
15	36533 53122	   	173.01	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1BEXP|2TLV|3DMG|4aVULN|5AART|6RCR|7DUR|8ZMB|9ASPD
16	31533 53162	   	172.75	DCR|2VULN|2DMG|1AART|1DUR	1BEXP|2CGEN|37DMG|4aVULN|5AART|6RCR|8LWND|9DUR
17	31533 53222	   	172.75	DCR|2VULN|2DMG|1AART|1DUR	1BEXP|2CGEN|37DMG|4aVULN|5AART|6RCR|8DUR|9LWND
18	31533 53235	   	172.75	DCR|2VULN|2DMG|1AART|1DUR	1BEXP|29CGEN|37DMG|4aVULN|5AART|6RCR|8DUR
19	43433 25322	   	171.66	DCR|2VULN|2DMG|1AART|1CDMG	1LIT|23VULN|4LHND|5CGEN|69DMG|7CDMG|8RCR|aAART
20	25411 26332	 * 	171.63	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	17MLV|27CDMG|3AART|4LEGI|57VULN|6RMIN|7BPWR|8RCR|9ASPD|aDMG
21	51153 32225	 * 	171.57	DCR|3DMG|2VULN|3CDMG	189CANHEL|248DMG|349CDMG|489BPWR|59VULN|678DUST|aRCR
22	51132 62322	   	171.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CANHEL|24DMG|3CDMG|5ERES|6RCR|7AART|8LHND|9VULN|aZMB
