0	Index      	 *	Score 	Summary	Detail	
1	31263 64223	 * 	217.99	ACR|4VULN|2DMG|1AART|1CDMG|1FLTHEA	16DMG|2CDMG|3FLTHEA|4RCR|5679VULN|6BPWR|8MLV|aAART
2	31263 64222	 * 	216.95	ACR|4VULN|3DMG|2CDMG|1FLTHEA	16aDMG|2aCDMG|3FLTHEA|4RCR|5679VULN|6aBPWR|8aMLV
3	25241 33221	 * 	215.00	ACR|2VULN|2DMG|2AART|2CDMG|2ZMB	1RCR|2MBVNT|37DMG|48CDMG|57VULN|67ZMB|7BPWR|9aAART
4	32531 33634	 * 	211.67	ACR|3DMG|2VULN|3ZMB|2ASPD|1CDMG	179DMG|27LHND|3RCR|49VULN|5CDMG|67aZMB|79BPWR|89ASPD
5	25243 35228	 * 	209.89	ACR|3DMG|2VULN|3CDMG|1AART	1RCR|2MBVNT|356DMG|469CDMG|69BPWR|79MLV|89VULN|aAART
6	25243 38228	   	209.69	ACR|3DMG|2VULN|3CDMG|1AART	1RCR|2MBVNT|356DMG|469CDMG|69BPWR|79ERES|89VULN|aAART
7	25241 33216	 * 	209.50	ACR|4VULN|2DMG|2CDMG|2ZMB	1RCR|2MBVNT|37DMG|48CDMG|579aVULN|67ZMB|7BPWR
8	25241 33538	 * 	209.13	ACR|3DMG|2VULN|3ZMB|2CDMG	1RCR|2MBVNT|379DMG|49CDMG|57VULN|67aZMB|79BPWR|89LHND
9	25241 33738	   	209.13	ACR|3DMG|2VULN|3ZMB|2CDMG	1RCR|2MBVNT|379DMG|49CDMG|57VULN|67aZMB|79BPWR|89BEXP
10	25241 33218	 * 	208.93	ACR|3VULN|2DMG|3ZMB|2CDMG	1RCR|2MBVNT|37DMG|48CDMG|579VULN|67aZMB|7BPWR
11	25241 33838	   	208.93	ACR|3DMG|2VULN|3ZMB|2CDMG	1RCR|2MBVNT|379DMG|49CDMG|57VULN|67aZMB|79BPWR|89DUST
12	33636 42223	 * 	208.67	ACR|3VULN|3DMG|1AART|2DUR	179DMG|26DUR|3AART|4RCR|56aVULN|6BPWR|8FEWX
13	31266 32133	   	208.14	ACR|4VULN|2DMG|2CDMG|1FLTHEA	18DMG|28CDMG|3FLTHEA|4RCR|5ASPD|6RPLT|789aVULN|8BPWR
14	31263 64221	 * 	207.61	ACR|5VULN|2DMG|1CDMG|1FLTHEA	16DMG|2CDMG|3FLTHEA|4RCR|5679aVULN|6BPWR|8MLV
15	33653 45123	 * 	206.35	DCR|3DMG|2AART|2VULN|2DUR	179DMG|27DUR|35AART|4MBVNT|6RCR|7BPWR|8aVULN
16	24266 22111	 * 	206.25	ACR|3VULN|2DMG|1AART|2CDMG	1RCR|27CDMG|3FEWX|47aVULN|57DMG|6AART|7BPWR|8LWND|9LHND
17	24266 22223	   	206.25	ACR|3DMG|2VULN|1AART|2CDMG	1RCR|27CDMG|3FEWX|47VULN|57aDMG|6AART|7BPWR|8LHND|9CGEN
18	24266 22131	   	206.15	ACR|3VULN|2DMG|1AART|2CDMG	1RCR|27CDMG|3FEWX|47aVULN|57DMG|6AART|7BPWR|8LWND|9DUST
19	24266 22233	   	206.15	ACR|3DMG|2VULN|1AART|2CDMG	1RCR|27CDMG|3FEWX|47VULN|57aDMG|6AART|7BPWR|8LHND|9ERES
20	25247 48314	 * 	206.04	ACR|3VULN|3DMG|3DUR|1CDMG	1RCR|2MBVNT|39aDMG|4CDMG|59aDUR|6ERES|7LIT|89aVULN|9aBPWR
21	24641 22333	   	205.88	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	1RCR|2CDMG|35VULN|4ASPD|6AART|79ZMB|8aDMG
22	24221 32631	 * 	205.80	ACR|3VULN|2AART|2CDMG|2ASPD|1ZMB	1RCR|27CDMG|3FEWX|4aAART|578VULN|67ASPD|7BPWR|9ZMB
23	31263 24321	   	205.69	ACR|4VULN|2DMG|1CDMG|1FLTHEA|1ZMB	18DMG|2CDMG|3FLTHEA|4RCR|567aVULN|9ZMB
24	33531 33221	   	204.94	ACR|2DMG|2AART|1VULN|2CDMG|2ZMB|2DUR	17DMG|27DUR|3RCR|4VULN|58CDMG|67ZMB|7BPWR|9aAART
25	25241 33473	 * 	204.94	ACR|3VULN|3DMG|2ZMB|1CDMG	1RCR|2MBVNT|37aDMG|4CDMG|57aVULN|67ZMB|7aBPWR|8LWND|9aLHND
26	25243 33661	   	204.85	ACR|3DMG|2VULN|1AART|2CDMG	1RCR|2MBVNT|356DMG|46CDMG|6BPWR|7RCVC|8AART|9aVULN
27	24241 22631	   	204.60	ACR|3VULN|2AART|2CDMG|2ASPD|1ZMB	1RCR|27CDMG|3FEWX|47ASPD|578VULN|6aAART|7BPWR|9ZMB
28	24263 22631	   	204.60	ACR|3VULN|2AART|2CDMG|2ASPD|1ZMB	1RCR|27CDMG|3FEWX|478VULN|57ASPD|6aAART|7BPWR|9ZMB
29	33633 34123	 * 	204.57	ACR|3DMG|2AART|2VULN|2DUR	179DMG|27DUR|35AART|4RCR|67LHND|7BPWR|8aVULN
30	24641 22331	 * 	203.94	ACR|3VULN|1AART|1DMG|2ZMB|1CDMG	1RCR|2CDMG|35aVULN|4ASPD|6AART|79ZMB|8DMG
31	31263 63223	   	203.89	ACR|3VULN|2DMG|1AART|1CDMG|1FLTHEA	16DMG|2CDMG|3FLTHEA|4RCR|569VULN|6BPWR|7DMSP|8MLV|aAART
32	31263 63242	   	203.89	ACR|3DMG|2VULN|1AART|1CDMG|1FLTHEA	169DMG|2CDMG|3FLTHEA|4RCR|56VULN|6BPWR|7DMSP|8MLV|aAART
33	31263 24243	   	203.79	ACR|3VULN|2DMG|1AART|1CDMG|1FLTHEA	19DMG|2CDMG|3FLTHEA|4RCR|567VULN|8MLV|aAART
34	31263 24333	   	203.79	ACR|3VULN|2DMG|1AART|1CDMG|1FLTHEA	18DMG|2CDMG|3FLTHEA|4RCR|567VULN|9CGEN|aAART
35	31263 54223	   	203.79	ACR|3VULN|2DMG|1AART|1CDMG|1FLTHEA	16DMG|2CDMG|3FLTHEA|4RCR|579VULN|8MLV|aAART
36	25241 33223	   	203.55	ACR|2VULN|2DMG|1AART|2CDMG|2ZMB	1RCR|2MBVNT|37DMG|48CDMG|57VULN|67ZMB|7BPWR|9AART|aLWND
37	25241 33224	   	203.55	ACR|2VULN|2DMG|1AART|2CDMG|2ZMB	1RCR|2MBVNT|37DMG|48CDMG|57VULN|67ZMB|7BPWR|9AART|aCGEN
38	25241 33225	   	203.55	ACR|2VULN|2DMG|1AART|2CDMG|2ZMB	1RCR|2MBVNT|37DMG|48CDMG|57VULN|67ZMB|7BPWR|9AART|aLIT
39	25241 33226	   	203.55	ACR|2VULN|2DMG|1AART|2CDMG|2ZMB	1RCR|2MBVNT|37DMG|48CDMG|57VULN|67ZMB|7BPWR|9AART|aRMIN
40	31263 24361	   	203.54	ACR|3VULN|2DMG|1AART|1CDMG|1FLTHEA|1SELL	18DMG|2CDMG|3FLTHEA|4RCR|567VULN|9SELL|aAART
41	25241 33882	   	203.48	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	1RCR|2MBVNT|37DMG|4CDMG|57VULN|67ZMB|7BPWR|8DUST|9DUR|aAART
42	25241 33222	   	203.45	ACR|2VULN|2DMG|1AART|2CDMG|2ZMB	1RCR|2MBVNT|37DMG|48CDMG|57VULN|67ZMB|7BPWR|9AART|aDUST
43	33635 31323	   	203.28	ACR|3VULN|3DMG|1AART	189DMG|2DUR|3AART|4RCR|5FEWX|67aVULN
44	33636 32223	   	203.28	ACR|3VULN|3DMG|1AART	179DMG|2DUR|3AART|4RCR|56aVULN|8FEWX
45	33636 32423	   	203.28	ACR|3VULN|3DMG|1AART	179DMG|2DUR|3AART|4RCR|56aVULN|8LHND
46	33636 61323	   	203.28	ACR|3VULN|3DMG|1AART	189DMG|2DUR|3AART|4RCR|57aVULN|6LHND
47	31263 64312	   	203.28	ACR|3VULN|3DMG|1FLTHEA|1CDMG	168DMG|2CDMG|3FLTHEA|4RCR|567VULN|6BPWR|9CGEN|aDUR
48	31263 64323	   	203.28	ACR|3VULN|3DMG|1CDMG|1FLTHEA	168DMG|2CDMG|3FLTHEA|4RCR|567VULN|6BPWR|9DUR|aBEXP
49	33636 11323	   	203.18	ACR|3VULN|3DMG|1AART	189DMG|2DUR|3AART|4RCR|57aVULN|6DUST
50	31263 64322	   	203.18	ACR|3VULN|3DMG|1CDMG|1FLTHEA	168DMG|2CDMG|3FLTHEA|4RCR|567VULN|6BPWR|9DUR|aTLV
51	25283 21213	   	203.14	ACR|3VULN|3DMG|2CDMG	1RCR|2MBVNT|34aDMG|4aBPWR|5ASPD|6aCDMG|79aVULN|8RPLT
52	21624 25133	   	203.05	ACR|4VULN|2DMG|2ZMB|1FLTHEA|1SELL	1RCR|2SELL|3RPLT|489aVULN|5FLTHEA|68DMG|78ZMB|8BPWR
