0	Index      	 *	Score 	Summary	Detail	
1	31314 12563	 * 	187.05	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2ERES|3RCR|4ZMB|5CDMG|6DMG|79aVULN|8AART
2	31314 12326	 * 	184.29	ACR|3DMG|2VULN|2ZMB|1CDMG	18LIT|2ERES|3RCR|48ZMB|5CDMG|69aDMG|78VULN|8BPWR
3	31314 12356	 * 	184.29	ACR|3VULN|2DMG|2ZMB|1CDMG	18LIT|2ERES|3RCR|48ZMB|5CDMG|6aDMG|789VULN|8BPWR
4	36611 32226	 * 	182.06	DCR|3DMG|2VULN|1CDMG|1ZMB|1ASPD	1LIT|2ZMB|3ASPD|4CDMG|59aDMG|67VULN|8RCR
5	66644 44414	 * 	180.21	DCR|2DMG|1AART|1VULN|2ASPD|2DUR|1ZMB	19DUR|2MBVNT|39ASPD|4ZMB|5AART|6ERES|79DMG|8RCR|9BPWR|aVULN
6	36141 36131	 * 	178.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	15LIT|2ZMB|3BEXP|45DMG|5BPWR|6RCR|7AART|8CDMG|9DUR|aVULN
7	16283 17422	   	178.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUST|2MBVNT|3RCR|4DMG|5DUR|6aVULN|7ZMB|8AART|9CDMG
8	64513 32322	 * 	177.86	DCR|3VULN|3DMG|1DUR	1DUR|29CGEN|345DMG|6RCR|78aVULN
9	26283 43741	 * 	177.38	ACR|2VULN|2DMG|1AART|1CDMG	1LHND|2MBVNT|3RCR|4aVULN|5BEXP|67DMG|8CDMG|9AART
10	31344 11611	   	177.28	ACR|2VULN|2DMG|1AART|1CDMG	1LIT|2ERES|3RCR|46DMG|5CDMG|7aVULN|8MBVNT|9AART
11	26283 13722	 * 	176.82	ACR|4VULN|2DMG|1ASPD	18LHND|2MBVNT|3RCR|489aVULN|5BEXP|6ASPD|78DMG|8BPWR
12	31344 11432	   	176.78	ACR|2VULN|2DMG|1AART|1CDMG	1LIT|2ERES|3RCR|46DMG|5CDMG|78VULN|9CGEN|aAART
13	26283 43724	   	176.78	ACR|2VULN|2DMG|1AART|1CDMG	1LHND|2MBVNT|3RCR|49VULN|5BEXP|67DMG|8CDMG|aAART
14	64513 31123	   	175.85	DCR|3DMG|2VULN|1CDMG|1DUR	1DUR|2CGEN|345DMG|6RCR|7CDMG|8RMIN|9aVULN
15	41234 43451	   	175.66	DCR|3VULN|3DMG|1ASPD	1689CGEN|2ASPD|3MBVNT|49aVULN|569DMG|69BPWR|7RCR
16	31314 12323	   	175.57	ACR|2VULN|2DMG|2ZMB|1CDMG|1DUR	18LIT|2ERES|3RCR|48ZMB|5CDMG|69DMG|78VULN|8BPWR|aDUR
17	66184 21312	 * 	175.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2MBVNT|3CDMG|4AART|5ZMB|6LWND|7DMG|8RCR|9aVULN
18	16284 83234	 * 	175.45	ACR|3VULN|2DMG|2FLTHEA	179DUST|2MBVNT|3RCR|49DMG|57TLV|67FLTHEA|79BPWR|89aVULN
19	66184 11312	   	175.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2MBVNT|3CDMG|4AART|5ZMB|6LEGI|7DMG|8RCR|9aVULN
20	31344 25411	   	175.35	ACR|3VULN|1AART|1DMG|1CDMG	1LIT|2ERES|3RCR|4DMG|5CDMG|6MBVNT|78aVULN|9AART
21	32621 36411	   	175.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2CDMG|3RMIN|4ASPD|5DMG|6aVULN|7RCR|8ZMB|9AART
22	26138 51312	   	174.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LHND|2MBVNT|3CDMG|4DUR|5AART|6ZMB|7DMG|8RCR|9aVULN
23	16172 64112	   	174.75	ACR|3VULN|1AART|1DMG|1CDMG	1DUST|2MBVNT|3CDMG|4RCR|59aVULN|6AART|7BELT|8DMG
24	31344 11511	 * 	174.75	ACR|3DMG|1AART|1VULN|1CDMG	1LIT|29ERES|3RCR|468DMG|5CDMG|7VULN|aAART
25	31213 13164	 * 	174.15	DCR|3DMG|3ZMB|1AART|1CDMG	178LIT|2ERES|378ZMB|4CDMG|5FEWX|678DMG|78BPWR|9AART|aRCR
26	31224 13164	   	174.15	DCR|3DMG|3ZMB|1AART|1CDMG	178LIT|2ERES|378ZMB|4FEWX|5CDMG|678DMG|78BPWR|9AART|aRCR
27	31216 13164	   	174.05	DCR|3DMG|3ZMB|1AART|1CDMG	178LIT|2ERES|378ZMB|4CDMG|5DUST|678DMG|78BPWR|9AART|aRCR
28	41234 83452	 * 	174.00	DCR|4VULN|2DMG|1ASPD	189CGEN|2ASPD|3MBVNT|469aVULN|59DMG|7RCR|9BPWR
29	31314 12353	   	173.64	ACR|3VULN|1DMG|2ZMB|1CDMG|1DUR	18LIT|2ERES|3RCR|48ZMB|5CDMG|6DMG|789VULN|8BPWR|aDUR
30	15235 12431	 * 	173.38	DCR|3VULN|1AART|1DMG|1ZMB	14DUST|29aVULN|3ZMB|5VENICY|6RCR|7AART|8DMG
31	36611 32223	   	173.34	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	1LIT|2ZMB|3ASPD|4CDMG|59DMG|67VULN|8RCR|aDUR
32	36611 32242	   	173.34	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	1LIT|2ZMB|3ASPD|4CDMG|5aDMG|67VULN|8RCR|9DUR
33	11316 11263	   	173.01	DCR|3DMG|2VULN|1ZMB|1DUR	13aDUST|23LSRREG|3aBPWR|49aDMG|5DUR|6RCR|7ZMB|8aVULN
34	31314 13223	   	172.83	ACR|3DMG|1AART|1CDMG|1ZMB|1DUR	17LIT|27ERES|3RCR|4ZMB|5CDMG|679DMG|7BPWR|8DUR|aAART
35	66233 18311	   	171.93	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	15DUR|2MBVNT|3RCR|4ERES|67VULN|8CDMG|9AART|aDMG
36	16227 72344	   	171.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2MBVNT|3RCR|4LIT|5DMG|6ZMB|7AART|89VULN|aCDMG
37	36141 36122	   	171.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	15LIT|2ZMB|3BEXP|45DMG|5BPWR|6RCR|7AART|8CDMG|9MLV|aVULN
38	45231 16423	 * 	171.76	DCR|2VULN|2DMG|1AART|1CDMG	19CGEN|2MLV|3MBVNT|49VULN|5CDMG|6LHND|79DMG|8RCR|9BPWR|aAART
39	21425 12333	   	171.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	15LHND|2LSRREG|3FEWX|45DMG|5BPWR|6RCR|7AART|8ZMB|9VULN|aCDMG
40	31314 12345	 * 	171.52	ACR|2VULN|3ZMB|1DMG|1CDMG|1DUR	18LIT|2ERES|3RCR|48aZMB|5CDMG|6DMG|78VULN|8BPWR|9DUR
41	36611 32253	 * 	171.41	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1LIT|2ZMB|3ASPD|4CDMG|5DMG|679VULN|8RCR|aDUR
42	31314 12511	   	171.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2ERES|3RCR|4ZMB|5CDMG|6DMG|7aVULN|8AART|9RMIN
43	31314 12523	   	171.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	19LIT|2ERES|3RCR|4ZMB|5CDMG|6DMG|7aVULN|8AART
44	31314 12536	   	171.40	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LIT|2ERES|3RCR|4ZMB|5CDMG|6aDMG|7VULN|8AART|9BEXP
45	31314 12561	   	171.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2ERES|3RCR|4ZMB|5CDMG|6DMG|79VULN|8AART|aBELT
46	15235 12432	   	171.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	14DUST|29VULN|3ZMB|5VENICY|6RCR|7AART|8DMG|aCDMG
47	32245 13423	 * 	171.35	DCR|2VULN|2DMG|2CDMG|1ASPD|1DUR	14aLIT|24CDMG|3RCVC|4aBPWR|5aVULN|6ASPD|7RCR|8DUR|9aDMG
48	61425 21233	   	171.30	DCR|3DMG|2VULN|2DUR|1ZMB	15DUR|2LSRREG|3FEWX|45aDMG|5BPWR|68VULN|7ZMB|9RCR
49	26283 43743	 * 	171.24	ACR|2DMG|2AART|1VULN|1CDMG	1LHND|2MBVNT|3RCR|4VULN|5BEXP|67DMG|8CDMG|9aAART
50	26224 51382	   	171.14	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2MBVNT|3RCR|4LIT|5AART|678VULN|9ASPD|aDMG
51	36113 63632	   	171.10	ACR|3VULN|1AART|1DMG|1ZMB	1LIT|2ZMB|3BEXP|4RCR|59aVULN|6DMG|7RPLT|8AART
52	32621 32256	 * 	171.05	DCR|3VULN|2DMG|1CDMG|1ASPD	1LIT|2CDMG|3RMIN|4ASPD|5aDMG|679VULN|8RCR
53	32621 32226	   	171.05	DCR|3DMG|2VULN|1CDMG|1ASPD	1LIT|2CDMG|3RMIN|4ASPD|59aDMG|67VULN|8RCR
54	32661 32226	   	171.05	DCR|3DMG|2VULN|1CDMG|1ASPD	1LIT|2CDMG|3RMIN|49aDMG|5ASPD|67VULN|8RCR
55	41234 43453	   	171.01	DCR|3DMG|2VULN|1ZMB|1ASPD	1689CGEN|2ASPD|3MBVNT|49VULN|569DMG|69BPWR|7RCR|aZMB
56	31314 13363	   	170.80	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	17LIT|27ERES|3RCR|4ZMB|5CDMG|67DMG|7BPWR|8LEGI|9AART|aVULN
57	26211 16164	   	170.67	ACR|2VULN|2DMG|1AART|1ASPD	15LHND|2MBVNT|3RCR|4ASPD|68VULN|7aDMG|9AART
58	26282 34342	   	170.27	ACR|2VULN|2DMG|1AART|1DUR	18LHND|2MBVNT|3RCR|48VULN|5DUR|6LIT|78DMG|8BPWR|9BEXP|aAART
59	26283 34352	   	170.27	ACR|2VULN|2DMG|1AART|1DUR	18LHND|2MBVNT|3RCR|48VULN|5BEXP|6LIT|78DMG|8BPWR|9DUR|aAART
60	25315 11313	 * 	170.22	DCR|3VULN|2DMG|2ZMB	13aLHND|29aVULN|48DMG|5VENICY|6RCR|7aZMB|aBPWR
61	16172 64111	   	170.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2MBVNT|3CDMG|4RCR|59VULN|6AART|7BELT|8DMG|aZMB
62	26282 43226	   	169.97	ACR|2VULN|2DMG|1AART|1DUR	1LHND|2MBVNT|3RCR|49VULN|5DUR|67DMG|8ERES|aAART
63	43513 31612	 * 	169.77	DCR|3DMG|2VULN|1AART|1CDMG|1MSE	1CGEN|2MSE|345DMG|6RCR|7CDMG|8AART|9aVULN
64	16138 41417	   	169.66	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|2MBVNT|3CDMG|49VULN|5AART|6MLV|78DMG|aRCR
65	34613 22215	 * 	169.43	ACR|3VULN|2DMG|3DUR	1aLIT|268DUR|3NUKE|4RCR|59aVULN|7aDMG|aBPWR
66	16223 71411	 * 	169.39	ACR|4VULN|1AART|1CDMG	1DUST|2MBVNT|3RCR|4LIT|568aVULN|7CDMG|9AART
67	26281 11644	   	169.34	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2MBVNT|3RCR|459VULN|6CGEN|7ASPD|8AART|aDMG
68	26215 13722	 * 	169.33	ACR|3VULN|2DMG|2ASPD	18LHND|2MBVNT|3RCR|48ASPD|5BEXP|69aVULN|78DMG|8BPWR
