0	Index      	 *	Score 	Summary	Detail	
1	23122 43551	 * 	191.03	DCR|3VULN|2DMG|1AART|1ZMB|1SELL	1MLV|289VULN|3SELL|4aDMG|5ZMB|6RCR|7AART
2	31121 33546	 * 	189.82	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	1RCR|2DUST|3aASPD|4LWND|5DUR|6aVULN|7MLV|8AART|9aDMG|aBPWR
3	33433 15126	 * 	189.09	ACR|3VULN|3CDMG|1AART|3DUR	1RCR|236LIT|48aDUR|58aCDMG|78aVULN|8aBPWR|9AART
4	23122 43553	 * 	187.54	DCR|4VULN|1AART|1DMG|1ZMB|1SELL	1MLV|289aVULN|3SELL|4DMG|5ZMB|6RCR|7AART
5	23123 43551	 * 	186.96	DCR|3VULN|2DMG|1AART|1ASPD|1SELL	1MLV|289VULN|3SELL|4aDMG|5ASPD|6RCR|7AART
6	33215 13166	 * 	185.69	ACR|3DMG|2VULN|1AART	1RCR|29LIT|3LHND|49VULN|579DMG|6LEGI|8RCVC|9BPWR|aAART
7	35362 21231	 * 	183.97	ACR|5VULN|1AART|1ZMB	1RCR|2ERES|36LHND|45679VULN|6BPWR|8ZMB|aAART
8	33215 31256	 * 	183.48	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|2LIT|3LHND|49VULN|56DMG|7AART|8DMSP|aCDMG
9	23123 43553	 * 	183.48	DCR|4VULN|1AART|1DMG|1ASPD|1SELL	1MLV|289aVULN|3SELL|4DMG|5ASPD|6RCR|7AART
10	31133 21226	 * 	183.14	ACR|2VULN|1AART|3ASPD|2CDMG|2DUR	1RCR|2aDUST|356ASPD|46CDMG|6aBPWR|7aVULN|8aDUR|9AART
11	31161 44223	   	182.51	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1RCR|2aDUST|3ASPD|4aVULN|5DUR|6CGEN|7RPLT|8aDMG|9AART|aBPWR
12	31222 23311	 * 	182.44	ACR|2DMG|3ZMB|1AART|2CDMG	1RCR|27aDUST|36CDMG|4RCVC|56aZMB|6aBPWR|8aDMG|9AART
