0	Index      	 *	Score 	Summary	Detail	
1	63131 61316	 * 	182.88	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1BELT|2RCR|3DUR|45VULN|6RCVC|7FLTHEA|8CDMG|9AART|aDMG
2	21366 51132	 * 	180.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1MGNSTR|2CGEN|3AART|4DUR|56aVULN|7CDMG|8RCR|9DMG
3	45247 13411	 * 	180.30	ACR|4VULN|1AART|2CDMG	15aLWND|2RCR|3MBVNT|459aVULN|5aBPWR|6AART|7DMSP|8aCDMG
4	45247 14411	   	180.30	ACR|4VULN|1AART|2CDMG	15aLWND|2RCR|3MBVNT|459aVULN|5aBPWR|6AART|7RCVC|8aCDMG
5	63131 33552	 * 	179.03	ACR|3VULN|1DMG|1FLTHEA|1ZMB|1DUR|1ASPD	1BELT|2RCR|3DUR|458VULN|6FLTHEA|7ZMB|9ASPD|aDMG
6	22233 26624	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MGNSTR|2ZMB|34VULN|5LWND|6RCR|7CDMG|8AART|9DUR|aDMG
7	22233 26651	 * 	177.39	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1MGNSTR|2ZMB|34VULN|5LWND|6RCR|79CDMG|8AART|aDMG
8	63131 61315	   	173.82	ACR|2VULN|1AART|1FLTHEA|1CDMG|1ZMB|1DUR	1BELT|2RCR|3DUR|45VULN|6RCVC|7FLTHEA|8CDMG|9AART|aZMB
9	45223 32443	 * 	173.54	ACR|3VULN|1AART|1DMG|1DUR	14LWND|2RCR|3MBVNT|5AART|6DMG|79aVULN|8DUR
10	45273 32443	   	173.54	ACR|3VULN|1AART|1DMG|1DUR	1LWND|2RCR|3MBVNT|4RCVC|5AART|6DMG|79aVULN|8DUR
11	63632 11216	 * 	173.42	ACR|2VULN|2AART|1CDMG|1ZMB|1ASPD	1BELT|2RCR|3CDMG|4ZMB|5FEWX|69AART|7aVULN|8ASPD
12	22233 21261	 * 	173.41	DCR|3VULN|2DMG|1ZMB|1ASPD	19MGNSTR|2ZMB|349VULN|5LWND|6RCR|7ASPD|89DMG|9BPWR|aCGEN
13	22233 21262	   	173.41	DCR|3VULN|2DMG|1ZMB|1ASPD	19MGNSTR|2ZMB|349VULN|5LWND|6RCR|7ASPD|89DMG|9BPWR|aBEXP
14	22233 21264	   	173.41	DCR|3VULN|2DMG|1ZMB|1ASPD	19MGNSTR|2ZMB|349VULN|5LWND|6RCR|7ASPD|89DMG|9BPWR|aLHND
15	22233 21266	   	173.41	DCR|3VULN|2DMG|1ZMB|1ASPD	19MGNSTR|2ZMB|349VULN|5LWND|6RCR|7ASPD|89DMG|9BPWR|aMLV
16	63633 11216	   	173.32	ACR|2VULN|2AART|1CDMG|1ZMB|1ASPD	1BELT|2RCR|3CDMG|4ZMB|5DUST|69AART|7aVULN|8ASPD
17	22233 21265	   	173.31	DCR|3VULN|2DMG|1ZMB|1ASPD	19MGNSTR|2ZMB|349VULN|5LWND|6RCR|7ASPD|89DMG|9BPWR|aERES
18	63132 12634	   	172.44	ACR|3VULN|1AART|1DMG|1DUR	1BELT|2RCR|3DUR|48aVULN|5LWND|6MLV|7AART|9DMG
19	63231 13534	 * 	172.38	ACR|4VULN|2DMG	1BELT|2RCR|39LHND|459aVULN|6LIT|7CGEN|89DMG|9BPWR
20	63233 11534	   	172.28	ACR|4VULN|2DMG	1BELT|2RCR|39LHND|479aVULN|5LIT|6TLV|89DMG|9BPWR
21	21366 51131	   	172.15	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1MGNSTR|2CGEN|3AART|4DUR|56VULN|7CDMG|8RCR|9DMG|aASPD
22	63131 33532	   	172.09	ACR|3VULN|1DMG|1FLTHEA|1ZMB|1DUR	1BELT|2RCR|3DUR|458VULN|6FLTHEA|7ZMB|9RMIN|aDMG
23	23252 35421	 * 	172.01	DCR|3VULN|1AART|1DMG|2DUR	19MGNSTR|2DUST|39DUR|4AART|5BEXP|6DMG|79aVULN|8RCR|9BPWR
24	63131 33542	   	171.99	ACR|3VULN|1DMG|1FLTHEA|1ZMB|1DUR	1BELT|2RCR|3DUR|458VULN|6FLTHEA|7ZMB|9ERES|aDMG
25	63131 35312	   	171.99	ACR|3VULN|1DMG|1FLTHEA|1ZMB|1DUR	1BELT|2RCR|3DUR|458VULN|6FLTHEA|7TLV|9ZMB|aDMG
26	45122 33311	   	171.96	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	17LWND|2RCR|37CGEN|4DUR|5CDMG|67aVULN|7BPWR|8ASPD|9AART
27	22245 61122	 * 	171.33	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1MGNSTR|25ZMB|3aVULN|4LHND|6AART|7CDMG|8RCR|9DMG
28	22233 26614	   	171.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MGNSTR|2ZMB|34VULN|5LWND|6RCR|7CDMG|8AART|9LHND|aDMG
29	63131 13231	 * 	170.92	ACR|3VULN|1AART|2ZMB|2DUR	1BELT|2RCR|39DUR|459VULN|6LIT|7CGEN|89ZMB|9BPWR|aAART
30	63133 43231	   	170.92	ACR|3VULN|1AART|2ZMB|2DUR	1BELT|2RCR|39DUR|469VULN|5LIT|7CGEN|89ZMB|9BPWR|aAART
31	63133 51231	   	170.92	ACR|3VULN|1AART|2ZMB|2DUR	1BELT|2RCR|39DUR|479VULN|5LIT|6MLV|89ZMB|9BPWR|aAART
32	63133 11231	   	170.82	ACR|3VULN|1AART|2ZMB|2DUR	1BELT|2RCR|39DUR|479VULN|5LIT|6TLV|89ZMB|9BPWR|aAART
33	21366 51121	 * 	170.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1MGNSTR|2CGEN|3AART|49DUR|56VULN|7CDMG|8RCR|aDMG
34	63314 24311	 * 	170.42	ACR|3DMG|2VULN|2DUR	1BELT|2RCR|39ERES|46DUR|569DMG|69BPWR|7RPLT|89VULN|aBEXP
35	63314 24312	   	170.42	ACR|3DMG|2VULN|2DUR	1BELT|2RCR|39ERES|46DUR|569DMG|69BPWR|7RPLT|89VULN|aCGEN
36	63314 24313	   	170.42	ACR|3DMG|2VULN|2DUR	1BELT|2RCR|39ERES|46DUR|569DMG|69BPWR|7RPLT|89VULN|aFEWX
37	23225 31255	 * 	170.25	DCR|2VULN|2DMG|1AART|1DUR	1MGNSTR|2DUST|3DUR|4aDMG|58VULN|6RCR|7BEXP|9AART
38	35122 23363	 * 	170.03	ACR|2VULN|2DMG|2CDMG|2DUR	1LIT|29DUR|3FEWX|4RCR|5aVULN|69DMG|7MLV|89CDMG|9BPWR
39	24531 32512	 * 	170.02	DCR|1AART|1VULN|1DMG|1CDMG|1FLTHEA|1DUR|1ASPD	1MGNSTR|2ASPD|3DUR|4VULN|5LWND|6RCR|7CDMG|8AART|9FLTHEA|aDMG
40	26531 32512	   	170.02	DCR|1AART|1VULN|1DMG|1CDMG|1FLTHEA|1DUR|1ASPD	1MGNSTR|2DMG|3DUR|4VULN|5LWND|6RCR|7CDMG|8AART|9FLTHEA|aASPD
41	63131 31728	   	169.98	ACR|2VULN|1DMG|1CDMG|1FLTHEA|1ZMB|1DUR	1BELT|2RCR|3DUR|45VULN|6FLTHEA|7MBVNT|8CDMG|9DMG|aZMB
42	35122 24363	   	169.93	ACR|2VULN|2DMG|2CDMG|2DUR	1LIT|29DUR|3FEWX|4RCR|5aVULN|69DMG|7TLV|89CDMG|9BPWR
43	63131 41115	 * 	169.87	ACR|4VULN|1AART|2DUR	1BELT|2RCR|39DUR|4579VULN|689ERES|9BPWR|aAART
44	63136 21115	   	169.87	ACR|4VULN|1AART|2DUR	1BELT|2RCR|39DUR|4679VULN|589ERES|9BPWR|aAART
