0	Index      	 *	Score 	Summary	Detail	
1	13323 21115	 * 	224.72	DCR|3VULN|3DMG|1AART|3DUR|1CDMG	1AART|29aDUR|3FEWX|49aVULN|5DUST|6CDMG|79aDMG|8RCR|9aBPWR
2	11326 21115	   	208.47	DCR|3VULN|3DMG|1AART|1CDMG	1AART|29aDUST|3BEXP|49aVULN|5LWND|6CDMG|79aDMG|8RCR|9aBPWR
3	11526 21115	   	208.47	DCR|3VULN|3DMG|1AART|1CDMG	1AART|29aDUST|3FEWX|49aVULN|5LWND|6CDMG|79aDMG|8RCR|9aBPWR
4	13326 21113	   	205.15	DCR|3DMG|2VULN|1AART|1CDMG|2DUR	1AART|29DUR|3FEWX|49VULN|5LWND|6CDMG|79aDMG|8RCR|9BPWR
5	13326 21116	   	205.15	DCR|3VULN|2DMG|1AART|1CDMG|2DUR	1AART|29DUR|3FEWX|49aVULN|5LWND|6CDMG|79DMG|8RCR|9BPWR
6	13422 21113	   	205.15	DCR|3DMG|2VULN|1AART|1CDMG|2DUR	1AART|29DUR|3LWND|49VULN|5FEWX|6CDMG|79aDMG|8RCR|9BPWR
7	13422 21116	   	205.15	DCR|3VULN|2DMG|1AART|1CDMG|2DUR	1AART|29DUR|3LWND|49aVULN|5FEWX|6CDMG|79DMG|8RCR|9BPWR
8	13423 21113	   	205.15	DCR|3DMG|2VULN|1AART|1CDMG|2DUR	1AART|29DUR|3LWND|49VULN|5LHND|6CDMG|79aDMG|8RCR|9BPWR
9	13423 21116	   	205.15	DCR|3VULN|2DMG|1AART|1CDMG|2DUR	1AART|29DUR|3LWND|49aVULN|5LHND|6CDMG|79DMG|8RCR|9BPWR
10	13323 21113	   	205.05	DCR|3DMG|2VULN|1AART|1CDMG|2DUR	1AART|29DUR|3FEWX|49VULN|5DUST|6CDMG|79aDMG|8RCR|9BPWR
11	13323 24115	 * 	199.80	DCR|3VULN|1AART|3ZMB|3DUR|1CDMG	1AART|29aDUR|3FEWX|49aVULN|5DUST|6CDMG|79aZMB|8RCR|9aBPWR
12	16522 21362	 * 	199.57	DCR|4VULN|2AART|2DMG|1SELL	15AART|24DMG|3SELL|6789VULN|aRCR
13	16121 36241	 * 	198.31	DCR|4VULN|1AART|1DMG|1CDMG	1AART|2DMG|3DUR|4678VULN|5ASPD|9CDMG|aRCR
14	16352 61212	 * 	195.82	ACR|2AART|2DMG|2VULN|1ZMB	16AART|2aDMG|3aLWND|4RCR|5ZMB|7ASPD|8aVULN|9BELT|aBPWR
15	13326 21111	 * 	195.81	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	1AART|29DUR|3FEWX|49VULN|5LWND|6aCDMG|79DMG|8RCR|9BPWR
16	13422 21111	   	195.81	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	1AART|29DUR|3LWND|49VULN|5FEWX|6aCDMG|79DMG|8RCR|9BPWR
17	13423 21111	   	195.81	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	1AART|29DUR|3LWND|49VULN|5LHND|6aCDMG|79DMG|8RCR|9BPWR
18	13323 21111	   	195.71	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	1AART|29DUR|3FEWX|49VULN|5DUST|6aCDMG|79DMG|8RCR|9BPWR
19	16121 36214	   	195.66	DCR|4VULN|1AART|1DMG|1ZMB	1AART|2DMG|3DUR|4678VULN|5ASPD|9ZMB|aRCR
20	16122 31244	   	195.66	DCR|4VULN|1AART|1DMG|1ZMB	1AART|2DMG|3DUR|4689VULN|5ZMB|7ASPD|aRCR
