0	Index      	 *	Score 	Summary	Detail	
1	23342 15613	 * 	208.25	ACR|2AART|2VULN|2DMG|2CDMG|1ZMB	18CDMG|25AART|38VULN|4RCR|68DMG|7RMIN|8BPWR|9DMSP|aZMB
2	23342 15632	   	204.18	ACR|2AART|2VULN|2DMG|2CDMG|1ASPD	18CDMG|25AART|38VULN|4RCR|68DMG|7RMIN|8BPWR|9LWND|aASPD
3	23342 15622	   	204.08	ACR|2AART|2VULN|2DMG|2CDMG|1ASPD	18CDMG|25AART|38VULN|4RCR|68DMG|7RMIN|8BPWR|9DUST|aASPD
4	23342 15612	 * 	201.52	ACR|3AART|2VULN|2DMG|2CDMG	18CDMG|25aAART|38VULN|4RCR|68DMG|7RMIN|8BPWR|9DMSP
5	42421 52211	 * 	200.80	ACR|4VULN|3DMG|3ASPD	179ASPD|2aLIT|379DMG|4789VULN|5RCR|6DLOT|79BPWR
6	42421 52213	   	200.80	ACR|4VULN|3DMG|3ASPD	179ASPD|2LIT|379DMG|4789VULN|5RCR|6DLOT|79BPWR|aFEWX
7	42421 52212	   	200.70	ACR|4VULN|3DMG|3ASPD	179ASPD|2LIT|379DMG|4789VULN|5RCR|6DLOT|79BPWR|aTLV
8	26362 43322	 * 	198.63	DCR|3VULN|2DMG|1AART|2CDMG	17CDMG|249VULN|37DMG|57CGEN|6RCR|7BPWR|8LWND|aAART
9	26214 12633	 * 	197.97	DCR|4VULN|2DMG|2CDMG|2DUR	14CDMG|2468VULN|3RCVC|46BPWR|56DUR|7aDMG|9RCR
10	23326 43331	 * 	197.57	DCR|4VULN|2AART|3CDMG	19aCDMG|24AART|389aVULN|5BELT|6RCR|79aMLV|9aBPWR
11	23342 15611	   	197.24	ACR|2AART|2VULN|2DMG|2CDMG	18CDMG|25AART|38VULN|4RCR|68DMG|7RMIN|8BPWR|9DMSP|aRPLT
12	23342 15631	   	197.24	ACR|2AART|2VULN|2DMG|2CDMG	18CDMG|25AART|38VULN|4RCR|68DMG|7RMIN|8BPWR|9LWND|aBEXP
13	23342 15633	   	197.24	ACR|2AART|2VULN|2DMG|2CDMG	18CDMG|25AART|38VULN|4RCR|68DMG|7RMIN|8BPWR|9LWND|aLIT
14	23342 15621	   	197.14	ACR|2AART|2VULN|2DMG|2CDMG	18CDMG|25AART|38VULN|4RCR|68DMG|7RMIN|8BPWR|9DUST|aBEXP
