0	Index      	 *	Score 	Summary	Detail	
1	12213 36212	 * 	223.27	DCR|3VULN|3AART|2DMG|1CDMG|2DUR	146AART|28DMG|38DUR|589VULN|7RCR|8BPWR|aCDMG
2	12423 34114	   	216.15	DCR|3VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	1AART|29DMG|3CDMG|49DUR|5BEXP|6ZMB|79aVULN|8RCR|9BPWR
3	12415 31433	 * 	211.52	ACR|3VULN|2AART|2DMG|1CDMG	17AART|28DMG|3CDMG|4ASPD|5RCR|69aVULN
4	12213 36211	   	209.62	DCR|3VULN|3AART|2DMG|2DUR	146AART|28DMG|38DUR|589VULN|7RCR|8BPWR|aCGEN
5	12213 36214	   	209.62	DCR|3VULN|3AART|2DMG|2DUR	146AART|28DMG|38DUR|589VULN|7RCR|8BPWR|aLIT
6	12213 36216	   	209.62	DCR|3VULN|3AART|2DMG|2DUR	146AART|28DMG|38DUR|589VULN|7RCR|8BPWR|aBELT
7	12213 36254	   	209.52	DCR|3VULN|3AART|2DMG|2DUR	146AART|28DMG|38DUR|58aVULN|7RCR|8BPWR|9DLOT
8	12431 33433	 * 	209.12	DCR|4VULN|2DMG|1AART|1CDMG	1AART|28DMG|3CDMG|4TLV|569aVULN|7RCR
9	12552 33332	 * 	208.37	DCR|3VULN|3DMG|1AART|2ASPD	1AART|237DMG|37aBPWR|4RMIN|57aERES|67aVULN|8RCR|9aASPD
10	12213 36234	   	207.62	DCR|3AART|2VULN|2DMG|1CDMG|2DUR	146AART|28DMG|38DUR|58VULN|7RCR|8BPWR|9RMIN|aCDMG
11	12213 36244	   	207.52	DCR|3AART|2VULN|2DMG|1CDMG|2DUR	146AART|28DMG|38DUR|58VULN|7RCR|8BPWR|9TLV|aCDMG
12	12435 33433	 * 	207.14	ACR|4VULN|2DMG|1AART|1CDMG	1AART|28DMG|3CDMG|4TLV|5RCR|679aVULN
13	12413 14114	 * 	206.07	DCR|3VULN|2DMG|1AART|2CDMG	1AART|29DMG|39CDMG|4ASPD|5LEGI|6LWND|79aVULN|8RCR|9BPWR
14	12411 11114	   	203.05	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD|2DUR	1AART|29DMG|3CDMG|49ASPD|5aVULN|6LWND|79DUR|8RCR|9BPWR
15	12413 31114	   	202.65	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	1AART|29DMG|39CDMG|4ASPD|5LEGI|6aVULN|79DUR|8RCR|9BPWR
16	12415 31413	 * 	202.18	ACR|2AART|2VULN|2DMG|2CDMG	17AART|28DMG|39CDMG|4ASPD|5RCR|6aVULN
17	12213 36422	   	202.12	DCR|3AART|2VULN|2DMG|1CDMG	146AART|29DMG|3DUR|59VULN|7RCR|89DUST|9BPWR|aCDMG
18	12431 33435	   	201.96	DCR|3VULN|2DMG|1AART|1CDMG	1AART|28DMG|3CDMG|4TLV|569VULN|7RCR|aASPD
19	12413 14111	 * 	201.86	DCR|2AART|2DMG|2VULN|2CDMG	1aAART|29DMG|39CDMG|4ASPD|5LEGI|6LWND|79VULN|8RCR|9BPWR
20	12431 33413	   	201.33	DCR|3VULN|2DMG|1AART|2CDMG	1AART|28DMG|39CDMG|4TLV|56aVULN|7RCR
21	12423 34111	   	200.50	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	1AART|29DMG|3CDMG|49DUR|5BEXP|6ZMB|79VULN|8RCR|9BPWR|aDMSP
22	12423 34112	   	200.50	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	1AART|29DMG|3CDMG|49DUR|5aBEXP|6ZMB|79VULN|8RCR|9BPWR
23	12423 34115	   	200.50	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	1AART|29DMG|3CDMG|49DUR|5BEXP|6ZMB|79VULN|8RCR|9BPWR|aRMIN
24	12423 34116	   	200.40	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	1AART|29DMG|3CDMG|49DUR|5BEXP|6ZMB|79VULN|8RCR|9BPWR|aERES
25	12523 33244	 * 	199.85	DCR|3DMG|2AART|2VULN	16AART|23aDMG|3BPWR|4DUR|58VULN|7RCR|9LHND
26	12523 33263	   	199.85	DCR|3VULN|2AART|2DMG	16AART|23DMG|3BPWR|4DUR|58aVULN|7RCR|9CGEN
27	12645 33222	 * 	199.82	DCR|4VULN|2AART|2DMG	16AART|27DMG|37ERES|4RMIN|5789VULN|7BPWR|aRCR
28	12656 33222	   	199.82	DCR|4VULN|2AART|2DMG	16AART|27DMG|37ERES|4789VULN|5RMIN|7BPWR|aRCR
29	12523 33214	   	199.75	DCR|3DMG|2AART|2VULN	16AART|23aDMG|3BPWR|4DUR|58VULN|7RCR|9DUST
30	12435 33413	 * 	199.35	ACR|3VULN|2DMG|1AART|2CDMG	1AART|28DMG|39CDMG|4TLV|5RCR|67aVULN
31	12312 24114	   	197.87	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2DMG|38aVULN|4DUR|5FEWX|6RCR|7ZMB|9CDMG
32	12313 24114	   	197.87	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2DMG|38aVULN|4DUR|5LWND|6RCR|7ZMB|9CDMG
33	12314 24114	   	197.87	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2DMG|38aVULN|4DUR|5LHND|6RCR|7ZMB|9CDMG
34	12213 36231	 * 	197.78	DCR|3AART|2VULN|2DMG|3DUR	146AART|28DMG|38aDUR|58VULN|7RCR|8BPWR|9RMIN
35	12315 24114	   	197.77	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2DMG|38aVULN|4DUR|5DUST|6RCR|7ZMB|9CDMG
36	12411 52114	   	197.75	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG	1AART|29DMG|3CDMG|49ASPD|5aVULN|6DUR|79BEXP|8RCR|9BPWR
37	12411 53114	   	197.75	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD	1AART|29DMG|3CDMG|49ASPD|5aVULN|6DUR|79LHND|8RCR|9BPWR
38	12523 33212	   	197.75	DCR|2AART|2VULN|2DMG|1CDMG	16AART|23DMG|3BPWR|4DUR|58VULN|7RCR|9DUST|aCDMG
39	12213 36242	   	197.68	DCR|3AART|2VULN|2DMG|3DUR	146AART|28DMG|38aDUR|58VULN|7RCR|8BPWR|9TLV
40	12413 54111	   	197.35	DCR|2VULN|2DMG|1AART|2CDMG	1AART|29DMG|39CDMG|4ASPD|5LEGI|6DUR|79VULN|8RCR|9BPWR|aDMSP
41	12413 54112	   	197.35	DCR|2VULN|2DMG|1AART|2CDMG	1AART|29DMG|39CDMG|4ASPD|5LEGI|6DUR|79VULN|8RCR|9BPWR|aBEXP
42	12413 54113	   	197.35	DCR|2VULN|2DMG|1AART|2CDMG	1AART|29DMG|39CDMG|4ASPD|5LEGI|6DUR|79VULN|8RCR|9BPWR|aLIT
43	12411 32423	   	197.14	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|28DMG|3CDMG|4ASPD|56VULN|7DUR|9ZMB|aRCR
44	12415 31431	   	195.87	ACR|2AART|2VULN|2DMG|1CDMG	17AART|28DMG|3CDMG|4ASPD|5RCR|69VULN|aLWND
45	12415 31432	   	195.77	ACR|2AART|2VULN|2DMG|1CDMG	17AART|28DMG|3CDMG|4ASPD|5RCR|69VULN|aDUST
46	12531 33432	   	195.22	DCR|3DMG|2VULN|1AART|2ASPD	1AART|239DMG|3aBPWR|4aASPD|5RMIN|6aVULN|7RCR|8aCGEN
47	12553 33432	   	195.22	DCR|3DMG|2VULN|1AART|2ASPD	1AART|239DMG|3aBPWR|4RMIN|5aASPD|6aVULN|7RCR|8aCGEN
48	12431 33424	   	195.02	DCR|3DMG|2VULN|1AART|1CDMG	1AART|28aDMG|3CDMG|4TLV|56VULN|7RCR|9RPLT
49	12431 33431	   	195.02	DCR|3VULN|2DMG|1AART|1CDMG	1AART|28DMG|3CDMG|4TLV|569VULN|7RCR|aLWND
50	12431 53433	   	195.02	DCR|3VULN|2DMG|1AART|1CDMG	1AART|28DMG|3CDMG|4TLV|59aVULN|6RCVC|7RCR
51	12431 33432	   	194.92	DCR|3VULN|2DMG|1AART|1CDMG	1AART|28DMG|3CDMG|4TLV|569VULN|7RCR|aDUST
52	12431 33436	   	194.92	DCR|3VULN|2DMG|1AART|1CDMG	1AART|28DMG|3CDMG|4TLV|569VULN|7RCR|aERES
53	12332 24126	   	194.87	DCR|3VULN|2DMG|1AART|1ZMB	1AART|2aDMG|389VULN|4BEXP|5FEWX|6RCR|7ZMB
54	12334 24126	   	194.87	DCR|3VULN|2DMG|1AART|1ZMB	1AART|2aDMG|389VULN|4BEXP|5LHND|6RCR|7ZMB
55	12362 24126	   	194.77	DCR|3VULN|2DMG|1AART|1ZMB	1AART|2aDMG|389VULN|4DUST|5FEWX|6RCR|7ZMB
