0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22315 66312	9	 * 	296.57	橙4易伤2时间2等级1伤害	1457易伤27时间3全技能67等级7序列升级8雷电9核a伤害
2	24732 21213	3	 * 	294.66	橙4易伤3伤害3雷电1暴击	139a易伤2加一49a雷电5敌人爆炸6核7暴击89a伤害9a序列升级
3	24782 21213	4	   	294.66	橙4易伤3伤害3雷电1暴击	139a易伤2加一49a雷电5敌人爆炸6核7暴击89a伤害9a序列升级
4	21634 32113	5	 * 	289.77	橙4易伤2伤害2时间1暴击	135a易伤2挖青4平台6暴击7a伤害8核9a时间a序列升级
5	22315 66311	9	 * 	289.73	橙4易伤3时间2等级	1457易伤27a时间3全技能67等级7序列升级8雷电9核
6	22315 66313	10	   	289.73	橙4易伤3时间2等级	1457易伤27a时间3全技能67等级7序列升级8雷电9核
7	22342 32351	3	   	285.79	橙4易伤2伤害2时间	179a易伤29时间3全技能49伤害5赏金邻近6平台8核9序列升级
8	53515 11222	5	 * 	282.12	橙3易伤3伤害3时间1卖塔	1卖塔235时间48a伤害6加一78a易伤8a序列升级9核
9	53515 31222	5	 * 	281.98	橙3易伤3伤害3时间2卖塔	16卖塔235时间48a伤害78a易伤8a序列升级9核
10	22342 32354	3	   	279.39	橙3易伤2伤害2时间1等级	179易伤29时间3全技能49伤害5赏金邻近6平台8核9序列升级a等级
11	22342 32356	3	 * 	278.80	橙3易伤3伤害2时间	179易伤29时间3全技能49a伤害5赏金邻近6平台8核9序列升级
12	22313 41252	6	 * 	277.64	橙3易伤2伤害2攻速2全技能1时间	149易伤2时间3a全技能5平台6核79伤害89攻速9序列升级
13	22313 51252	5	   	277.64	橙3易伤2伤害2攻速2全技能1时间	149易伤2时间3a全技能5平台6核79伤害89攻速9序列升级
14	24316 24274	8	   	277.51	橙4易伤3时间1等级	1457易伤2加一3全技能678时间7序列升级9核a等级
15	22315 66311	10	   	276.50	橙4易伤2时间2等级	1457易伤27时间3全技能67等级7序列升级8雷电9核a敌人爆炸
16	22315 66312	10	   	276.50	橙4易伤2时间2等级	1457易伤27时间3全技能67等级7序列升级8雷电9核a随机矿
17	22315 66313	9	   	276.50	橙4易伤2时间2等级	1457易伤27时间3全技能67等级7序列升级8雷电9核a低血量敌人
18	22214 34213	2	 * 	275.94	橙4易伤2时间2攻速1等级	157a易伤27时间3策反45掉矿57序列升级67攻速8等级9核
19	22662 34213	5	   	275.94	橙4易伤2时间2攻速1等级	137a易伤27时间4掉矿5策反67攻速7序列升级8等级9核
20	26214 34213	1	   	275.94	橙4易伤2时间2攻速1等级	157a易伤27时间3策反45掉矿57序列升级67攻速8等级9核
21	22451 13135	2	   	275.19	橙4易伤2伤害1时间1暴击	179a易伤2时间37伤害4赏金邻近57低血量敌人6核7序列升级8暴击
22	22151 43611	4	 * 	275.12	橙3易伤3时间2伤害	189易伤259时间3最后敌人4雷电6平台79伤害9序列升级a核
23	22155 52211	4	   	275.12	橙3易伤3时间2伤害	169易伤279时间3最后敌人4雷电5平台89伤害9序列升级a核
24	22155 53111	4	   	275.12	橙3易伤3时间2伤害	169易伤289时间3最后敌人4雷电5平台79伤害9序列升级a核
25	22251 43611	4	   	275.12	橙3易伤3时间2伤害	189易伤259时间3低血量敌人4雷电6平台79伤害9序列升级a核
26	22255 52211	4	   	275.12	橙3易伤3时间2伤害	169易伤279时间3低血量敌人4雷电5平台89伤害9序列升级a核
27	22255 53111	4	   	275.12	橙3易伤3时间2伤害	169易伤289时间3低血量敌人4雷电5平台79伤害9序列升级a核
28	22631 42211	3	   	275.12	橙3易伤3时间2伤害	139易伤279时间4雷电5最后敌人6平台89伤害9序列升级a核
29	22631 43111	3	   	275.12	橙3易伤3时间2伤害	139易伤289时间4雷电5最后敌人6平台79伤害9序列升级a核
30	22632 42211	3	   	275.12	橙3易伤3时间2伤害	139易伤279时间4雷电5敌人爆炸6平台89伤害9序列升级a核
31	22632 43111	3	   	275.12	橙3易伤3时间2伤害	139易伤289时间4雷电5敌人爆炸6平台79伤害9序列升级a核
32	22632 62211	6	   	275.12	橙3易伤3时间2伤害	139易伤279时间4平台5最后敌人6雷电89伤害9序列升级a核
33	22632 63111	6	   	275.12	橙3易伤3时间2伤害	139易伤289时间4平台5最后敌人6雷电79伤害9序列升级a核
34	22633 32211	4	   	275.12	橙3易伤3时间2伤害	139易伤279时间4平台5敌人爆炸6雷电89伤害9序列升级a核
35	22633 33111	4	   	275.12	橙3易伤3时间2伤害	139易伤289时间4平台5敌人爆炸6雷电79伤害9序列升级a核
36	22634 42211	3	   	275.12	橙3易伤3时间2伤害	139易伤279时间4雷电5低血量敌人6平台89伤害9序列升级a核
37	22634 43111	3	   	275.12	橙3易伤3时间2伤害	139易伤289时间4雷电5低血量敌人6平台79伤害9序列升级a核
38	22641 32211	4	   	275.12	橙3易伤3时间2伤害	139易伤279时间4敌人爆炸5平台6雷电89伤害9序列升级a核
39	22641 33111	4	   	275.12	橙3易伤3时间2伤害	139易伤289时间4敌人爆炸5平台6雷电79伤害9序列升级a核
40	22633 43111	3	   	275.02	橙3易伤3时间2伤害	139易伤289时间4雷电5挖尘6平台79伤害9序列升级a核
41	32253 13145	1	   	274.99	橙4易伤2伤害1时间1暴击	17挖尘2赏金邻近3时间479a易伤57伤害6核7序列升级8暴击
42	24316 24272	8	   	274.91	橙4易伤3时间1暴击	1457易伤2加一3全技能678时间7序列升级9核a暴击
43	22214 34613	2	 * 	274.70	橙3易伤2伤害2时间2攻速	157易伤27时间3策反45掉矿57序列升级67攻速8a伤害9核
44	22342 32352	3	   	274.15	橙3易伤2伤害2时间1攻速	179易伤29时间3全技能49伤害5赏金邻近6平台8核9序列升级a攻速
45	22634 36213	5	   	273.75	橙4易伤1伤害1等级1时间1暴击	1357易伤2时间4平台6暴击8等级9核a伤害
46	22633 16623	4	   	273.44	橙4易伤2时间2攻速1暴击	138a易伤2a时间4平台5敌人爆炸6暴击7核9a攻速a序列升级
47	22621 16623	4	   	273.34	橙4易伤2时间2攻速1暴击	138a易伤2a时间4挖尘5平台6暴击7核9a攻速a序列升级
48	22631 16623	4	   	273.34	橙4易伤2时间2攻速1暴击	138a易伤2a时间4平台5挖尘6暴击7核9a攻速a序列升级
49	52351 13241	8	 * 	273.20	橙3易伤2伤害2时间3雷电1卖塔	1卖塔246雷电38时间58伤害789易伤8序列升级a核
50	22315 34251	6	 * 	272.95	橙5易伤1伤害1时间	14579易伤2时间3全技能6核8赏金邻近a伤害
51	23234 32113	5	   	272.39	橙4易伤2时间1伤害1暴击	135a易伤23a最后敌人3a序列升级4平台6暴击7伤害8核9a时间
52	22634 32153	5	   	272.29	橙4易伤2时间1伤害1暴击	135a易伤2a时间4平台6暴击7伤害8核9a最后敌人a序列升级
53	23634 32113	5	   	272.29	橙4易伤2时间1伤害1暴击	135a易伤2a最后敌人4平台6暴击7伤害8核9a时间a序列升级
54	23316 12133	4	   	272.23	橙2易伤3伤害2时间1等级1暴击	19易伤2最后敌人39时间4随机矿5等级6暴击789伤害9序列升级a核
55	26516 12133	4	   	272.23	橙2易伤3伤害2时间1等级1暴击	19易伤2低血量敌人39时间4随机矿5等级6暴击789伤害9序列升级a核
56	21316 12133	4	   	272.13	橙2易伤3伤害2时间1等级1暴击	19易伤2挖青39时间4随机矿5等级6暴击789伤害9序列升级a核
57	22613 44233	4	   	271.86	橙4易伤3时间2等级	137a易伤257时间47a金币生成6挖青7a序列升级8核9a等级
58	22623 44233	3	   	271.86	橙4易伤3时间2等级	137a易伤257时间47a金币生成6挖青7a序列升级8核9a等级
59	24782 32413	5	 * 	271.52	橙4易伤3时间3雷电1卖塔	139a易伤2加一49a雷电5随机矿6卖塔79a时间8核9a序列升级
60	22634 53123	6	 * 	271.14	橙5易伤3时间	13578易伤269时间4平台a核
61	22634 63123	5	   	271.14	橙5易伤3时间	13578易伤269时间4平台a核
62	22313 41652	6	   	271.02	橙3易伤2伤害2时间2全技能	149易伤29时间3a全技能5平台6核79伤害8随机矿9序列升级
63	22313 51652	5	   	271.02	橙3易伤2伤害2时间2全技能	149易伤29时间3a全技能5平台6核79伤害8随机矿9序列升级
64	25151 26213	5	   	270.80	橙3易伤3伤害1等级1时间	167易伤2策反3时间46a伤害5随机矿6序列升级8等级9核
65	23234 26211	5	   	270.05	橙4易伤2伤害1时间	1359易伤239最后敌人39序列升级4平台6雷电7时间89伤害a核
66	23234 55211	7	   	270.05	橙4易伤2伤害1时间	1359易伤239最后敌人39序列升级4平台6时间7雷电89伤害a核
67	23234 66211	6	   	270.05	橙4易伤2伤害1时间	1359易伤239最后敌人39序列升级4平台6雷电7时间89伤害a核
68	22313 41251	6	   	269.87	橙3易伤2伤害2攻速1时间	149易伤2时间3全技能5平台6核79伤害89攻速9序列升级a敌人爆炸
69	22313 41253	6	   	269.87	橙3易伤2伤害2攻速1时间	149易伤2时间3全技能5平台6核79伤害89攻速9序列升级a矿等
70	22313 51251	5	   	269.87	橙3易伤2伤害2攻速1时间	149易伤2时间3全技能5平台6核79伤害89攻速9序列升级a敌人爆炸
71	22313 51253	5	   	269.87	橙3易伤2伤害2攻速1时间	149易伤2时间3全技能5平台6核79伤害89攻速9序列升级a矿等
72	22313 41255	6	   	269.77	橙3易伤2伤害2攻速1时间	149易伤2时间3全技能5平台6核79伤害89攻速9序列升级a赏金邻近
73	22313 41256	6	   	269.77	橙3易伤2伤害2攻速1时间1核弹	149易伤2时间3全技能5平台6核79伤害89攻速9序列升级a核弹
74	22313 51255	5	   	269.77	橙3易伤2伤害2攻速1时间	149易伤2时间3全技能5平台6核79伤害89攻速9序列升级a赏金邻近
