0	Index      	 *	Score 	Summary	Detail	
1	66212 16121	 * 	374.34	DCR|2VULN|1MDPS|2TLV|1DUR	18MLV|28VULN|3BBNT|4VENICY|5FEWX|68TLV|7RCR|8BPWR|9DUR|aMDPS
2	26122 21661	 * 	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|24VULN|3BOSS|5LIT|6DUR|7FRZARM|8RCR|9MDPS|aRCVC
3	26122 21662	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|24VULN|3BOSS|5LIT|6DUR|7FRZARM|8RCR|9MDPS|aBEXP
4	26122 21663	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|24VULN|3BOSS|5LIT|6DUR|7FRZARM|8RCR|9MDPS|aLWND
5	66212 16221	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1MLV|28VULN|3BBNT|4VENICY|5FEWX|6TLV|7RCR|9DUR|aMDPS
6	21163 21341	 * 	351.14	DCR|1MDPS|1VULN|1CDMG|1TLV|1DMG|1DUR	1CDMG|2DLOT|3DMG|4RAT|5TLV|6RCR|7RPLT|8VULN|9DUR|aMDPS
7	22264 21341	   	351.14	DCR|1MDPS|1VULN|1CDMG|1TLV|1DMG|1DUR	1CDMG|2TLV|3DLOT|4RAT|5DMG|6RCR|7RPLT|8VULN|9DUR|aMDPS
8	43236 61323	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART|1MSE	1BELT|2AEFBLL|37VULN|4DUR|5AART|6RCR|8RMIN|9MSE|aMDPS
9	43236 61111	   	344.59	DCR|2VULN|1MDPS|1DUR|1AART	1BELT|2AEFBLL|37VULN|4DUR|5AART|6RCR|8MDPS|9BEXP|aERES
10	43236 61112	 * 	344.59	DCR|3VULN|1MDPS|1DUR|1AART	1BELT|2AEFBLL|37aVULN|4DUR|5AART|6RCR|8MDPS|9BEXP
11	43236 61113	   	344.59	DCR|2VULN|1MDPS|1DUR|1AART	1BELT|2AEFBLL|37VULN|4DUR|5AART|6RCR|8MDPS|9BEXP|aLHND
12	43236 61121	 * 	344.59	DCR|2VULN|1MDPS|2DUR|1AART	1BELT|2AEFBLL|37VULN|49DUR|5AART|6RCR|8MDPS|aASPD
13	43236 61122	   	344.59	DCR|2VULN|1MDPS|2DUR|1AART	1BELT|2AEFBLL|37VULN|49DUR|5AART|6RCR|8MDPS|aFEWX
14	43236 61123	   	344.59	DCR|2VULN|1MDPS|2DUR|1AART	1BELT|2AEFBLL|37VULN|49DUR|5AART|6RCR|8MDPS|aBEXP
15	43236 61131	   	344.59	DCR|2VULN|1MDPS|1DUR|1AART	1BELT|2AEFBLL|37VULN|4DUR|5AART|6RCR|8MDPS|9MBVNT|aERES
16	43236 61132	   	344.59	DCR|3VULN|1MDPS|1DUR|1AART	1BELT|2AEFBLL|37aVULN|4DUR|5AART|6RCR|8MDPS|9MBVNT
17	43236 61133	   	344.59	DCR|2VULN|1MDPS|1DUR|1AART	1BELT|2AEFBLL|37VULN|4DUR|5AART|6RCR|8MDPS|9MBVNT|aLHND
18	43236 61134	   	344.59	DCR|2VULN|1MDPS|1DUR|1AART	1BELT|2AEFBLL|37VULN|4DUR|5AART|6RCR|8MDPS|9MBVNT|aDUST
