0	Index      	 *	Score 	Summary	Detail	
1	14535 33211	 * 	372.09	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1AAC|2AETHUN|35VULN|4AART|6RCR|7DUR|8CDMG|9TBNT|aMDPS
2	26312 24313	 * 	371.20	DCR|2VULN|1MDPS|2CDMG|1DUR	1RMIN|2AAC|35CDMG|45ZMB|5BPWR|6RCR|79VULN|8DUR|aMDPS
3	26314 24313	   	371.10	DCR|2VULN|1MDPS|2CDMG|1DUR	1RMIN|2AAC|35CDMG|4ZMB|6RCR|79VULN|8DUR|aMDPS
4	35221 15533	 * 	364.71	ACR|2VULN|1MDPS|1CDMG|1TLV|1DMG|1DUR	13AEBURN|23VULN|3BPWR|4RCR|5TLV|6DUR|7ASPD|8CDMG|9DMG|aMDPS
5	35221 16221	 * 	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	13AEBURN|237VULN|3BPWR|4RCR|5TLV|6DUR|8RCVC|9LWND|aMDPS
6	35221 16251	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	13AEBURN|237VULN|3BPWR|4RCR|5TLV|6DUR|8RCVC|9FEWX|aMDPS
7	35221 16611	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	13AEBURN|237VULN|3BPWR|4RCR|5TLV|6DUR|89LWND|aMDPS
8	35221 16311	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	13AEBURN|237VULN|3BPWR|4RCR|5TLV|6DUR|8ASPD|9CGEN|aMDPS
9	35221 16331	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	13AEBURN|237VULN|3BPWR|4RCR|5TLV|6DUR|8ASPD|9ZMB|aMDPS
10	35221 16341	   	360.93	ACR|3VULN|1MDPS|1TLV|1DUR	13AEBURN|237VULN|3BPWR|4RCR|5TLV|6DUR|8ASPD|9ERES|aMDPS
11	11363 12623	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1AAC|2BBNT|3CDMG|46VULN|5BEXP|7DUR|8RMIN|9RCR|aMDPS
12	21452 22413	 * 	357.91	DCR|2MDPS|1VULN|1DUR	1RMIN|2BBNT|3ASPD|4VULN|5LIT|6RCR|7DUR|8aMDPS|9ZMB
13	32254 12411	   	350.91	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1AEBURN|2DUST|38VULN|4ERES|5DUR|6DMG|7RCR|9MDPS|aCDMG
14	32254 12412	   	350.91	DCR|2VULN|1MDPS|1DMG|1DUR	1AEBURN|2aDUST|38VULN|4ERES|5DUR|6DMG|7RCR|9MDPS
15	32254 12413	   	350.91	DCR|2VULN|1MDPS|1DMG|1DUR	1AEBURN|2DUST|38VULN|4ERES|5DUR|6DMG|7RCR|9MDPS|aLHND
16	32226 41161	 * 	344.22	ACR|2MDPS|1VULN|1TLV|1DUR	1AEBURN|2DUST|3VULN|4RAT|5RCR|6TLV|7DUR|8FEWX|9aMDPS
17	32226 41261	   	344.22	ACR|2MDPS|1VULN|1TLV|1DUR	1AEBURN|2DUST|3VULN|4RAT|5RCR|6TLV|7DUR|8LWND|9aMDPS
18	35326 41231	   	344.22	ACR|2MDPS|1VULN|1TLV|1DUR|1MSE	1AEBURN|2VULN|3FEWX|4RAT|5RCR|6TLV|7DUR|8aMDPS|9MSE
19	33145 24333	 * 	343.70	DCR|2VULN|1MDPS|2DUR	19AEBURN|2RPLT|3ZMB|45RCVC|6RCR|79VULN|89DUR|9BPWR|aMDPS
20	33536 31231	   	343.70	DCR|2VULN|1MDPS|2DUR	18AEBURN|2RPLT|3RMIN|48VULN|5LIT|6LHND|78DUR|8BPWR|9RCR|aMDPS
21	33532 11231	   	343.60	DCR|2VULN|1MDPS|2DUR	18AEBURN|2RPLT|3RMIN|48VULN|5DUST|6LIT|78DUR|8BPWR|9RCR|aMDPS
22	11313 62623	 * 	343.53	DCR|1MDPS|1VULN|1CDMG|2DUR|1TLV	1AAC|2BBNT|3CDMG|48DUR|5BEXP|6RCR|7VULN|9TLV|aMDPS
23	11314 62623	   	343.53	DCR|1MDPS|1VULN|1CDMG|2DUR|1TLV	1AAC|2BBNT|3CDMG|48DUR|5FEWX|6RCR|7VULN|9TLV|aMDPS
24	21313 62623	   	343.53	DCR|1MDPS|1VULN|1CDMG|2DUR|1TLV	1RMIN|2BBNT|3CDMG|48DUR|5BEXP|6RCR|7VULN|9TLV|aMDPS
25	21314 62623	   	343.53	DCR|1MDPS|1VULN|1CDMG|2DUR|1TLV	1RMIN|2BBNT|3CDMG|48DUR|5FEWX|6RCR|7VULN|9TLV|aMDPS
26	26215 24333	   	343.45	DCR|2VULN|1MDPS|2DUR|1SELL	1RMIN|2AAC|3SELL|49ASPD|5RCVC|6RCR|79VULN|89DUR|9BPWR|aMDPS
