0	Index      	 *	Score 	Summary	Detail	
1	63531 33361	 * 	384.55	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1CDMG|23VULN|4AEWIND|5AEFBLL|6ERES|7RCR|8TLV|9DUR|aMDPS
2	22222 35236	 * 	377.21	DCR|2VULN|1MDPS|2DUR|1DMG|1AART	1DMG|23DUR|4LSRHEA|5LEGI|67VULN|8AART|9RCR|aMDPS
3	21541 23331	 * 	375.36	4VULN|1MDPS|1CDMG|1DMG|1DUR|1AART	1DMG|24ZMB|3458VULN|4BPWR|6CDMG|7AART|9DUR|aMDPS
4	25541 23331	   	375.16	4VULN|1MDPS|1CDMG|1DMG|1DUR|1AART	1DMG|24ERES|3458VULN|4BPWR|6CDMG|7AART|9DUR|aMDPS
5	63365 12212	 * 	374.98	DCR|5VULN|1CDMG|1DUR	1CDMG|24567VULN|3BASICY|8LHND|9RCR|aDUR
6	63365 12312	   	374.98	DCR|5VULN|1CDMG|1DUR	1CDMG|24567VULN|3BASICY|8FEWX|9RCR|aDUR
7	22522 35236	   	364.76	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1DMG|2DUR|3DMSP|4LSRHEA|5LEGI|67VULN|8AART|9RCR|aMDPS
8	26431 53121	   	363.56	DCR|2VULN|1MDPS|2DUR|1DMG	1DMG|2BBNT|3CGEN|45DUR|6RCR|78VULN|9MDPS|aFEWX
9	26431 53122	   	363.56	DCR|2VULN|1MDPS|2DUR|1DMG	1DMG|2BBNT|3CGEN|45DUR|6RCR|78VULN|9MDPS|aMGNSTR
10	26431 53123	   	363.56	DCR|2VULN|1MDPS|2DUR|1DMG	1DMG|2BBNT|3CGEN|45DUR|6RCR|78VULN|9MDPS|aBEXP
11	25331 53121	   	363.46	DCR|2VULN|1MDPS|2DUR|1DMG	1DMG|2ERES|3BBNT|45DUR|6RCR|78VULN|9MDPS|aFEWX
12	25331 53122	   	363.46	DCR|2VULN|1MDPS|2DUR|1DMG	1DMG|2ERES|3BBNT|45DUR|6RCR|78VULN|9MDPS|aMGNSTR
