0	Index      	Bounty	 *	Score 	Summary	Detail	
1	52512 14448	1	 * 	298.61	橙3易伤3伤害3时间1等级	18a易伤268时间3加一4等级5a掉矿78a伤害8a序列升级9核
2	41122 16232	5	   	292.33	橙3易伤3伤害3时间	189时间26基地爆炸389伤害4额外掉落5全技能789易伤89序列升级a核
3	41122 66232	6	   	292.33	橙3易伤3伤害3时间	189时间2基地爆炸389伤害4额外掉落5全技能6双倍矿789易伤89序列升级a核
4	51122 12232	5	   	292.33	橙3易伤3伤害3时间	189易伤26基地爆炸389伤害4额外掉落5全技能789时间89序列升级a核
5	51122 62232	6	   	292.33	橙3易伤3伤害3时间	189易伤2基地爆炸389伤害4额外掉落5全技能6双倍矿789时间89序列升级a核
6	62133 32232	5	   	292.33	橙3易伤3伤害3时间	1立即金币2全技能389伤害4基地爆炸589易伤6额外掉落789时间89序列升级a核
7	62143 32232	5	   	292.33	橙3易伤3伤害3时间	1立即金币2全技能389伤害4敌人爆炸589易伤6额外掉落789时间89序列升级a核
8	62215 36232	5	   	292.33	橙3易伤3伤害3时间	1立即金币2全技能389时间4基地爆炸589伤害6额外掉落789易伤89序列升级a核
9	62243 36232	5	   	292.33	橙3易伤3伤害3时间	1立即金币2全技能389时间4额外掉落5敌人爆炸689伤害789易伤89序列升级a核
10	62242 36232	4	   	292.22	橙3易伤3伤害3时间	1立即金币2全技能389时间4额外掉落5挖尘689伤害789易伤89序列升级a核
11	51513 31325	9	 * 	291.50	橙5易伤3时间3雷电	1389a易伤234基地爆炸39a序列升级59a时间6核79a雷电
12	53533 31325	9	   	291.50	橙5易伤3时间3雷电	1389a易伤234敌人爆炸39a序列升级59a时间6核79a雷电
13	54632 11231	6	 * 	290.84	橙4易伤3伤害1时间1暴击	1258易伤345伤害5序列升级6时间7暴击9核a立即金币
14	54632 11232	6	   	290.84	橙4易伤3伤害1时间1暴击	1258易伤345伤害5序列升级6时间7暴击9核a低血量敌人
15	54632 11233	6	   	290.84	橙4易伤3伤害1时间1暴击	1258易伤345伤害5序列升级6时间7暴击9核a基地爆炸
16	31523 13532	10	 * 	289.31	橙4易伤3伤害2暴击	1a暴击2雷电367a易伤4随机矿59a伤害8核a序列升级
17	31225 13156	7	 * 	289.06	橙3易伤3伤害3暴击1等级	17a暴击2雷电37a伤害4最后敌人5等级67a易伤7a序列升级8核9挖青
18	54632 22111	9	   	288.20	橙4易伤3伤害1时间1攻速	125a易伤345伤害5序列升级6立即金币7核8攻速9时间
19	54632 11131	6	   	282.79	橙3易伤3伤害2时间1暴击	125易伤345伤害5序列升级68时间7暴击9核a立即金币
20	54632 11132	6	   	282.79	橙3易伤3伤害2时间1暴击	125易伤345伤害5序列升级68时间7暴击9核a低血量敌人
21	54632 11133	6	   	282.79	橙3易伤3伤害2时间1暴击	125易伤345伤害5序列升级68时间7暴击9核a基地爆炸
22	52134 22162	8	   	282.56	橙3易伤3伤害3时间	179易伤2低血量敌人379伤害4a最后敌人5挖尘679时间79序列升级8核
23	52134 22163	8	   	282.56	橙3易伤3伤害3时间	179易伤2低血量敌人379伤害4最后敌人5挖尘679时间79序列升级8核a敌人爆炸
24	52134 22161	8	   	282.46	橙3易伤3伤害3时间	179易伤2低血量敌人379伤害4最后敌人5挖尘679时间79序列升级8核a掉矿
25	54632 22211	8	   	282.36	橙3易伤3伤害3时间	125易伤345伤害5序列升级6立即金币7核89a时间
26	54632 22221	9	   	282.36	橙3易伤3伤害3时间	125易伤345伤害5序列升级6立即金币7核89a时间
27	54632 22223	10	   	282.36	橙3易伤3伤害3时间	125易伤345伤害5序列升级6立即金币7核89a时间
28	54632 22331	7	   	281.81	橙3易伤3伤害1等级1时间1攻速	125易伤345伤害5序列升级6立即金币7核8等级9攻速a时间
29	31225 13116	7	 * 	281.66	橙2易伤2伤害2时间2等级2暴击2雷电	17暴击2a雷电37伤害4最后敌人5a等级67易伤7a序列升级8核9a时间
30	31255 13116	7	   	281.66	橙2易伤2伤害2时间2等级2暴击2雷电	17暴击2a雷电37伤害4低血量敌人5a等级67易伤7a序列升级8核9a时间
31	54133 11532	10	   	280.21	橙4易伤2伤害2暴击2雷电	123a易伤4随机矿59伤害6a暴击7a雷电8核a序列升级
32	35111 74248	1	 * 	277.90	橙4易伤3时间3暴击	19a暴击23策反4加一59a时间6核789a易伤9a序列升级
33	54632 22221	10	   	277.44	橙3易伤3伤害2时间	125易伤345伤害5序列升级6立即金币7核89时间a雷电
34	54632 22311	7	   	277.19	橙4易伤3伤害1等级	125a易伤345伤害5序列升级6立即金币7核8等级9基地爆炸
35	54632 22321	7	   	277.19	橙4易伤3伤害1等级	125a易伤345伤害5序列升级6立即金币7核8等级9敌人爆炸
36	54632 22231	9	   	277.09	橙4易伤3伤害1时间	125a易伤345伤害5序列升级6立即金币7核8时间9掉矿
37	54632 22232	10	   	277.09	橙4易伤3伤害1时间	125a易伤345伤害5序列升级6立即金币7核8时间9掉矿
38	54632 22123	7	   	276.51	橙3易伤3伤害1等级1暴击	125易伤345伤害5序列升级6立即金币7核8雷电9暴击a等级
39	54123 23336	6	 * 	275.94	橙4易伤2时间2攻速1等级	123a易伤4挖尘5a时间6金币生成7核8等级9a攻速a序列升级
40	54123 13336	6	   	275.84	橙4易伤2时间2攻速1等级	123a易伤4挖尘5a时间6掉矿7核8等级9a攻速a序列升级
41	54632 22113	9	   	275.22	橙3易伤3伤害1时间1攻速	125易伤345伤害5序列升级6立即金币7核8攻速9时间a全技能
42	54125 31311	3	   	274.26	橙5易伤2时间1等级	1234a易伤5a时间6掉矿7等级8a矿等9核a序列升级
43	41115 13234	10	   	274.25	橙3易伤2伤害2时间1攻速	19时间2基地爆炸39伤害4敌人爆炸5攻速69a易伤7核8全技能9序列升级
44	54632 11222	7	   	273.86	橙3易伤3伤害1时间1攻速	125易伤345伤害5序列升级6时间7低血量敌人8雷电9攻速a核
45	54632 13222	6	   	273.86	橙3易伤3伤害1时间1攻速	125易伤345伤害5序列升级6时间7敌人爆炸8雷电9攻速a核
46	54163 31133	6	   	273.66	橙4易伤2伤害2暴击	123a易伤4策反5a伤害6核7基地爆炸8雷电9a暴击a序列升级
47	54163 32233	8	   	273.56	橙4易伤2伤害2暴击	123a易伤4策反5a伤害6核7雷电8挖尘9a暴击a序列升级
