0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32413 61531	7	 * 	271.30	橙5易伤3时间1卖塔	178策反2基地爆炸3789a易伤4卖塔578时间6核78序列升级
2	16462 32113	4	 * 	265.85	紫5易伤3攻速2等级1伤害	1核24a攻速3479a易伤4a序列升级5伤害6矿等8a等级
3	25224 22116	6	 * 	263.39	橙5易伤1伤害1等级	14基地爆炸2379a易伤5伤害6核8等级
4	12451 32243	10	 * 	262.87	紫4易伤3伤害1时间1全技能	1核29a掉矿379a易伤4雷电5时间6全技能89a伤害9a序列升级
5	22248 41431	9	 * 	261.64	橙4易伤2伤害1时间	147基地爆炸2加一347a易伤47序列升级5平台67伤害8时间9核
6	13245 23361	8	 * 	260.37	紫3易伤3时间2伤害2雷电1攻速	1核247时间389易伤59雷电69伤害9序列升级a攻速
7	22246 23618	8	   	260.25	橙4易伤2伤害2雷电	147基地爆炸2加一349a易伤4a序列升级5a雷电6a伤害8核
8	22246 23653	8	   	260.25	橙4易伤2伤害2雷电	147基地爆炸2加一349a易伤49序列升级59雷电69伤害8核
9	16461 33222	6	 * 	258.85	紫4易伤3时间3攻速	1核248攻速3489易伤489序列升级5基地爆炸69最后敌人789时间a雷电
10	16462 32211	4	 * 	257.08	紫4易伤3攻速2时间1伤害	1核24a攻速347a易伤4a序列升级5伤害6矿等8a时间9赏金塔
11	13261 15153	2	   	255.47	紫2易伤3时间2伤害1等级1暴击1全技能	1核239时间4雷电59伤害6暴击7等级89易伤9序列升级a全技能
12	22243 82752	8	   	255.25	橙3易伤2伤害1等级1时间	149基地爆炸2加一349易伤49序列升级5等级6核7最后敌人89伤害a时间
13	22248 41434	10	   	255.25	橙3易伤2伤害1等级1时间	147基地爆炸2加一347易伤47序列升级5平台67伤害8时间9核a等级
14	13431 15152	2	 * 	254.79	紫2易伤3伤害2时间1等级2雷电1暴击	1核29时间34雷电59a伤害6暴击7等级89易伤9序列升级
15	13431 15152	3	   	254.79	紫2易伤3伤害2时间1等级2雷电1暴击	1核29时间34雷电59a伤害6暴击7等级89易伤9序列升级
16	25224 22421	6	 * 	254.45	橙3易伤3伤害1等级	14基地爆炸237易伤589伤害6核a等级
17	25226 22116	6	   	254.33	橙5易伤1等级1攻速	14基地爆炸2379a易伤5攻速6核8等级
18	22246 23652	8	   	253.85	橙3易伤2伤害1时间2雷电	147基地爆炸2加一349易伤49序列升级59雷电69伤害8核a时间
19	16611 13523	2	 * 	253.49	紫4易伤2伤害3攻速1全技能	1核27a攻速3平台4678易伤57伤害7序列升级9全技能
20	22281 88413	10	 * 	253.41	橙4易伤2等级1时间1全技能	1基地爆炸2加一358a易伤45等级5序列升级6核7全技能9时间
21	22243 83352	6	 * 	253.39	橙3易伤2时间2攻速1等级	149基地爆炸2加一349易伤49序列升级5等级6核7a时间89攻速
22	13411 25241	9	 * 	252.99	紫2易伤3伤害3时间3雷电1全技能	1核259时间39a雷电4矿等6a易伤7全技能89a伤害9a序列升级
23	13431 25241	9	   	252.99	紫2易伤3伤害3时间3雷电1全技能	1核259时间39a雷电4金币生成6a易伤7全技能89a伤害9a序列升级
24	22248 41467	8	   	252.65	橙3易伤2伤害1时间1暴击	147基地爆炸2加一347易伤47序列升级5平台67伤害8时间9暴击a核
25	25224 22114	6	   	252.16	橙4易伤1伤害1等级	14基地爆炸2379易伤5伤害6核8等级a雷电
26	22244 11644	6	 * 	252.02	橙4易伤2时间1暴击	14基地爆炸2加一3489易伤4序列升级56时间7暴击a核
27	22244 61644	5	   	252.02	橙4易伤2时间1暴击	14基地爆炸2加一3489易伤4序列升级56时间7暴击a核
28	22274 11644	6	   	251.92	橙4易伤2时间1暴击	1基地爆炸2加一3489易伤56时间7暴击a核
29	22274 61644	5	   	251.92	橙4易伤2时间1暴击	1基地爆炸2加一3489易伤56时间7暴击a核
30	25224 22423	6	   	251.85	橙3易伤3伤害1暴击	14基地爆炸237易伤589伤害6核a暴击
31	32413 61511	7	 * 	251.76	橙4易伤3时间1卖塔	178策反29基地爆炸378a易伤4卖塔578时间6核78序列升级
32	32413 61532	7	 * 	251.76	橙4易伤3时间1卖塔	178策反2基地爆炸3789易伤4卖塔578时间6核78序列升级a平台
33	32413 61533	7	 * 	251.66	橙4易伤3时间1卖塔	178策反2基地爆炸3789易伤4卖塔578时间6核78序列升级a掉矿
34	23244 22343	8	 * 	251.60	橙4易伤3时间	19基地爆炸2挖尘389a易伤479时间5挖青6核9序列升级
35	22246 23651	8	   	251.26	橙3易伤2伤害2雷电1暴击	147基地爆炸2加一349易伤49序列升级59雷电69伤害8核a暴击
36	31442 12521	4	   	251.11	橙3易伤1伤害1等级1时间1暴击	1策反2最后敌人368易伤4暴击5伤害7时间9等级a核
37	32442 12521	4	   	251.11	橙3易伤1伤害1时间1等级1暴击	1策反2基地爆炸368易伤4暴击5伤害7时间9等级a核
38	33442 12521	4	   	251.01	橙3易伤1伤害1等级1时间1暴击	1策反2挖尘368易伤4暴击5伤害7时间9等级a核
39	63235 12122	10	 * 	250.75	橙3易伤2时间1伤害2雷电	1挖青27时间357易伤4平台67雷电7序列升级8金币生成9核a伤害
40	16461 33221	6	   	250.54	紫4易伤3时间3攻速	1核248攻速3489易伤489序列升级5基地爆炸69最后敌人789时间a矿等
41	16461 33223	6	   	250.54	紫4易伤3时间3攻速	1核248攻速3489易伤489序列升级5基地爆炸69最后敌人789时间a随机矿
42	16462 23221	6	   	250.24	紫4易伤3时间3攻速	1核249攻速349a易伤49序列升级578时间6立即金币
43	13246 42221	5	   	250.14	紫4易伤3时间3攻速	1核248时间379a易伤569攻速9序列升级
44	16643 41351	7	   	250.10	紫4易伤3时间3攻速1卖塔	1核279攻速3加一479a易伤579时间6卖塔79序列升级8平台
45	22248 41436	9	   	250.00	橙3易伤2伤害1时间1攻速	147基地爆炸2加一347易伤47序列升级5平台67伤害8时间9核a攻速
46	22248 41612	10	   	250.00	橙3易伤2伤害1时间1攻速	147基地爆炸2加一347易伤47序列升级5平台67伤害8攻速9时间a核
