0	Index      	 *	Score 	Summary	Detail	
1	23413 32153	 * 	285.90	DCR|4VULN|3DMG|2DUR|1ASPD	18aERES|268aVULN|3ASPD|4LWND|568DMG|68aBPWR|7RCR|9aDUR
2	23413 32152	   	279.25	DCR|4VULN|3DMG|1ASPD	18ERES|268aVULN|3ASPD|4LWND|568DMG|68BPWR|7RCR|9DUR
3	46212 51443	 * 	277.37	DCR|DCR|1VULN|1DMG|1MLV|1AART|1RPLT	1BELT|2AART|3VULN|4MBVNT|5RPLT|6MLV|7DMG|8FLTARM|9aRCR
4	23356 11126	 * 	277.03	DCR|DCR|2VULN|2RPLT|1CDMG	1ERES|24VULN|3LHND|5BBNT|6aRCR|79RPLT|8CDMG
5	26143 32153	   	272.15	DCR|4VULN|3DMG|2DUR	18aERES|268DMG|368aVULN|4AAC|5LEGI|68aBPWR|7RCR|9aDUR
6	23113 32153	   	272.00	DCR|4VULN|3DMG|2DUR|1ZMB	18aERES|268aVULN|3ZMB|4LWND|568DMG|68aBPWR|7RCR|9aDUR
7	23256 11116	   	271.64	DCR|DCR|2VULN|1CDMG|1RPLT	1ERES|24VULN|39DUST|5BBNT|6aRCR|7RPLT|8CDMG
8	23413 32133	   	271.04	DCR|4VULN|3DMG|1ASPD	18aERES|268aVULN|3ASPD|4LWND|568DMG|68aBPWR|7RCR|9aBEXP
9	46212 33443	   	270.95	DCR|DCR|1VULN|1MLV|1ASPD|1AART|1RPLT	1BELT|2AART|3VULN|4MBVNT|5RPLT|6ASPD|7MLV|8FLTARM|9aRCR
10	23413 32122	   	270.94	DCR|4VULN|3DMG|1ASPD	18ERES|268aVULN|3ASPD|4LWND|568DMG|68BPWR|7RCR|9TLV
11	23413 32132	   	270.94	DCR|4VULN|3DMG|1ASPD	18ERES|268aVULN|3ASPD|4LWND|568DMG|68BPWR|7RCR|9BEXP
12	23413 32143	   	270.94	DCR|4VULN|3DMG|1ASPD	18ERES|268aVULN|3ASPD|4LWND|568DMG|68BPWR|7RCR|9LIT
13	23413 32112	   	270.84	DCR|4VULN|3DMG|1ASPD	18ERES|268aVULN|3ASPD|4LWND|568DMG|68BPWR|7RCR|9MBVNT
14	26114 32121	 * 	268.76	DCR|2VULN|3DMG|3ASPD|1MLV	18ERES|268DMG|3aVULN|4LWND|568ASPD|68BPWR|7RCR|9MLV
15	26124 32121	   	268.76	DCR|2VULN|3DMG|3ASPD|1MLV	18ERES|268DMG|3aVULN|4FEWX|568ASPD|68BPWR|7RCR|9MLV
16	26154 32121	   	268.76	DCR|2VULN|3DMG|3ASPD|1MLV	18ERES|268DMG|3aVULN|4BEXP|568ASPD|68BPWR|7RCR|9MLV
17	23413 32156	   	268.76	DCR|3VULN|3DMG|1ASPD|1RPLT	18ERES|268VULN|3ASPD|4LWND|568DMG|68BPWR|7RCR|9DUR|aRPLT
18	51367 12313	   	268.68	DCR|4VULN|1DMG|1MLV|1ASPD|1CDMG	1ASPD|2CDMG|378aVULN|4MBVNT|5DMG|6RCR|9MLV
19	26164 32121	   	268.66	DCR|2VULN|3DMG|3ASPD|1MLV	18ERES|268DMG|3aVULN|4DUST|568ASPD|68BPWR|7RCR|9MLV
20	16133 32147	 * 	268.49	DCR|DCR|2VULN|1DMG	1RCVC|2MBVNT|3DUST|4TBNT|59VULN|6aRCR|7TLV|8DMG
21	16133 33147	   	268.49	DCR|DCR|2VULN|1DMG	1RCVC|2MBVNT|3DUST|4TBNT|59VULN|6aRCR|7CGEN|8DMG
22	16133 35147	   	268.49	DCR|DCR|2VULN|1DMG	1RCVC|2MBVNT|3DUST|4TBNT|59VULN|6aRCR|7RMIN|8DMG
23	16413 32147	   	268.49	DCR|DCR|2VULN|1DMG	1RCVC|2MBVNT|3TBNT|4DUST|59VULN|6aRCR|7TLV|8DMG
24	16413 33147	   	268.49	DCR|DCR|2VULN|1DMG	1RCVC|2MBVNT|3TBNT|4DUST|59VULN|6aRCR|7CGEN|8DMG
25	16413 35147	   	268.49	DCR|DCR|2VULN|1DMG	1RCVC|2MBVNT|3TBNT|4DUST|59VULN|6aRCR|7RMIN|8DMG
26	16133 38147	   	268.39	DCR|DCR|2VULN|1DMG	1RCVC|2MBVNT|3DUST|4TBNT|59VULN|6aRCR|7AME|8DMG
27	16413 38147	   	268.39	DCR|DCR|2VULN|1DMG	1RCVC|2MBVNT|3TBNT|4DUST|59VULN|6aRCR|7AME|8DMG
28	46212 18323	   	267.60	DCR|DCR|2VULN|1AART|1RPLT|1ZMB	1BELT|2AART|36VULN|4MBVNT|5RPLT|7ZMB|8aRCR|9AAC
29	51367 12113	   	266.12	DCR|3VULN|2DMG|1MLV|1ASPD|1CDMG	1ASPD|2CDMG|37aVULN|4MBVNT|58DMG|6RCR|9MLV
30	26143 32152	   	265.50	DCR|4VULN|3DMG	18ERES|268DMG|368aVULN|4AAC|5LEGI|68BPWR|7RCR|9DUR
31	23113 32152	   	265.35	DCR|4VULN|3DMG|1ZMB	18ERES|268aVULN|3ZMB|4LWND|568DMG|68BPWR|7RCR|9DUR
32	23413 32113	 * 	263.25	DCR|3VULN|3DMG|2ASPD	18aERES|268VULN|3aASPD|4aLWND|568DMG|68aBPWR|7RCR|9MBVNT
33	23413 32141	   	263.25	DCR|3VULN|3DMG|2ASPD	18ERES|268VULN|3aASPD|4LWND|568DMG|68BPWR|7RCR|9LIT
34	16433 31288	   	262.08	DCR|DCR|2VULN|1CDMG	1RCVC|2MBVNT|3TBNT|4BEXP|58VULN|6aRCR|7DUST|9CDMG
