0	Index      	 *	Score 	Summary	Detail	
1	16235 32313	 * 	293.14	DCR|DCR|3VULN|1ASPD|1CDMG	129VULN|3ERES|4AME|5CDMG|6ASPD|7BEXP|8aRCR
2	16235 23313	   	293.04	DCR|DCR|3VULN|1CDMG|1ASPD	129VULN|3ERES|4AME|5CDMG|6DUST|7ASPD|8aRCR
3	16321 45236	 * 	285.80	DCR|DCR|3VULN|1DMG	127VULN|3LEGI|4MBVNT|5ERES|6DMG|8aRCR|9TBNT
4	16328 14824	   	285.80	DCR|DCR|3VULN|1DMG	127VULN|3LEGI|4MBVNT|5LHND|6aRCR|8ERES|9DMG
5	16522 43222	   	284.97	DCR|DCR|2VULN|1CDMG|1AART|1RPLT	12VULN|3SPLARM|4DUR|5CDMG|69RCR|7RPLT|8LEGI|aAART
6	16522 43223	   	281.86	DCR|DCR|2VULN|2DUR|1CDMG|1RPLT	12VULN|3SPLARM|4aDUR|5CDMG|69RCR|7RPLT|8LEGI
7	35121 63335	   	281.39	DCR|DCR|2VULN|1DMG|1MLV	12LIT|2BPWR|34VULN|5LWND|69RCR|7DMG|8MDPS|aMLV
8	11122 63255	   	277.61	DCR|DCR|2VULN|1DMG|1ASPD	16VULN|2ASPD|3LWND|4TLV|5AAC|7DMG|8aRCR|9BBNT
9	11136 63235	   	277.51	DCR|DCR|2VULN|1DMG|1ASPD	16VULN|2ASPD|3LWND|4ERES|5AAC|7DMG|8aRCR|9TBNT
10	11161 63235	   	277.51	DCR|DCR|2VULN|1DMG|1ASPD	16VULN|2ASPD|3LWND|4AAC|5ERES|7DMG|8aRCR|9TBNT
11	16522 43221	   	275.31	DCR|DCR|2VULN|1CDMG|1RPLT	12VULN|3SPLARM|4DUR|5CDMG|69RCR|7RPLT|8LEGI|aCGEN
12	61323 24467	 * 	274.56	DCR|DCR|3MLV|1VULN|1RPLT	1AAC|26LHND|356MLV|4MBVNT|6BPWR|7RPLT|89RCR|aVULN
13	12632 51224	   	272.27	DCR|DCR|2VULN|1DMG	18VULN|2TBNT|3DUR|4BBNT|5FEWX|6LIT|79RCR|aDMG
14	11635 26313	   	271.00	DCR|DCR|2VULN|1ASPD|1CDMG	19VULN|2ASPD|3RCVC|4ERES|5CDMG|6DUST|7TLV|8aRCR
15	16235 32333	   	271.00	DCR|DCR|2VULN|1ASPD|1CDMG	12VULN|3ERES|4AME|5CDMG|6ASPD|7BEXP|8aRCR|9DMSP
16	16235 23333	   	270.90	DCR|DCR|2VULN|1ASPD|1CDMG	12VULN|3ERES|4AME|5CDMG|6DUST|7ASPD|8aRCR|9DMSP
17	16324 14444	   	270.79	DCR|DCR|2VULN|1MLV|1RPLT	12VULN|3LEGI|4MBVNT|5LIT|6ERES|7RPLT|89RCR|aMLV
18	12632 51226	   	269.73	DCR|DCR|2VULN|1MLV	18VULN|2TBNT|3DUR|4BBNT|5FEWX|6LIT|79RCR|aMLV
19	51336 34333	 * 	268.54	DCR|3VULN|3ASPD|2MLV|3DUR	169DUR|249ASPD|34MLV|49BPWR|5BEXP|789VULN|aRCR
20	56336 43232	   	268.21	DCR|DCR|2VULN|2DUR|1RPLT	14DUR|26VULN|3RPLT|5MBVNT|7TBNT|8aRCR|9MDPS
