0	Index      	 *	Score 	Summary	Detail	
1	32333 21424	 * 	273.52	DCR|DCR|2VULN|1DMG|1RPLT	1CGEN|2ERES|38VULN|4RPLT|5BELT|6AAC|79RCR|aDMG
2	41663 21233	   	272.17	DCR|DCR|2VULN|1DMG	1DMG|2BELT|3MBVNT|45VULN|6DUR|7TLV|8BBNT|9aRCR
3	41663 23233	   	272.17	DCR|DCR|2VULN|1DMG	1DMG|2BELT|3MBVNT|45VULN|6DUR|7BBNT|8CGEN|9aRCR
4	11241 11553	   	263.66	DCR|DCR|2VULN|1DMG	1RCVC|2RMIN|3MDPS|4aVULN|5MBVNT|6TSLARM|79RCR|8DMG
5	41661 44233	 * 	263.45	DCR|DCR|2DMG|1VULN	17DMG|2BELT|3MBVNT|4VULN|5ERES|6DUR|8BBNT|9aRCR
6	53612 52232	 * 	257.25	DCR|DCR|1VULN|2ASPD|1CDMG	1MDPS|26ASPD|3CDMG|4FEWX|5BASICY|78RCR|9LHND|aVULN
7	53634 22232	   	257.15	DCR|DCR|1VULN|2ASPD|1CDMG	1MDPS|26ASPD|3CDMG|4LHND|5CANTOX|78RCR|9LEGI|aVULN
8	41622 33443	   	254.99	DCR|DCR|1VULN|1DMG|1MLV	1DMG|2BELT|3MBVNT|4MDPS|5CGEN|6ERES|7MLV|8VULN|9aRCR
9	32333 21421	   	253.46	DCR|DCR|2VULN|1RPLT	1CGEN|2ERES|38VULN|4RPLT|5BELT|6AAC|79RCR|aBEXP
10	32333 21422	   	253.46	DCR|DCR|2VULN|1RPLT	1CGEN|2ERES|38VULN|4RPLT|5BELT|6AAC|79RCR|aLHND
11	32333 21425	   	253.46	DCR|DCR|2VULN|1RPLT	1CGEN|2ERES|38VULN|4RPLT|5BELT|6AAC|79RCR|aLIT
12	32333 21426	   	253.46	DCR|DCR|2VULN|1RPLT	1CGEN|2ERES|38VULN|4RPLT|5BELT|6AAC|79RCR|aBBNT
13	32333 21423	   	253.36	DCR|DCR|2VULN|1RPLT|1ZMB	1CGEN|2ERES|38VULN|4RPLT|5BELT|6AAC|79RCR|aZMB
14	43312 63621	 * 	248.52	DCR|3VULN|3DMG|1MLV	17aDMG|2LEGI|3TBNT|457VULN|6RMIN|7BPWR|8RCR|9MLV
15	31161 11554	   	247.22	DCR|DCR|1VULN|1DMG|1RPLT	1CGEN|2FEWX|3LWND|4VULN|5MBVNT|6MSLTOX|79RCR|8DMG|aRPLT
16	32333 21224	   	247.22	DCR|DCR|1VULN|1DMG|1RPLT	1CGEN|28ERES|3VULN|4RPLT|5BELT|6AAC|79RCR|aDMG
17	41662 21233	   	245.96	DCR|DCR|1VULN|1DMG	1DMG|2BELT|3MBVNT|4VULN|5DMSP|6DUR|7TLV|8BBNT|9aRCR
18	41662 23233	   	245.96	DCR|DCR|1VULN|1DMG	1DMG|2BELT|3MBVNT|4VULN|5DMSP|6DUR|7BBNT|8CGEN|9aRCR
19	41626 44233	   	245.76	DCR|DCR|1VULN|1DMG	1DMG|2BELT|3MBVNT|4MDPS|5LEGI|6DUR|7VULN|8CGEN|9aRCR
20	11221 11553	   	245.76	DCR|DCR|1VULN|1DMG	1RCVC|2RMIN|3MDPS|4DUR|5MBVNT|6BLAICY|79RCR|8DMG|aVULN
