0	Index      	 *	Score 	Summary	Detail	
1	23154 33152	 * 	290.70	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1DUR|2ERES|3CDMG|4ASPD|5VENFST|6MLV|7DMG|89RCR|aVULN
2	16532 12152	 * 	289.80	DCR|DCR|2VULN|1DMG|1MLV	1RMIN|2DMG|3TLV|4aVULN|5MLV|6DUR|79RCR|8FEWX
3	11332 12152	   	289.70	DCR|DCR|2VULN|1DMG|1MLV	1RMIN|2AME|3DMG|4aVULN|5MLV|6DUR|79RCR|8FEWX
4	11332 12452	   	289.70	DCR|DCR|2VULN|1DMG|1MLV	1RMIN|2AME|3DMG|4aVULN|5MLV|6DUR|79RCR|8LHND
5	11346 12352	   	289.70	DCR|DCR|2VULN|1DMG|1MLV	1RMIN|2AME|3DMG|4MLV|5LWND|6DUR|79RCR|8aVULN
6	16132 12152	   	289.70	DCR|DCR|2VULN|1DMG|1MLV	1RMIN|2DMG|3AME|4aVULN|5MLV|6DUR|79RCR|8FEWX
7	16132 12452	   	289.70	DCR|DCR|2VULN|1DMG|1MLV	1RMIN|2DMG|3AME|4aVULN|5MLV|6DUR|79RCR|8LHND
8	66332 12152	   	289.70	DCR|DCR|2VULN|1DMG|1MLV	1TLV|2AME|3DMG|4aVULN|5MLV|6DUR|79RCR|8BEXP
9	11332 12652	   	289.60	DCR|DCR|2VULN|1DMG|1MLV	1RMIN|2AME|3DMG|4aVULN|5MLV|6DUR|79RCR|8DUST
10	11345 12352	   	289.60	DCR|DCR|2VULN|1DMG|1MLV	1RMIN|2AME|3DMG|4MLV|5DUST|6DUR|79RCR|8aVULN
11	16132 12652	   	289.60	DCR|DCR|2VULN|1DMG|1MLV	1RMIN|2DMG|3AME|4aVULN|5MLV|6DUR|79RCR|8DUST
12	42245 24643	   	284.64	DCR|DCR|2VULN|1MLV|1CDMG|1AART	14VULN|2LIT|3MBVNT|5LWND|69RCR|7AART|8CDMG|aMLV
13	16532 22152	   	281.49	DCR|DCR|2VULN|1DMG|1MLV	1RMIN|2DMG|3TLV|4aVULN|5MLV|6LWND|79RCR|8FEWX
14	11332 22152	   	281.39	DCR|DCR|2VULN|1DMG|1MLV	1RMIN|2AME|3DMG|4aVULN|5MLV|6LWND|79RCR|8FEWX
15	11332 22452	   	281.39	DCR|DCR|2VULN|1DMG|1MLV	1RMIN|2AME|3DMG|4aVULN|5MLV|6LWND|79RCR|8LHND
16	16132 22152	   	281.39	DCR|DCR|2VULN|1DMG|1MLV	1RMIN|2DMG|3AME|4aVULN|5MLV|6LWND|79RCR|8FEWX
17	16132 22452	   	281.39	DCR|DCR|2VULN|1DMG|1MLV	1RMIN|2DMG|3AME|4aVULN|5MLV|6LWND|79RCR|8LHND
18	66332 22152	   	281.39	DCR|DCR|2VULN|1DMG|1MLV	1TLV|2AME|3DMG|4aVULN|5MLV|6LWND|79RCR|8BEXP
19	11332 22652	   	281.29	DCR|DCR|2VULN|1DMG|1MLV	1RMIN|2AME|3DMG|4aVULN|5MLV|6LWND|79RCR|8DUST
20	11345 22352	   	281.29	DCR|DCR|2VULN|1DMG|1MLV	1RMIN|2AME|3DMG|4MLV|5DUST|6LWND|79RCR|8aVULN
21	16132 22652	   	281.29	DCR|DCR|2VULN|1DMG|1MLV	1RMIN|2DMG|3AME|4aVULN|5MLV|6LWND|79RCR|8DUST
22	16632 12153	 * 	281.08	DCR|DCR|2DMG|1VULN|1MLV	1RMIN|2aDMG|3ERES|4VULN|5MLV|6DUR|79RCR|8FEWX
23	23234 35152	   	277.04	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1DUR|2ERES|3DMG|4CDMG|5VENFST|6MLV|7AAC|89RCR|aVULN
24	23334 33152	   	277.04	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1DUR|2ERES|3AAC|4CDMG|5VENFST|6MLV|7DMG|89RCR|aVULN
25	23334 33154	 * 	275.60	DCR|DCR|2DMG|2CDMG|1MLV|2DUR	1aDUR|2ERES|3AAC|4aCDMG|5VENFST|6MLV|7aDMG|89RCR|aBPWR
26	46122 22252	   	274.73	DCR|DCR|2VULN|1MLV|1CDMG|1SELL	1aVULN|2CDMG|36LWND|4SELL|5MLV|79RCR|8MDPS
27	23154 23152	   	273.16	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1DUR|2ERES|3CDMG|4ASPD|5VENFST|6RMIN|7DMG|89RCR|aVULN
28	13132 12152	   	269.63	DCR|DCR|2VULN|1MLV	1RMIN|2NUKE|3CGEN|4aVULN|5MLV|6DUR|79RCR|8FEWX
29	13132 12452	   	269.63	DCR|DCR|2VULN|1MLV	1RMIN|2NUKE|3CGEN|4aVULN|5MLV|6DUR|79RCR|8LHND
30	65132 12152	   	269.63	DCR|DCR|2VULN|1MLV	1TLV|2AAC|3AME|4aVULN|5MLV|6DUR|79RCR|8BEXP
31	13132 12652	   	269.53	DCR|DCR|2VULN|1MLV	1RMIN|2NUKE|3CGEN|4aVULN|5MLV|6DUR|79RCR|8DUST
32	11432 43153	   	268.64	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1RMIN|2AME|3VULN|4MSLTOX|5NUKE|6CDMG|7DMG|89RCR|aMLV
33	43632 33151	   	268.49	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1SELL	1VULN|2ERES|3ASPD|4MSLTOX|5SELL|6MLV|7DMG|89RCR|aDMSP
34	43632 33152	   	268.49	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1SELL	1VULN|2ERES|3ASPD|4MSLTOX|5SELL|6MLV|7DMG|89RCR|aTLV
35	43632 33153	   	268.49	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1SELL	1VULN|2ERES|3ASPD|4MSLTOX|5SELL|6MLV|7DMG|89RCR|aAAC
36	42245 24641	   	267.11	DCR|DCR|2VULN|1CDMG|1AART	14VULN|2aLIT|3MBVNT|5LWND|69RCR|7AART|8CDMG
37	42245 24644	   	267.11	DCR|DCR|2VULN|1CDMG|1AART	14VULN|2LIT|3MBVNT|5LWND|69RCR|7AART|8CDMG|aTLV
38	42245 24642	   	267.01	DCR|DCR|2VULN|1CDMG|1AART	14VULN|2LIT|3MBVNT|5LWND|69RCR|7AART|8CDMG|aFRZFST
39	16253 22632	 * 	266.11	DCR|3VULN|2DMG|2MLV|2AART	1RMIN|2aDMG|34AART|58aVULN|6TBNT|7RCR|9aMLV|aBPWR
40	61121 52226	 * 	265.94	DCR|DCR|3VULN	1TLV|2BBNT|3LEGI|459VULN|6aRCR|7AAC|8FEWX
41	16532 12151	   	263.49	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2DMG|3TLV|4VULN|5MLV|6DUR|79RCR|8FEWX|aERES
42	16532 12153	   	263.49	DCR|DCR|1VULN|1DMG|1MLV|1MSE	1RMIN|2DMG|3TLV|4VULN|5MLV|6DUR|79RCR|8FEWX|aMSE
43	11332 12155	   	263.49	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2AME|3DMG|4VULN|5MLV|6DUR|79RCR|8aFEWX
44	11332 12156	   	263.49	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2AME|3DMG|4VULN|5MLV|6DUR|79RCR|8FEWX|aBBNT
45	11332 12455	   	263.49	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2AME|3DMG|4VULN|5MLV|6DUR|79RCR|8LHND|aFEWX
46	11346 12152	   	263.49	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2AME|3DMG|4MLV|5LWND|6DUR|79RCR|8FEWX|aVULN
47	16132 12155	   	263.49	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2DMG|3AME|4VULN|5MLV|6DUR|79RCR|8aFEWX
48	16132 12156	   	263.49	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2DMG|3AME|4VULN|5MLV|6DUR|79RCR|8FEWX|aBBNT
49	16632 12152	   	263.49	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2DMG|3ERES|4VULN|5MLV|6DUR|79RCR|8FEWX|aLHND
50	11332 12655	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2AME|3DMG|4VULN|5MLV|6DUR|79RCR|8DUST|aFEWX
51	11345 12152	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2AME|3DMG|4MLV|5DUST|6DUR|79RCR|8FEWX|aVULN
52	11332 12151	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2AME|3DMG|4VULN|5MLV|6DUR|79RCR|8FEWX|aERES
53	11332 12153	   	263.39	DCR|DCR|1VULN|1DMG|1MLV|1MSE	1RMIN|2AME|3DMG|4VULN|5MLV|6DUR|79RCR|8FEWX|aMSE
54	11332 12154	   	263.39	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1RMIN|2AME|3DMG|4VULN|5MLV|6DUR|79RCR|8FEWX|aZMB
55	11332 12451	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2AME|3DMG|4VULN|5MLV|6DUR|79RCR|8LHND|aERES
56	11332 12453	   	263.39	DCR|DCR|1VULN|1DMG|1MLV|1MSE	1RMIN|2AME|3DMG|4VULN|5MLV|6DUR|79RCR|8LHND|aMSE
57	11332 12454	   	263.39	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1RMIN|2AME|3DMG|4VULN|5MLV|6DUR|79RCR|8LHND|aZMB
58	11346 12351	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2AME|3DMG|4MLV|5LWND|6DUR|79RCR|8VULN|aERES
59	11346 12353	   	263.39	DCR|DCR|1VULN|1DMG|1MLV|1MSE	1RMIN|2AME|3DMG|4MLV|5LWND|6DUR|79RCR|8VULN|aMSE
60	16132 12151	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2DMG|3AME|4VULN|5MLV|6DUR|79RCR|8FEWX|aERES
61	16132 12153	   	263.39	DCR|DCR|1VULN|1DMG|1MLV|1MSE	1RMIN|2DMG|3AME|4VULN|5MLV|6DUR|79RCR|8FEWX|aMSE
62	16132 12154	   	263.39	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1RMIN|2DMG|3AME|4VULN|5MLV|6DUR|79RCR|8FEWX|aZMB
63	16132 12451	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2DMG|3AME|4VULN|5MLV|6DUR|79RCR|8LHND|aERES
64	16132 12453	   	263.39	DCR|DCR|1VULN|1DMG|1MLV|1MSE	1RMIN|2DMG|3AME|4VULN|5MLV|6DUR|79RCR|8LHND|aMSE
65	16632 12151	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2DMG|3aERES|4VULN|5MLV|6DUR|79RCR|8FEWX
66	66332 12151	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1TLV|2AME|3DMG|4VULN|5MLV|6DUR|79RCR|8BEXP|aERES
67	66332 12153	   	263.39	DCR|DCR|1VULN|1DMG|1MLV|1MSE	1TLV|2AME|3DMG|4VULN|5MLV|6DUR|79RCR|8BEXP|aMSE
68	11332 12651	   	263.29	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2AME|3DMG|4VULN|5MLV|6DUR|79RCR|8DUST|aERES
69	11332 12653	   	263.29	DCR|DCR|1VULN|1DMG|1MLV|1MSE	1RMIN|2AME|3DMG|4VULN|5MLV|6DUR|79RCR|8DUST|aMSE
70	11332 12654	   	263.29	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1RMIN|2AME|3DMG|4VULN|5MLV|6DUR|79RCR|8DUST|aZMB
71	11345 12351	   	263.29	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2AME|3DMG|4MLV|5DUST|6DUR|79RCR|8VULN|aERES
72	11345 12353	   	263.29	DCR|DCR|1VULN|1DMG|1MLV|1MSE	1RMIN|2AME|3DMG|4MLV|5DUST|6DUR|79RCR|8VULN|aMSE
73	16132 12651	   	263.29	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2DMG|3AME|4VULN|5MLV|6DUR|79RCR|8DUST|aERES
74	16132 12653	   	263.29	DCR|DCR|1VULN|1DMG|1MLV|1MSE	1RMIN|2DMG|3AME|4VULN|5MLV|6DUR|79RCR|8DUST|aMSE
75	13132 22152	   	261.33	DCR|DCR|2VULN|1MLV	1RMIN|2NUKE|3CGEN|4aVULN|5MLV|6LWND|79RCR|8FEWX
76	13132 22452	   	261.33	DCR|DCR|2VULN|1MLV	1RMIN|2NUKE|3CGEN|4aVULN|5MLV|6LWND|79RCR|8LHND
