0	Index      	 *	Score 	Summary	Detail	
1	21122 43244	 * 	278.72	DCR|DCR|2VULN|1DMG|2DUR	1DMG|2DUST|38VULN|4BEXP|5aDUR|6LWND|79RCR
2	21126 43243	   	277.51	DCR|DCR|2VULN|1DMG|1CDMG	1DMG|2DUST|38VULN|4BEXP|5LHND|6LWND|79RCR|aCDMG
3	16512 13241	   	272.17	DCR|DCR|2VULN|1DMG	1LWND|2MDPS|3DMG|4DUR|58VULN|69RCR|7DMSP|aTBNT
4	16512 13242	   	272.17	DCR|DCR|2VULN|1DMG	1LWND|2MDPS|3DMG|4DUR|58VULN|69RCR|7DMSP|aLHND
5	16512 13243	   	272.17	DCR|DCR|2VULN|1DMG	1LWND|2MDPS|3DMG|4DUR|58VULN|69RCR|7DMSP|aLIT
6	21122 43241	   	272.17	DCR|DCR|2VULN|1DMG	1DMG|2DUST|38VULN|4BEXP|5DUR|6LWND|79RCR|aTBNT
7	21122 43242	   	272.17	DCR|DCR|2VULN|1DMG	1DMG|2DUST|38VULN|4BEXP|5DUR|6LWND|79RCR|aLHND
8	21122 43243	   	272.17	DCR|DCR|2VULN|1DMG	1DMG|2DUST|38VULN|4BEXP|5DUR|6LWND|79RCR|aLIT
9	21122 43246	   	272.17	DCR|DCR|2VULN|1DMG	1DMG|2DUST|38VULN|4BEXP|5DUR|6LWND|79RCR|aCGEN
10	21142 43241	   	272.17	DCR|DCR|2VULN|1DMG	1DMG|2DUST|38VULN|4FEWX|5DUR|6LWND|79RCR|aTBNT
11	21142 43242	   	272.17	DCR|DCR|2VULN|1DMG	1DMG|2DUST|38VULN|4FEWX|5DUR|6LWND|79RCR|aLHND
12	21142 43243	   	272.17	DCR|DCR|2VULN|1DMG	1DMG|2DUST|38VULN|4FEWX|5DUR|6LWND|79RCR|aLIT
13	45133 33352	   	272.17	DCR|DCR|2VULN|1DMG	1FRZICY|2DUR|3FEWX|4DMG|5MDPS|69VULN|7BBNT|8aRCR
14	21122 43245	   	272.07	DCR|DCR|2VULN|1DMG	1DMG|2DUST|38VULN|4BEXP|5DUR|6LWND|79RCR|aMDPS
15	21126 43241	   	263.86	DCR|DCR|2VULN|1DMG	1DMG|2DUST|38VULN|4BEXP|5LHND|6LWND|79RCR|aTBNT
16	21126 43242	   	263.86	DCR|DCR|2VULN|1DMG	1DMG|2DUST|38VULN|4BEXP|5aLHND|6LWND|79RCR
17	46133 33352	   	263.86	DCR|DCR|2VULN|1DMG	1FRZICY|2LWND|3FEWX|4DMG|5MDPS|69VULN|7BBNT|8aRCR
18	21124 41242	   	263.76	DCR|DCR|2VULN|1DMG	1DMG|2DUST|3aVULN|4BEXP|5CGEN|69RCR|7AME|8FEWX
19	21513 33352	   	263.66	DCR|DCR|2VULN|1DMG	1DMG|2DUST|3FEWX|4VENTOX|5MDPS|69VULN|7BBNT|8aRCR
20	21513 36352	   	263.66	DCR|DCR|2VULN|1DMG	1DMG|2DUST|3FEWX|4VENTOX|5MDPS|69VULN|7TBNT|8aRCR
21	23352 13454	   	260.87	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1DMG|2AART|3RCVC|4VULN|5ASPD|6LWND|7MDPS|8MBVNT|9aRCR
22	11361 31132	   	259.61	DCR|DCR|1VULN|1DMG|1ASPD	1LWND|2LEGI|3DMG|4VULN|5BBNT|6aRCR|7DUR|8ASPD|9TBNT
23	43322 34352	   	257.45	DCR|DCR|2VULN|1ASPD	1FRZICY|2TBNT|3LWND|49VULN|5ASPD|6MDPS|7FEWX|8aRCR
