0	Index      	 *	Score 	Summary	Detail	
1	15432 23322	 * 	278.56	DCR|DCR|2DMG|1VULN|1CDMG|1RPLT	12DMG|3VULN|4LSRREG|5RCVC|6RPLT|7CDMG|8aRCR|9BBNT
2	14631 22632	 * 	277.41	DCR|DCR|2VULN|1DMG|1CDMG	1DMG|2MGNSTR|3BEXP|4aVULN|5CGEN|6MBVNT|7CDMG|89RCR
3	63631 22632	   	277.41	DCR|DCR|2VULN|1DMG|1CDMG	1CANTOX|2DMG|3BEXP|4aVULN|5CGEN|6MBVNT|7CDMG|89RCR
4	25162 53321	 * 	272.25	DCR|4VULN|3ASPD|2DMG	148ASPD|28DMG|3RCVC|5678VULN|8BPWR|9CGEN|aRCR
5	14631 22631	   	268.79	DCR|DCR|2DMG|1VULN|1CDMG	1aDMG|2MGNSTR|3BEXP|4VULN|5CGEN|6MBVNT|7CDMG|89RCR
6	63631 22631	   	268.79	DCR|DCR|2DMG|1VULN|1CDMG	1CANTOX|2aDMG|3BEXP|4VULN|5CGEN|6MBVNT|7CDMG|89RCR
7	14631 22633	   	264.86	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1DMG|2MGNSTR|3BEXP|4VULN|5CGEN|6MBVNT|7CDMG|89RCR|aASPD
8	24631 22631	   	264.86	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2MGNSTR|3BEXP|4VULN|5CGEN|6MBVNT|7CDMG|89RCR|aDMG
9	63631 22633	   	264.86	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CANTOX|2DMG|3BEXP|4VULN|5CGEN|6MBVNT|7CDMG|89RCR|aASPD
10	15432 22322	   	264.66	DCR|DCR|2DMG|1VULN|1RPLT|1SELL	12DMG|3VULN|4LSRREG|5RCVC|6RPLT|7SELL|8aRCR|9BBNT
11	14631 23632	   	263.52	DCR|DCR|2VULN|1DMG|1SELL	1DMG|2MGNSTR|3BEXP|4aVULN|5CGEN|6MBVNT|7SELL|89RCR
12	63631 23632	   	263.52	DCR|DCR|2VULN|1DMG|1SELL	1CANTOX|2DMG|3BEXP|4aVULN|5CGEN|6MBVNT|7SELL|89RCR
13	15211 34324	 * 	262.22	DCR|DCR|3DMG|1CDMG|1AART	124DMG|34LHND|4BPWR|5AART|6AME|79RCR|8LWND|aCDMG
14	14631 22634	   	260.87	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1DMG|2MGNSTR|3BEXP|4VULN|5CGEN|6MBVNT|7CDMG|89RCR|aAART
15	63631 22634	   	260.87	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1CANTOX|2DMG|3BEXP|4VULN|5CGEN|6MBVNT|7CDMG|89RCR|aAART
16	14631 23631	   	254.90	DCR|DCR|2DMG|1VULN|1SELL	1aDMG|2MGNSTR|3BEXP|4VULN|5CGEN|6MBVNT|7SELL|89RCR
17	63631 23631	   	254.90	DCR|DCR|2DMG|1VULN|1SELL	1CANTOX|2aDMG|3BEXP|4VULN|5CGEN|6MBVNT|7SELL|89RCR
18	25162 24211	   	251.20	DCR|3VULN|2DMG|2ASPD|1AART	14ASPD|26DMG|3RCVC|568VULN|6BPWR|7CGEN|9AART|aRCR
19	14631 23633	   	250.96	DCR|DCR|1VULN|1DMG|1ASPD|1SELL	1DMG|2MGNSTR|3BEXP|4VULN|5CGEN|6MBVNT|7SELL|89RCR|aASPD
20	24631 23631	   	250.96	DCR|DCR|1VULN|1DMG|1ASPD|1SELL	1ASPD|2MGNSTR|3BEXP|4VULN|5CGEN|6MBVNT|7SELL|89RCR|aDMG
21	63631 23633	   	250.96	DCR|DCR|1VULN|1DMG|1ASPD|1SELL	1CANTOX|2DMG|3BEXP|4VULN|5CGEN|6MBVNT|7SELL|89RCR|aASPD
22	15115 24332	 * 	249.06	DCR|3VULN|3DMG|1RPLT	124DMG|34BEXP|4BPWR|56aVULN|7RCR|8DUR|9RPLT
23	15211 34321	   	248.57	DCR|DCR|3DMG|1AART	124DMG|34LHND|4BPWR|5AART|6AME|79RCR|8LWND|aCGEN
24	15211 34322	   	248.57	DCR|DCR|3DMG|1AART	124DMG|34LHND|4BPWR|5AART|6AME|79RCR|8LWND|aTLV
25	15211 34323	   	248.57	DCR|DCR|3DMG|1AART	124DMG|34LHND|4BPWR|5AART|6AME|79RCR|8LWND|aBEXP
26	15211 34325	   	248.57	DCR|DCR|3DMG|1AART	124DMG|34LHND|4BPWR|5AART|6AME|79RCR|8LWND|aRCVC
27	15213 64321	   	248.57	DCR|DCR|3DMG|1AART	124DMG|34LHND|4BPWR|5AME|6AART|79RCR|8LWND|aCGEN
28	15213 64322	   	248.57	DCR|DCR|3DMG|1AART	124DMG|34LHND|4BPWR|5AME|6AART|79RCR|8LWND|aTLV
29	15213 64323	   	248.57	DCR|DCR|3DMG|1AART	124DMG|34LHND|4BPWR|5AME|6AART|79RCR|8LWND|aBEXP
