0	Index      	 *	Score 	Summary	Detail	
1	32233 31551	 * 	264.09	DCR|2VULN|3DMG|3ASPD|1MLV|1SELL	1SELL|279DMG|39VULN|479ASPD|578LWND|6RCR|79BPWR|aMLV
2	51343 33213	 * 	258.54	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1LIT|23CGEN|4RPLT|5BBNT|6CDMG|7VULN|8aRCR|9MLV
3	55343 33213	   	258.44	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	12LIT|3AME|4RPLT|5BBNT|6CDMG|7VULN|8aRCR|9MLV
4	34217 46322	 * 	257.89	DCR|3VULN|2DMG|2MLV|1AART|1SELL	1SELL|29MLV|369VULN|4MBVNT|5AART|79DMG|8MDPS|9BPWR|aRCR
5	23222 24415	 * 	254.48	ACR|DCR|2VULN|1MLV|1CDMG	1LHND|2aRCR|36VULN|4LWND|5CDMG|7TBNT|8MLV|9DUR
6	15215 12136	 * 	253.21	DCR|DCR|2VULN|1AART|1ZMB	1CGEN|2AART|3MDPS|4ZMB|5FRZARM|67VULN|8aRCR|9BBNT
7	15211 12136	 * 	253.11	DCR|DCR|2VULN|1AART|1ZMB	1CGEN|2AART|3MDPS|4ZMB|5FLTFST|67VULN|8aRCR|9BBNT
8	65211 12136	 * 	253.11	DCR|DCR|2VULN|1AART|1ZMB	1TLV|2AART|3MDPS|4ZMB|5FLTFST|67VULN|8aRCR|9BBNT
9	56334 12524	 * 	250.16	DCR|DCR|2MLV|1ASPD|1RPLT	1LIT|2SPLREG|3MBVNT|4DUR|56MLV|7ASPD|8RPLT|9aRCR
10	32152 15513	 * 	250.01	DCR|4VULN|3DMG|1SELL	1SELL|267DMG|3AAC|4RMIN|5689VULN|6BPWR|aRCR
11	15323 15136	   	249.21	DCR|DCR|1VULN|1ASPD|1AART	1CGEN|2AART|3ASPD|4AIRARM|5VULN|6DUR|7BEXP|8aRCR|9BBNT
