0	Index      	 *	Score 	Summary	Detail	
1	23255 61111	 * 	261.07	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1LWND|2BBNT|3DMG|4LIT|5VULN|6CDMG|7RPLT|8TLV|9aRCR
2	16168 32111	 * 	254.94	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1LHND|2ZMB|3TBNT|4MBVNT|5MLV|6VULN|7DMG|8LIT|9aRCR
3	51168 34442	 * 	252.99	DCR|DCR|1VULN|1MLV|1RPLT	1DUR|2CGEN|3TBNT|4MBVNT|5BASHEA|68RCR|7RPLT|9VULN|aMLV
4	53268 34442	   	252.99	DCR|DCR|1VULN|1MLV|1RPLT	1DUR|2BBNT|3CGEN|4MBVNT|5BASHEA|68RCR|7RPLT|9VULN|aMLV
5	53512 34442	   	252.99	DCR|DCR|1VULN|1MLV|1RPLT	1DUR|2BBNT|3MGNSTR|4MBVNT|5CGEN|68RCR|7RPLT|9VULN|aMLV
6	41724 21217	 * 	252.10	DCR|DCR|2VULN	14CGEN|2MBVNT|3DUR|5RMIN|6aRCR|79VULN|8BEXP
7	41724 21317	   	252.10	DCR|DCR|2VULN	14CGEN|2MBVNT|3DUR|5RMIN|6aRCR|79VULN|8LHND
8	13511 22582	   	251.76	DCR|DCR|2VULN|1ZMB	1LHND|2BBNT|3MGNSTR|4MBVNT|5ZMB|6aRCR|78VULN|9DUR
9	23511 22582	   	251.76	DCR|DCR|2VULN|1ZMB	1LWND|2BBNT|3MGNSTR|4MBVNT|5ZMB|6aRCR|78VULN|9DUR
10	53511 22512	   	251.66	DCR|DCR|2VULN|1ZMB	1DUR|2BBNT|3MGNSTR|4MBVNT|5ZMB|6aRCR|78VULN|9LEGI
11	23254 31111	   	247.17	DCR|DCR|1VULN|1DMG|1RPLT|1SELL	1LWND|2BBNT|3DMG|4LIT|5SELL|6VULN|7RPLT|8TLV|9aRCR
12	41724 27324	   	245.96	DCR|DCR|1VULN|1DMG	14CGEN|2MBVNT|3DUR|59RMIN|67RCR|8VULN|aDMG
13	41724 27344	   	245.96	DCR|DCR|1VULN|1DMG	14CGEN|2MBVNT|3DUR|5RMIN|67RCR|8VULN|9RCVC|aDMG
14	13511 22542	   	243.45	DCR|DCR|2VULN|1ZMB	1LHND|2BBNT|3MGNSTR|4MBVNT|5ZMB|6aRCR|78VULN|9FEWX
15	13511 22552	   	243.45	DCR|DCR|2VULN|1ZMB	1LHND|2BBNT|3MGNSTR|4MBVNT|5ZMB|6aRCR|78VULN|9BEXP
16	23511 22542	   	243.45	DCR|DCR|2VULN|1ZMB	1LWND|2BBNT|3MGNSTR|4MBVNT|5ZMB|6aRCR|78VULN|9FEWX
17	23511 22552	   	243.45	DCR|DCR|2VULN|1ZMB	1LWND|2BBNT|3MGNSTR|4MBVNT|5ZMB|6aRCR|78VULN|9BEXP
18	41724 27332	   	242.11	DCR|DCR|1VULN|2DUR|1RPLT	14CGEN|2MBVNT|3aDUR|5RMIN|67RCR|8VULN|9RPLT
19	53368 24442	   	241.91	DCR|DCR|1VULN|2DUR|1RPLT	1aDUR|2BBNT|3AME|4MBVNT|5BASHEA|68RCR|7RPLT|9VULN
20	41624 27333	   	240.90	DCR|DCR|1VULN|1ASPD|1RPLT	14CGEN|2MBVNT|3BEXP|5RMIN|67RCR|8VULN|9RPLT|aASPD
21	53512 34445	   	240.65	DCR|DCR|1VULN|2RPLT	1DUR|2BBNT|3MGNSTR|4MBVNT|5CGEN|68RCR|7aRPLT|9VULN
22	16412 32421	 * 	240.51	DCR|3VULN|2MLV|1DMG|1RPLT|1ZMB	1aLHND|2ZMB|35aVULN|4LWND|6RPLT|7DMG|8RCR|9aMLV|aBPWR
23	41624 27343	   	239.55	DCR|DCR|1VULN|1CDMG	14CGEN|2MBVNT|3BEXP|5RMIN|67RCR|8VULN|9DUR|aCDMG
24	41724 27313	   	239.55	DCR|DCR|1VULN|1CDMG	14CGEN|2MBVNT|3DUR|5RMIN|67RCR|8VULN|9LWND|aCDMG
25	41724 27223	   	239.45	DCR|DCR|1VULN|1CDMG	14CGEN|2MBVNT|3DUR|5RMIN|67RCR|8LEGI|9VULN|aCDMG
26	41624 27324	   	237.66	DCR|DCR|1VULN|1DMG	14CGEN|2MBVNT|3BEXP|59RMIN|67RCR|8VULN|aDMG
27	41312 48711	   	237.66	DCR|DCR|1VULN|1DMG	1CGEN|2MBVNT|3LIT|4AAC|5VULN|6BBNT|7FEWX|8DMG|9aRCR
28	16163 32111	   	237.31	DCR|DCR|1VULN|1DMG|1ZMB	1LHND|2ZMB|3TBNT|4MBVNT|5ERES|6VULN|7DMG|8LIT|9aRCR
29	21633 26611	   	237.28	DCR|DCR|1DMG|1CDMG|1RPLT	1LWND|2CGEN|3DUR|4BBNT|5CDMG|6LIT|7DMG|8RPLT|9aRCR
30	51133 26611	   	237.28	DCR|DCR|1DMG|1CDMG|1RPLT	1DUR|2CGEN|3TBNT|4LWND|5CDMG|6LIT|7DMG|8RPLT|9aRCR
31	53233 26611	   	237.28	DCR|DCR|1DMG|1CDMG|1RPLT	1DUR|2BBNT|3CGEN|4LWND|5CDMG|6LIT|7DMG|8RPLT|9aRCR
32	53333 26611	   	237.18	DCR|DCR|1DMG|1CDMG|1RPLT	1DUR|2BBNT|3AME|4LWND|5CDMG|6LIT|7DMG|8RPLT|9aRCR
33	41624 27332	   	235.56	DCR|DCR|1VULN|1RPLT	14CGEN|2MBVNT|3BEXP|5RMIN|67RCR|8VULN|9RPLT|aDUR
34	41724 27322	   	235.56	DCR|DCR|1VULN|1RPLT	14CGEN|2MBVNT|3DUR|59RMIN|67RCR|8VULN|aRPLT
35	41724 27331	   	235.56	DCR|DCR|1VULN|1RPLT	14aCGEN|2MBVNT|3DUR|5RMIN|67RCR|8VULN|9RPLT
36	41724 27333	   	235.56	DCR|DCR|1VULN|1RPLT	14CGEN|2MBVNT|3DUR|5RMIN|67RCR|8VULN|9RPLT|aLWND
37	41724 27334	   	235.56	DCR|DCR|1VULN|1RPLT	14CGEN|2MBVNT|3DUR|5RMIN|67RCR|8VULN|9RPLT|aLHND
38	41724 27342	   	235.56	DCR|DCR|1VULN|1RPLT	14CGEN|2MBVNT|3DUR|5RMIN|67RCR|8VULN|9RCVC|aRPLT
39	51168 34421	   	235.46	DCR|DCR|1VULN|1RPLT	1DUR|2CGEN|3TBNT|4MBVNT|5BASHEA|68RCR|7RPLT|9BBNT|aVULN
40	51168 34433	   	235.46	DCR|DCR|1VULN|1RPLT	1DUR|2CGEN|3TBNT|4MBVNT|5BASHEA|68RCR|7RPLT|9TLV|aVULN
41	51168 34443	   	235.46	DCR|DCR|1VULN|1RPLT	1DUR|2aCGEN|3TBNT|4MBVNT|5BASHEA|68RCR|7RPLT|9VULN
42	51168 34444	   	235.46	DCR|DCR|1VULN|1RPLT	1DUR|2CGEN|3TBNT|4MBVNT|5BASHEA|68RCR|7RPLT|9VULN|aLWND
43	53268 34421	   	235.46	DCR|DCR|1VULN|1RPLT	1DUR|2BBNT|3CGEN|4MBVNT|5BASHEA|68RCR|7RPLT|9TBNT|aVULN
44	53268 34433	   	235.46	DCR|DCR|1VULN|1RPLT	1DUR|2BBNT|3CGEN|4MBVNT|5BASHEA|68RCR|7RPLT|9TLV|aVULN
45	53268 34443	   	235.46	DCR|DCR|1VULN|1RPLT	1DUR|2BBNT|3aCGEN|4MBVNT|5BASHEA|68RCR|7RPLT|9VULN
46	53268 34444	   	235.46	DCR|DCR|1VULN|1RPLT	1DUR|2BBNT|3CGEN|4MBVNT|5BASHEA|68RCR|7RPLT|9VULN|aLWND
47	53512 34421	   	235.46	DCR|DCR|1VULN|1RPLT	1DUR|2BBNT|3MGNSTR|4MBVNT|5CGEN|68RCR|7RPLT|9TBNT|aVULN
48	53512 34433	   	235.46	DCR|DCR|1VULN|1RPLT	1DUR|2BBNT|3MGNSTR|4MBVNT|5CGEN|68RCR|7RPLT|9TLV|aVULN
49	53512 34443	   	235.46	DCR|DCR|1VULN|1RPLT	1DUR|2BBNT|3MGNSTR|4MBVNT|5aCGEN|68RCR|7RPLT|9VULN
50	53512 34444	   	235.46	DCR|DCR|1VULN|1RPLT	1DUR|2BBNT|3MGNSTR|4MBVNT|5CGEN|68RCR|7RPLT|9VULN|aLWND
51	53512 34453	   	235.46	DCR|DCR|1VULN|1RPLT	1DUR|2BBNT|3MGNSTR|4MBVNT|5CGEN|68RCR|7RPLT|9AAC|aVULN
52	53516 24421	   	235.46	DCR|DCR|1VULN|1RPLT	1DUR|2BBNT|3MGNSTR|4MBVNT|5TLV|68RCR|7RPLT|9TBNT|aVULN
53	51168 34441	   	235.36	DCR|DCR|1VULN|1RPLT	1DUR|2CGEN|3TBNT|4MBVNT|5BASHEA|68RCR|7RPLT|9VULN|aAME
54	53268 34441	   	235.36	DCR|DCR|1VULN|1RPLT	1DUR|2BBNT|3CGEN|4MBVNT|5BASHEA|68RCR|7RPLT|9VULN|aAME
55	53368 24421	   	235.36	DCR|DCR|1VULN|1RPLT	1DUR|2BBNT|3AME|4MBVNT|5BASHEA|68RCR|7RPLT|9TBNT|aVULN
56	53368 24433	   	235.36	DCR|DCR|1VULN|1RPLT	1DUR|2BBNT|3AME|4MBVNT|5BASHEA|68RCR|7RPLT|9TLV|aVULN
57	53368 24444	   	235.36	DCR|DCR|1VULN|1RPLT	1DUR|2BBNT|3AME|4MBVNT|5BASHEA|68RCR|7RPLT|9VULN|aTBNT
58	53512 34441	   	235.36	DCR|DCR|1VULN|1RPLT	1DUR|2BBNT|3MGNSTR|4MBVNT|5CGEN|68RCR|7RPLT|9VULN|aAME
59	53512 34448	   	235.36	DCR|DCR|1VULN|1RPLT	1DUR|2BBNT|3MGNSTR|4MBVNT|5CGEN|68RCR|7RPLT|9VULN|aMDPS
60	53368 24441	   	235.26	DCR|DCR|1VULN|1RPLT	1DUR|2BBNT|3aAME|4MBVNT|5BASHEA|68RCR|7RPLT|9VULN
61	53368 24443	   	235.26	DCR|DCR|1VULN|1RPLT|1ZMB	1DUR|2BBNT|3AME|4MBVNT|5BASHEA|68RCR|7RPLT|9VULN|aZMB
62	41122 85142	   	235.12	DCR|DCR|1VULN|1MLV	1CGEN|2MBVNT|3TBNT|4FLTHEA|5VULN|6aRCR|7BEXP|8AAC|9MLV
63	41744 54333	 * 	234.88	DCR|4VULN|2CDMG|1AART	1aCGEN|2MBVNT|3DUR|4aCDMG|589aVULN|6AART|7RCR|aBPWR
64	13511 28532	   	234.78	DCR|DCR|1VULN|1MLV|1ZMB	1LHND|2BBNT|3MGNSTR|4MBVNT|5ZMB|6aRCR|7MLV|8VULN|9CGEN
65	23511 28532	   	234.78	DCR|DCR|1VULN|1MLV|1ZMB	1LWND|2BBNT|3MGNSTR|4MBVNT|5ZMB|6aRCR|7MLV|8VULN|9CGEN
66	42125 33134	 * 	234.60	DCR|4VULN|2DMG	14CGEN|2469VULN|3TBNT|4BPWR|58DMG|7RMIN|aRCR
67	42135 33134	   	234.50	DCR|4VULN|2DMG	1CGEN|2469VULN|3TBNT|58DMG|7RMIN|aRCR
68	11412 41523	 * 	234.44	DCR|4VULN|1DMG|1MLV	1LHND|2CGEN|358aVULN|4LWND|6DMG|7MLV|9RCR
69	53161 25432	   	232.35	DCR|DCR|1VULN|2DUR	16DUR|2BBNT|3LWND|4MBVNT|5AAC|7SPLREG|8aRCR|9VULN
70	62161 25432	   	232.35	DCR|DCR|1VULN|2DUR	1AAC|2LWND|3TBNT|4MBVNT|56DUR|7SPLREG|8aRCR|9VULN
71	16161 25432	   	232.10	DCR|DCR|1VULN|2DUR|1ZMB	1LHND|2ZMB|3TBNT|4MBVNT|56DUR|7SPLREG|8aRCR|9VULN
72	26161 25432	   	232.10	DCR|DCR|1VULN|2DUR|1ZMB	1LWND|2ZMB|3TBNT|4MBVNT|56DUR|7SPLREG|8aRCR|9VULN
73	53511 22282	   	232.10	DCR|DCR|1VULN|2DUR|1ZMB	19DUR|2BBNT|3MGNSTR|4MBVNT|5ZMB|6aRCR|7VULN|8FEWX
74	41624 27313	   	231.24	DCR|DCR|1VULN|1CDMG	14CGEN|2MBVNT|3BEXP|5RMIN|67RCR|8VULN|9LWND|aCDMG
75	41624 27223	   	231.14	DCR|DCR|1VULN|1CDMG	14CGEN|2MBVNT|3BEXP|5RMIN|67RCR|8LEGI|9VULN|aCDMG
