0	Index      	 *	Score 	Summary	Detail	
1	55313 21332	 * 	316.07	DCR|3VULN|2TLV|1LIT|1MLV|1RPLT	18TLV|2RPLT|37aVULN|4LIT|5MLV|6RCR|9BBNT
2	55313 22332	 * 	314.25	DCR|2VULN|2TLV|2LIT|1MLV|1RPLT	18TLV|2RPLT|3aVULN|47LIT|5MLV|6RCR|9BBNT
3	55313 21316	   	313.99	DCR|2VULN|2TLV|1LIT|1MLV|1DMG|1RPLT	18TLV|2RPLT|37VULN|4LIT|5MLV|6RCR|9DUR|aDMG
4	55313 21335	   	313.99	DCR|2VULN|2TLV|1LIT|1MLV|1DMG|1RPLT	18TLV|2RPLT|37VULN|4LIT|5MLV|6RCR|9BBNT|aDMG
5	51211 74542	 * 	310.54	DCR|DCR|2TLV|2DMG|1VULN|1CDMG	13TLV|2CGEN|4MBVNT|57DMG|6VULN|89RCR|aCDMG
6	55313 22316	   	308.11	DCR|2TLV|2LIT|1VULN|1MLV|1DMG|1RPLT	18TLV|2RPLT|3VULN|47LIT|5MLV|6RCR|9DUR|aDMG
7	55313 22335	   	308.11	DCR|2TLV|2LIT|1VULN|1MLV|1DMG|1RPLT	18TLV|2RPLT|3VULN|47LIT|5MLV|6RCR|9BBNT|aDMG
8	56131 22513	 * 	307.71	DCR|DCR|2LIT|1TLV|1VULN	1TLV|28LIT|3NUKE|4LWND|5RPLT|69RCR|7AART|aVULN
9	55313 21111	   	304.33	DCR|2VULN|2TLV|1LIT|1MLV|1DMG|1RPLT	1aTLV|2RPLT|37VULN|4LIT|5MLV|6RCR|8RMIN|9DMG
10	55313 21326	   	304.23	DCR|2VULN|2TLV|1LIT|1MLV|1DMG|1RPLT	18TLV|2RPLT|37VULN|4LIT|5MLV|6RCR|9DUST|aDMG
11	55313 21511	   	304.23	DCR|2VULN|2TLV|1LIT|1MLV|1DMG|1RPLT	1aTLV|2RPLT|37VULN|4LIT|5MLV|6RCR|8ERES|9DMG
12	45313 21311	   	304.23	DCR|2VULN|2TLV|1LIT|1MLV|1DMG|1RPLT	1ERES|2RPLT|37VULN|4LIT|5MLV|6RCR|8aTLV|9DMG
13	65313 21311	   	304.23	DCR|2VULN|2TLV|1LIT|1MLV|1DMG|1RPLT	1AME|2RPLT|37VULN|4LIT|5MLV|6RCR|8aTLV|9DMG
14	55313 21334	   	303.59	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	18TLV|2RPLT|37VULN|4LIT|5MLV|6RCR|9BBNT|aDUR
15	55311 33141	 * 	303.49	DCR|2VULN|2TLV|2DMG|1LIT|1RPLT|1ASPD	17TLV|2RPLT|37VULN|4LIT|5BEXP|67DMG|7BPWR|8AME|9RCR|aASPD
16	55313 21336	   	299.49	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	18TLV|2RPLT|37VULN|4LIT|5MLV|6RCR|9BBNT|aTBNT
17	23113 44623	   	299.15	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1LWND|2AART|3TLV|4VENTOX|5LIT|69RCR|7AAC|8DMG|aVULN
18	55313 22111	   	298.44	DCR|2TLV|2LIT|1VULN|1MLV|1DMG|1RPLT	1aTLV|2RPLT|3VULN|47LIT|5MLV|6RCR|8RMIN|9DMG
19	55313 22326	   	298.34	DCR|2TLV|2LIT|1VULN|1MLV|1DMG|1RPLT	18TLV|2RPLT|3VULN|47LIT|5MLV|6RCR|9DUST|aDMG
20	55313 22511	   	298.34	DCR|2TLV|2LIT|1VULN|1MLV|1DMG|1RPLT	1aTLV|2RPLT|3VULN|47LIT|5MLV|6RCR|8ERES|9DMG
21	45313 22311	   	298.34	DCR|2TLV|2LIT|1VULN|1MLV|1DMG|1RPLT	1ERES|2RPLT|3VULN|47LIT|5MLV|6RCR|8aTLV|9DMG
22	65313 22311	   	298.34	DCR|2TLV|2LIT|1VULN|1MLV|1DMG|1RPLT	1AME|2RPLT|3VULN|47LIT|5MLV|6RCR|8aTLV|9DMG
23	55313 22334	   	297.70	DCR|2TLV|2LIT|1VULN|1MLV|1RPLT	18TLV|2RPLT|3VULN|47LIT|5MLV|6RCR|9BBNT|aDUR
24	51211 74541	   	296.89	DCR|DCR|2TLV|2DMG|1VULN	13TLV|2CGEN|4MBVNT|57DMG|6VULN|89RCR|aFEWX
25	51211 74543	   	296.89	DCR|DCR|2TLV|2DMG|1VULN	13TLV|2CGEN|4MBVNT|57DMG|6VULN|89RCR|aLHND
26	51211 74544	   	296.89	DCR|DCR|2TLV|2DMG|1VULN	13TLV|2CGEN|4MBVNT|57DMG|6VULN|89RCR|aRCVC
27	55313 21313	   	293.93	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	18TLV|2RPLT|37VULN|4LIT|5MLV|6RCR|9DUR|aBEXP
28	55313 21314	   	293.93	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	18TLV|2RPLT|37VULN|4LIT|5MLV|6RCR|9DUR|aAAC
29	55313 21331	   	293.83	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	18TLV|2RPLT|37VULN|4LIT|5MLV|6RCR|9BBNT|aMSLTOX
30	55313 21333	   	293.83	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	18TLV|2RPLT|37VULN|4LIT|5MLV|6RCR|9BBNT|aAME
31	55313 21312	   	293.69	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT|1SELL	18TLV|2RPLT|37VULN|4LIT|5MLV|6RCR|9DUR|aSELL
32	55313 22336	   	293.60	DCR|2TLV|2LIT|1VULN|1MLV|1RPLT	18TLV|2RPLT|3VULN|47LIT|5MLV|6RCR|9BBNT|aTBNT
33	55313 21311	 * 	293.37	DCR|3TLV|2VULN|1LIT|1MLV|1RPLT	18aTLV|2RPLT|37VULN|4LIT|5MLV|6RCR|9DUR
34	51211 17542	   	292.95	DCR|DCR|2TLV|1VULN|1DMG|1CDMG	13TLV|26CGEN|4MBVNT|5DMG|7VULN|89RCR|aCDMG
35	51211 37542	   	292.95	DCR|DCR|2TLV|1VULN|1DMG|1CDMG	13TLV|2CGEN|4MBVNT|5DMG|6DMSP|7VULN|89RCR|aCDMG
36	51311 73542	   	292.95	DCR|DCR|2TLV|1VULN|1DMG|1CDMG	17TLV|2CGEN|3RCVC|4MBVNT|5DMG|6VULN|89RCR|aCDMG
37	23135 52633	   	292.04	DCR|DCR|1TLV|1VULN|1DMG	1LWND|2AART|3TLV|4DUR|5TBNT|6aRCR|7DMG|8VULN|9BBNT
38	53233 52633	   	292.04	DCR|DCR|1TLV|1VULN|1DMG	1TLV|2DUR|3TBNT|4BEXP|5AART|6aRCR|7DMG|8VULN|9BBNT
39	51311 74542	   	289.99	DCR|DCR|2DMG|1TLV|1VULN|1CDMG	1TLV|2CGEN|3RCVC|4MBVNT|57DMG|6VULN|89RCR|aCDMG
40	55311 33142	   	289.84	DCR|2VULN|2TLV|2DMG|1LIT|1RPLT	17TLV|2RPLT|37VULN|4LIT|5BEXP|67DMG|7BPWR|8AME|9RCR|aCGEN
41	55311 33143	   	289.84	DCR|2VULN|2TLV|2DMG|1LIT|1RPLT	17TLV|2RPLT|37VULN|4LIT|5BEXP|67DMG|7BPWR|8AME|9RCR|aFEWX
42	55313 22313	   	288.04	DCR|2TLV|2LIT|1VULN|1MLV|1RPLT	18TLV|2RPLT|3VULN|47LIT|5MLV|6RCR|9DUR|aBEXP
