0	Index      	 *	Score 	Summary	Detail	
1	66212 12633	 * 	315.61	DCR|4VULN|2TLV|2MLV|1ASPD|1CDMG	1268VULN|37TLV|4CDMG|56MLV|6BPWR|9RCR|aASPD
2	66212 12136	 * 	314.89	DCR|3VULN|2TLV|2MLV|1LIT|1CDMG	126VULN|37TLV|4CDMG|56MLV|6BPWR|8RCVC|9RCR|aLIT
3	61112 12636	   	314.89	DCR|3VULN|2TLV|2MLV|1LIT|1CDMG	168VULN|27TLV|3DMSP|4CDMG|56MLV|6BPWR|9RCR|aLIT
4	62212 12636	   	314.89	DCR|3VULN|2TLV|2MLV|1LIT|1CDMG	168VULN|2RCVC|37TLV|4CDMG|56MLV|6BPWR|9RCR|aLIT
5	15113 15532	 * 	313.38	DCR|4VULN|3LIT|2TLV	12RCVC|37TLV|457LIT|679aVULN|7BPWR|8RCR
6	52322 12523	 * 	312.50	DCR|DCR|1TLV|1LIT|1VULN|1RPLT|1CDMG	1RPLT|2CDMG|3RCVC|4LIT|5LHND|69RCR|7VULN|8DUR|aTLV
7	66212 11143	   	307.25	DCR|3VULN|2MLV|1TLV|1LIT|1DMG|1CDMG	126VULN|3TLV|4CDMG|56MLV|6BPWR|7DMG|8RCR|9DUR|aLIT
8	33262 14221	 * 	306.47	DCR|DCR|2LIT|1TLV|1VULN|1MLV	1MLV|2FEWX|3LHND|4TLV|5VULN|68LIT|7aRCR|9FRZFST
9	33162 14221	   	306.37	DCR|DCR|2LIT|1TLV|1VULN|1MLV	1MLV|2FEWX|3LEGI|4TLV|5VULN|68LIT|7aRCR|9FRZFST
10	61631 11312	 * 	305.63	DCR|5VULN|2TLV|1LIT|1ASPD	15679VULN|24TLV|3ASPD|8LIT|aRCR
11	34122 12616	 * 	305.59	DCR|2TLV|2LIT|2DMG|2ASPD|1MLV|1CDMG	1MLV|29ASPD|3CDMG|47LIT|59TLV|6LWND|89DMG|9BPWR|aRCR
12	44633 32221	 * 	305.07	DCR|DCR|2LIT|1TLV|2ASPD|1DMG	15ERES|23ASPD|4TLV|6DMG|78LIT|9aRCR
13	15113 15512	 * 	304.16	DCR|3LIT|2VULN|2TLV|1MLV	12RCVC|37TLV|457LIT|67VULN|7BPWR|8RCR|9MULARM|aMLV
14	61322 21366	   	303.81	DCR|2VULN|2TLV|2LIT|1MLV|2DUR	17VULN|29TLV|3ERES|4MLV|59DUR|6LHND|89LIT|9BPWR|aRCR
15	61322 22136	   	303.81	DCR|2VULN|2TLV|2LIT|1MLV|2DUR	19VULN|28TLV|3ERES|4MLV|58DUR|6LHND|78LIT|8BPWR|aRCR
16	52322 12223	   	302.84	DCR|DCR|1TLV|1LIT|1VULN|1RPLT|1CDMG	1RPLT|2CDMG|3RCVC|4LIT|5LHND|69RCR|7VULN|8LWND|aTLV
17	52322 14323	   	302.84	DCR|DCR|1TLV|1LIT|1VULN|1RPLT|1CDMG	1RPLT|2CDMG|3RCVC|4LIT|5LHND|69RCR|7BEXP|8VULN|aTLV
18	52322 16323	   	302.74	DCR|DCR|1TLV|1LIT|1VULN|1RPLT|1CDMG	1RPLT|2CDMG|3RCVC|4LIT|5LHND|69RCR|7DUST|8VULN|aTLV
19	52211 51323	   	302.64	DCR|DCR|1TLV|1LIT|1VULN|1RPLT|1CDMG	1RPLT|2CDMG|3LHND|48DUST|5LIT|6VULN|79RCR|aTLV
20	52111 51323	   	302.54	DCR|DCR|1TLV|1LIT|1VULN|1RPLT|1CDMG	1RPLT|2CDMG|3LEGI|48DUST|5LIT|6VULN|79RCR|aTLV
21	66212 12631	   	301.96	DCR|4VULN|2TLV|2MLV|1CDMG	1268VULN|37TLV|4CDMG|56MLV|6BPWR|9RCR|aCGEN
22	66212 12632	   	301.96	DCR|4VULN|2TLV|2MLV|1CDMG	1268VULN|37TLV|4CDMG|56MLV|6BPWR|9RCR|aFEWX
23	66212 32313	   	301.95	DCR|3VULN|2TLV|1LIT|1MLV|1CDMG	129VULN|39TLV|4CDMG|5MLV|6RCR|79LHND|8RMIN|9BPWR|aLIT
24	66212 34213	   	301.95	DCR|3VULN|2TLV|1LIT|1MLV|1CDMG	129VULN|39TLV|4CDMG|5MLV|6RCR|7RMIN|89LWND|9BPWR|aLIT
25	66242 32313	   	301.95	DCR|3VULN|2TLV|1LIT|1MLV|1CDMG	129VULN|39TLV|4MLV|5CDMG|6RCR|79LHND|8RMIN|9BPWR|aLIT
26	66212 33113	   	301.85	DCR|3VULN|2TLV|1LIT|1MLV|1CDMG	129VULN|39TLV|4CDMG|5MLV|6RCR|79ZMB|8LEGI|9BPWR|aLIT
27	66242 33113	   	301.85	DCR|3VULN|2TLV|1LIT|1MLV|1CDMG	129VULN|39TLV|4MLV|5CDMG|6RCR|79ZMB|8LEGI|9BPWR|aLIT
28	61613 43321	   	299.83	DCR|2VULN|2TLV|2LIT|1MLV|1ASPD	14VULN|29TLV|3ASPD|5MLV|6ERES|78LIT|aRCR
29	34322 11256	 * 	298.83	DCR|3MLV|2TLV|2LIT|1VULN|1ASPD	134MLV|2ASPD|5VULN|69LIT|78TLV|aRCR
30	61631 11331	   	298.39	DCR|4VULN|2TLV|1LIT|1ASPD	1567VULN|24TLV|3ASPD|8LIT|9DUR|aRCR
31	61322 22122	   	297.67	DCR|2TLV|2LIT|1VULN|1MLV|1DMG|2DUR	1VULN|28TLV|3ERES|4MLV|58DUR|6LHND|78LIT|8BPWR|9RCR|aDMG
32	66212 11123	   	297.59	DCR|3VULN|2MLV|1TLV|1LIT|1DMG|1CDMG	126VULN|3TLV|4CDMG|56MLV|6BPWR|7DMG|8RCR|9LWND|aLIT
33	66212 11133	   	297.59	DCR|3VULN|2MLV|1TLV|1LIT|1DMG|1CDMG	126VULN|3TLV|4CDMG|56MLV|6BPWR|7DMG|8RCR|9LHND|aLIT
