0	Index      	 *	Score 	Summary	Detail	
1	16232 33541	 * 	280.81	DCR|DCR|1TLV|1LIT|1DMG|1CDMG	1CGEN|2CDMG|3TLV|4RPLT|5AAC|6LHND|7LIT|8aRCR|9DMG
2	22453 34323	 * 	272.50	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1VULN|2FEWX|3AAC|4DMG|58BEXP|6CDMG|7TLV|9aRCR
3	22553 34323	   	272.50	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1VULN|2FEWX|3ZMB|4DMG|58BEXP|6CDMG|7TLV|9aRCR
4	23452 34323	   	272.50	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1VULN|28BEXP|3AAC|4DMG|5FEWX|6CDMG|7TLV|9aRCR
5	23552 34323	   	272.50	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1VULN|28BEXP|3ZMB|4DMG|5FEWX|6CDMG|7TLV|9aRCR
6	56313 25223	   	272.40	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1DMG|2CDMG|3BEXP|4AAC|5VULN|6CGEN|7TLV|8AME|9aRCR
7	56233 13223	 * 	268.53	DCR|2TLV|2DMG|1LIT|1MLV|1CDMG|1BBNT	18DMG|2CDMG|3aTLV|4BBNT|5LIT|6DUST|7MLV|9RCR
8	33311 66633	   	267.56	DCR|DCR|1TLV|1VULN|1CDMG|1DUR	1TBNT|2ERES|3VULN|4BEXP|5CDMG|6LWND|7DUR|8aRCR|9TLV
9	16231 41163	 * 	264.13	DCR|2VULN|2TLV|1MLV|1CDMG	1CGEN|2CDMG|38TLV|4RPLT|5AART|6RCR|79VULN|aMLV
10	22162 26361	 * 	262.77	ACR|DCR|1TLV|1LIT|1VULN|1MLV|1CDMG	1VULN|2FEWX|3RCVC|47RCR|5DUST|6MLV|8LIT|9TLV|aCDMG
11	23162 26361	   	262.77	ACR|DCR|1TLV|1LIT|1VULN|1MLV|1CDMG	1VULN|2BEXP|3RCVC|47RCR|5DUST|6MLV|8LIT|9TLV|aCDMG
12	23362 26361	   	262.77	ACR|DCR|1TLV|1LIT|1VULN|1MLV|1CDMG	1VULN|23BEXP|47RCR|5DUST|6MLV|8LIT|9TLV|aCDMG
13	12254 14323	 * 	262.47	DCR|DCR|1TLV|1VULN|1MLV	12CGEN|3VULN|4RPLT|58BEXP|6MLV|7TLV|9aRCR
14	12351 14323	   	262.47	DCR|DCR|1TLV|1VULN|1MLV	12CGEN|38BEXP|4RPLT|5VULN|6MLV|7TLV|9aRCR
15	56213 11123	 * 	260.99	DCR|3VULN|2DMG|1TLV|2CDMG	1aDMG|2aCDMG|3TLV|4BEXP|58aVULN|6MDPS|7DMSP|9RCR|aBPWR
16	56253 12123	   	260.99	DCR|3VULN|2DMG|1TLV|2CDMG	1aDMG|2aCDMG|3TLV|4LHND|58aVULN|6MDPS|7DMSP|9RCR|aBPWR
17	22162 26363	   	258.78	ACR|DCR|1TLV|1LIT|1VULN|1MLV|1DUR	1VULN|2FEWX|3RCVC|47RCR|5DUST|6MLV|8LIT|9TLV|aDUR
18	23162 26363	   	258.78	ACR|DCR|1TLV|1LIT|1VULN|1MLV|1DUR	1VULN|2BEXP|3RCVC|47RCR|5DUST|6MLV|8LIT|9TLV|aDUR
19	23362 26363	   	258.78	ACR|DCR|1TLV|1LIT|1VULN|1MLV|1DUR	1VULN|23BEXP|47RCR|5DUST|6MLV|8LIT|9TLV|aDUR
20	56161 32321	 * 	258.74	DCR|3LIT|1TLV|1VULN|1DMG|1CDMG	1DMG|2CDMG|356LIT|4MDPS|7AAC|8RCR|9VULN|aTLV
21	22126 15326	 * 	253.75	DCR|3VULN|2TLV|1DMG|1BBNT	149VULN|2FEWX|3RCVC|59LWND|6BBNT|79TLV|8RCR|9BPWR|aDMG
22	22231 15326	   	253.75	DCR|3VULN|2TLV|1DMG|1BBNT	169VULN|2FEWX|39LWND|4BBNT|5RCVC|79TLV|8RCR|9BPWR|aDMG
23	23126 15326	   	253.75	DCR|3VULN|2TLV|1DMG|1BBNT	149VULN|2BEXP|3RCVC|59LWND|6BBNT|79TLV|8RCR|9BPWR|aDMG
24	23231 15326	   	253.75	DCR|3VULN|2TLV|1DMG|1BBNT	169VULN|2BEXP|39LWND|4BBNT|5RCVC|79TLV|8RCR|9BPWR|aDMG
25	23326 15326	   	253.75	DCR|3VULN|2TLV|1DMG|1BBNT	149VULN|23BEXP|59LWND|6BBNT|79TLV|8RCR|9BPWR|aDMG
26	21126 15326	   	253.65	DCR|3VULN|2TLV|1DMG|1BBNT	149VULN|2DUST|3RCVC|59LWND|6BBNT|79TLV|8RCR|9BPWR|aDMG
27	21231 15326	   	253.65	DCR|3VULN|2TLV|1DMG|1BBNT	169VULN|2DUST|39LWND|4BBNT|5RCVC|79TLV|8RCR|9BPWR|aDMG
28	56321 31123	 * 	253.09	DCR|2VULN|2TLV|2DMG|1CDMG	1aDMG|2CDMG|3aBEXP|4LEGI|58VULN|6LHND|7aTLV|9RCR|aBPWR
29	53221 23653	 * 	252.62	DCR|2VULN|1TLV|1LIT|1DMG|1DUR|1BBNT	1DMG|2CGEN|3DUR|46VULN|5BELT|7BBNT|8RCR|9LIT|aTLV
30	16231 41161	   	252.01	DCR|2VULN|2TLV|1DMG|1CDMG	1CGEN|2CDMG|38TLV|4RPLT|5AART|6RCR|79VULN|aDMG
