0	Index      	 *	Score 	Summary	Detail	
1	62213 25532	 * 	326.22	DCR|3VULN|2TLV|2MLV|1LIT	189VULN|28TLV|3LIT|4TBNT|5BBNT|6DUR|78MLV|8BPWR|aRCR
2	62213 25512	 * 	324.39	DCR|2VULN|2TLV|2LIT|2MLV	18VULN|28TLV|39LIT|4TBNT|5BBNT|6DUR|78MLV|8BPWR|aRCR
3	62122 33245	 * 	319.63	DCR|3VULN|3LIT|1TLV|2DMG	147VULN|2TLV|3RCVC|578LIT|67DMG|7BPWR|9RCR|aRPLT
4	62122 33241	   	311.32	DCR|3VULN|3LIT|2DMG|1TLV	147VULN|2TLV|3RCVC|578LIT|67DMG|7BPWR|9RCR|aBEXP
5	62122 33242	   	311.32	DCR|3VULN|3LIT|2DMG|1TLV	147VULN|2TLV|3RCVC|578LIT|67DMG|7BPWR|9RCR|aAAC
6	62122 33243	   	311.32	DCR|3VULN|3LIT|1TLV|2DMG	147VULN|2TLV|3aRCVC|578LIT|67DMG|7BPWR|9RCR
7	62122 33244	   	311.32	DCR|3VULN|3LIT|2DMG|1TLV	147VULN|2TLV|3RCVC|578LIT|67DMG|7BPWR|9RCR|aDMSP
8	62122 33246	   	311.22	DCR|3VULN|3LIT|1TLV|2DMG	147VULN|2TLV|3RCVC|578LIT|67DMG|7BPWR|9RCR|aAME
9	54122 33241	 * 	309.72	DCR|3LIT|2VULN|2TLV|2DMG	17TLV|24VULN|3RCVC|578LIT|67DMG|7BPWR|9RCR|aBEXP
10	54122 33242	   	309.72	DCR|3LIT|2VULN|2TLV|2DMG	17TLV|24VULN|3RCVC|578LIT|67DMG|7BPWR|9RCR|aAAC
11	54122 33243	   	309.72	DCR|3LIT|2VULN|2TLV|2DMG	17TLV|24VULN|3aRCVC|578LIT|67DMG|7BPWR|9RCR
12	52321 43415	 * 	309.27	DCR|2VULN|2TLV|2DMG|1LIT|1MLV	19TLV|2CGEN|3MBVNT|49VULN|5LIT|6TBNT|7MLV|89DMG|9BPWR|aRCR
13	62122 31333	 * 	309.09	DCR|3VULN|3DMG|2LIT|1TLV	149VULN|2TLV|3RCVC|59LIT|679DMG|8MDPS|9BPWR|aRCR
14	54122 31333	 * 	307.50	DCR|2VULN|2TLV|3DMG|2LIT	19TLV|24VULN|3RCVC|59LIT|679DMG|8MDPS|9BPWR|aRCR
15	62111 61341	 * 	304.26	DCR|3LIT|2VULN|2TLV|1MLV	19VULN|29TLV|3RCVC|4BEXP|5LHND|679LIT|8RCR|9BPWR|aMLV
16	62113 61341	   	304.26	DCR|3LIT|2VULN|2TLV|1MLV	19VULN|29TLV|3RCVC|4BEXP|5FEWX|679LIT|8RCR|9BPWR|aMLV
17	62131 61341	   	304.26	DCR|3LIT|2VULN|2TLV|1MLV	19VULN|29TLV|3RCVC|4LWND|5LHND|679LIT|8RCR|9BPWR|aMLV
18	62133 61341	   	304.26	DCR|3LIT|2VULN|2TLV|1MLV	19VULN|29TLV|3RCVC|4LWND|5FEWX|679LIT|8RCR|9BPWR|aMLV
19	52324 42337	   	303.72	DCR|2VULN|2TLV|2DMG|1LIT|1MLV	17TLV|2CGEN|3MBVNT|47VULN|5RMIN|67DMG|7BPWR|8MLV|9RCR|aLIT
20	53213 42212	   	301.60	DCR|2VULN|2TLV|2LIT|1MLV	1aTLV|2DUST|3aLIT|4TBNT|5BBNT|6MLV|7MGNSTR|8RCR|9aVULN|aBPWR
21	42521 11114	 * 	296.51	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|24VULN|3TLV|5DUR|6RPLT|7aRCR|8DUST|9LHND
22	42522 11134	   	296.51	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|24VULN|3TLV|5FEWX|6RPLT|7aRCR|8DUST|9DUR
