0	Index      	 *	Score 	Summary	Detail	
1	31441 22211	 * 	282.34	橙橙2伤害1易伤1矿等1全技能	1赏金邻近2矿等3全技能4易伤58伤害6狙击对毒7a核9挖尘
2	15311 24511	 * 	279.40	橙橙2易伤1攻速1暴击	1时间24易伤3暴击5随机矿6敌人爆炸79核8加一a攻速
3	22311 24517	 * 	277.51	橙橙2易伤1伤害1暴击	14易伤2基地爆炸3暴击5随机矿6敌人爆炸79核8加一a伤害
4	23311 24517	   	277.41	橙橙2易伤1伤害1暴击	14易伤2挖尘3暴击5随机矿6敌人爆炸79核8加一a伤害
5	22311 24511	   	271.10	橙橙2易伤1攻速1暴击	14易伤2基地爆炸3暴击5随机矿6敌人爆炸79核8加一a攻速
6	22316 24511	   	271.10	橙橙2易伤1攻速1暴击	14易伤2基地爆炸3暴击5等级6低血量敌人79核8加一a攻速
7	23311 24511	   	271.00	橙橙2易伤1攻速1暴击	14易伤2挖尘3暴击5随机矿6敌人爆炸79核8加一a攻速
8	23316 24511	   	271.00	橙橙2易伤1攻速1暴击	14易伤2挖尘3暴击5等级6低血量敌人79核8加一a攻速
9	31443 22311	   	270.99	橙橙2易伤1矿等1全技能	1赏金邻近2矿等3全技能49易伤5技能6狙击对毒7a核8最后敌人
10	15311 24512	   	265.75	橙橙2易伤1暴击	1时间24易伤3暴击5随机矿6敌人爆炸79核8加一a低血量敌人
11	15311 24513	   	265.75	橙橙2易伤1暴击	1时间24易伤3暴击5随机矿6敌人爆炸79核8加一a雷电
12	15311 24514	   	265.75	橙橙2易伤1暴击	1时间24易伤3暴击5随机矿6a敌人爆炸79核8加一
13	35441 22211	   	264.70	橙橙2伤害1易伤1全技能	1赏金邻近2技能点3全技能4易伤58伤害6狙击对毒7a核9挖尘
14	22311 24518	 * 	263.76	橙橙2易伤2暴击	14易伤2基地爆炸3a暴击5随机矿6敌人爆炸79核8加一
15	23311 24518	   	263.66	橙橙2易伤2暴击	14易伤2挖尘3a暴击5随机矿6敌人爆炸79核8加一
16	22165 22263	 * 	262.50	紫橙2易伤2伤害1平台	1a易伤2a基地爆炸37敌人爆炸4等级56核8平台9a伤害a序列升级
17	23165 22263	   	262.30	紫橙2易伤2伤害1平台	1a易伤2a挖尘37敌人爆炸4等级56核8平台9a伤害a序列升级
18	22311 24512	   	257.45	橙橙2易伤1暴击	14易伤2基地爆炸3暴击5随机矿6敌人爆炸79核8加一a低血量敌人
19	22311 24513	   	257.45	橙橙2易伤1暴击	14易伤2基地爆炸3暴击5随机矿6敌人爆炸79核8加一a雷电
20	22311 24514	   	257.45	橙橙2易伤1暴击	14易伤2基地爆炸3暴击5随机矿6a敌人爆炸79核8加一
21	22316 24512	   	257.45	橙橙2易伤1暴击	14易伤2基地爆炸3暴击5等级6a低血量敌人79核8加一
22	22316 24513	   	257.45	橙橙2易伤1暴击	14易伤2基地爆炸3暴击5等级6低血量敌人79核8加一a最后敌人
23	22316 24514	   	257.45	橙橙2易伤1暴击	14易伤2基地爆炸3暴击5等级6低血量敌人79核8加一a技能
24	22311 24516	   	257.35	橙橙2易伤1暴击	14易伤2基地爆炸3暴击5随机矿6敌人爆炸79核8加一a掉矿
25	23311 24512	   	257.35	橙橙2易伤1暴击	14易伤2挖尘3暴击5随机矿6敌人爆炸79核8加一a低血量敌人
26	23311 24513	   	257.35	橙橙2易伤1暴击	14易伤2挖尘3暴击5随机矿6敌人爆炸79核8加一a雷电
27	23311 24514	   	257.35	橙橙2易伤1暴击	14易伤2挖尘3暴击5随机矿6a敌人爆炸79核8加一
28	23316 24512	   	257.35	橙橙2易伤1暴击	14易伤2挖尘3暴击5等级6a低血量敌人79核8加一
29	23316 24513	   	257.35	橙橙2易伤1暴击	14易伤2挖尘3暴击5等级6低血量敌人79核8加一a最后敌人
30	23316 24514	   	257.35	橙橙2易伤1暴击	14易伤2挖尘3暴击5等级6低血量敌人79核8加一a技能
31	23311 24516	   	257.25	橙橙2易伤1暴击	14易伤2挖尘3暴击5随机矿6敌人爆炸79核8加一a掉矿
32	21531 32461	   	253.36	橙橙2易伤1全技能	14易伤2立即金币346掉矿4序列升级5赏金塔7全技能8a核9基地爆炸
33	35443 22311	   	253.36	橙橙2易伤1全技能	1赏金邻近2技能点3全技能49易伤5技能6狙击对毒7a核8最后敌人
34	34512 11241	   	252.92	紫橙2易伤1伤害1全技能	1赏金邻近2伤害35易伤4a核6时间7寒冰对甲8掉矿9全技能
