0	Index      	 *	Score 	Summary	Detail	
1	36631 32161	 * 	295.38	橙橙2易伤2暴击1攻速1平台	15易伤2平台34暴击6攻速7挖尘8a核9时间
2	35351 33131	 * 	294.30	橙橙3易伤2时间1攻速1策反	124易伤24序列升级34时间5策反6攻速7加一8a核9敌人爆炸
3	35351 33181	 * 	294.30	橙橙3易伤2时间1攻速1策反	124易伤24序列升级34时间5策反6攻速7加一8a核9基地爆炸
4	33451 33171	 * 	287.75	橙橙3易伤1攻速1策反	134易伤24基地爆炸4序列升级5策反6攻速7加一8a核9时间
5	35151 33171	 * 	287.75	橙橙3易伤1攻速1策反	124易伤24序列升级34最后敌人5策反6攻速7加一8a核9时间
6	32331 62355	   	283.29	橙橙2易伤1矿等1攻速	14易伤2赏金邻近3攻速5时间6矿等7额外掉落8a核9掉矿
7	31323 31278	 * 	281.29	橙橙2易伤1伤害1矿等	14易伤2挖尘3伤害5基地爆炸6低血量敌人7加一8a核9矿等
8	33451 33131	 * 	279.44	橙橙3易伤1攻速1策反	134易伤24基地爆炸4序列升级5策反6攻速7加一8a核9敌人爆炸
9	35151 33131	 * 	279.44	橙橙3易伤1攻速1策反	124易伤24序列升级34最后敌人5策反6攻速7加一8a核9敌人爆炸
10	33226 52313	   	279.20	橙橙2易伤1矿等1平台	19易伤2基地爆炸3平台4加一5挖尘6时间7a核8矿等
11	33226 74313	   	279.20	橙橙2易伤1矿等1平台	19易伤2基地爆炸3平台4加一5挖尘6a核7时间8矿等
12	35431 31161	   	279.01	橙橙2易伤1攻速1暴击2卖塔	12易伤2序列升级37卖塔4暴击5基地爆炸6攻速8a核9时间
13	35433 31161	   	279.01	橙橙2易伤1攻速1暴击2卖塔	12易伤2序列升级37卖塔4暴击5敌人爆炸6攻速8a核9时间
14	33132 13551	   	278.60	橙橙1易伤1伤害1矿等1暴击1平台	1易伤2基地爆炸35金币生成4暴击6矿等7a核8平台9伤害
15	33133 13551	   	278.60	橙橙1易伤1伤害1矿等1暴击1平台	1易伤2基地爆炸3金币生成4暴击5立即金币6矿等7a核8平台9伤害
16	33222 72683	 * 	275.60	橙橙3易伤1平台	179易伤2基地爆炸3平台4加一5最后敌人6a核8等级
17	32331 65115	 * 	274.03	橙3易伤2伤害2攻速1矿等2时间	148易伤2赏金邻近38攻速59时间6矿等78伤害8序列升级a核
18	36633 16131	   	273.28	橙橙2易伤2暴击1平台1策反	17易伤2平台34暴击5基地爆炸6策反8a核9敌人爆炸
19	21462 44542	   	272.07	橙橙2易伤1伤害	1时间2挖尘36易伤4基地爆炸5加一79核8伤害a赏金塔
20	21462 44543	   	272.07	橙橙2易伤1伤害	1时间2挖尘36易伤4基地爆炸5加一79核8伤害a等级
21	21462 46242	   	272.07	橙橙2易伤1伤害	1时间2挖尘36易伤4基地爆炸5加一7伤害89核a赏金塔
22	21462 46243	   	272.07	橙橙2易伤1伤害	1时间2挖尘36易伤4基地爆炸5加一7伤害89核a等级
23	21462 44541	   	271.97	橙橙2易伤1伤害1挖怪	1时间2挖尘36易伤4基地爆炸5加一79核8伤害a挖怪
