0	Index      	 *	Score 	Summary	Detail	
1	23362 22642	 * 	255.00	橙2散射对甲2易伤2全技能2攻速1伤害1技能	1技能29全技能37易伤47散射对甲5立即金币67攻速7序列升级8核a伤害
2	23362 22651	   	252.57	橙2散射对甲2易伤2攻速1全技能1伤害1暴击1技能	1技能2全技能37易伤47散射对甲5立即金币67攻速7序列升级8核9伤害a暴击
3	23362 22622	   	238.92	橙2散射对甲2易伤2攻速1全技能1伤害1技能	1技能2全技能37易伤47散射对甲59立即金币67攻速7序列升级8核a伤害
4	23362 22652	   	238.92	橙2散射对甲2易伤2攻速1全技能1伤害1技能	1技能2全技能37易伤47散射对甲5立即金币67攻速7序列升级8核9伤害a技能点
5	23362 22653	   	238.82	橙2散射对甲2易伤2攻速1全技能1伤害1技能	1技能2全技能37易伤47散射对甲5立即金币67攻速7序列升级8核9伤害a防空对甲
6	23362 22662	 * 	238.02	橙2散射对甲3易伤2攻速1全技能1技能	1技能2全技能37a易伤47散射对甲5立即金币67攻速7序列升级8核9平台
7	23361 14343	 * 	236.48	橙2散射对甲2易伤1双倍秒伤2伤害1全技能1技能1时间	1技能2全技能3a易伤4a散射对甲5等级6双倍秒伤7时间8核9a伤害a序列升级
8	23362 22612	   	234.93	橙2散射对甲2易伤2全技能2攻速1技能	1技能2a全技能37易伤47散射对甲5立即金币67攻速7序列升级8核9低血量敌人
9	23362 22632	   	234.93	橙2散射对甲2易伤2全技能2攻速1技能	1技能2a全技能37易伤47散射对甲5立即金币67攻速7序列升级8核9最后敌人
10	23362 22641	   	234.93	橙2散射对甲2易伤2全技能2攻速1技能	1技能29全技能37易伤47散射对甲5立即金币67攻速7序列升级8核a最后敌人
11	23362 22643	   	234.83	橙2散射对甲2易伤2全技能2攻速1技能	1技能29全技能37易伤47散射对甲5立即金币67攻速7序列升级8核a挖尘
12	23362 22345	   	230.83	橙2散射对甲2易伤2全技能2攻速1技能	1技能29全技能37易伤47散射对甲5立即金币67攻速7序列升级8挖尘a核
13	23362 22626	   	229.19	橙2散射对甲2易伤2攻速1全技能1技能1策反	1技能2全技能37易伤47散射对甲59立即金币67攻速7序列升级8核a策反
14	23361 11243	   	227.48	橙2散射对甲2易伤1双倍秒伤2伤害1全技能1技能	1技能2全技能3a易伤4a散射对甲5等级6双倍秒伤7核8敌人爆炸9a伤害a序列升级
15	13315 31165	 * 	225.89	橙3易伤1全技能1核弹1攻速1暴击1时间	1随机矿2全技能347易伤5攻速6时间8暴击9核a核弹
