0	Index      	 *	Score 	Summary	Detail	
1	33335 13753	 * 	289.25	DCR|DCR|3VULN|1CDMG|1RPLT	134VULN|2RMIN|5LWND|6MBVNT|79RCR|8RPLT|aCDMG
2	33322 53643	   	280.86	DCR|DCR|2VULN|1ASPD|1CDMG|1RPLT	13VULN|2RMIN|4AAC|5LHND|6ASPD|79RCR|8RPLT|aCDMG
3	33335 13751	   	275.60	DCR|DCR|3VULN|1RPLT	134VULN|2aRMIN|5LWND|6MBVNT|79RCR|8RPLT
4	33335 13752	   	275.60	DCR|DCR|3VULN|1RPLT	134VULN|2RMIN|5LWND|6MBVNT|79RCR|8RPLT|aBBNT
5	33335 13754	   	275.50	DCR|DCR|3VULN|1RPLT|1MSE	134VULN|2RMIN|5LWND|6MBVNT|79RCR|8RPLT|aMSE
6	33311 12355	 * 	269.85	ACR|DCR|4VULN|1ASPD	1379VULN|2RMIN|4aRCR|5LWND|6MGNSTR|8ASPD
7	33313 12355	   	269.85	ACR|DCR|4VULN|1ASPD	1379VULN|2RMIN|4aRCR|5LHND|6MGNSTR|8ASPD
8	33411 12355	   	269.85	ACR|DCR|4VULN|1ASPD	1379VULN|2RMIN|3BPWR|4aRCR|5LWND|6MGNSTR|8ASPD
9	33413 12355	   	269.85	ACR|DCR|4VULN|1ASPD	1379VULN|2RMIN|3BPWR|4aRCR|5LHND|6MGNSTR|8ASPD
10	33322 53641	   	267.21	DCR|DCR|2VULN|1ASPD|1RPLT	13VULN|2aRMIN|4AAC|5LHND|6ASPD|79RCR|8RPLT
11	33322 53642	   	267.21	DCR|DCR|2VULN|1ASPD|1RPLT	13VULN|2RMIN|4AAC|5LHND|6ASPD|79RCR|8RPLT|aBBNT
12	33322 63643	   	266.96	DCR|DCR|2VULN|1CDMG|1RPLT|1ZMB	13VULN|2RMIN|4AAC|5LHND|6ZMB|79RCR|8RPLT|aCDMG
13	61261 42412	   	266.91	DCR|DCR|2VULN|1ASPD|1AART	1ERES|2ASPD|3MBVNT|4AART|5BBNT|68VULN|7aRCR|9SPLARM
14	61261 42452	   	266.91	DCR|DCR|2VULN|1ASPD|1AART	1ERES|2ASPD|3MBVNT|4AART|5BBNT|68VULN|7aRCR|9CANSTR
15	61267 32412	   	266.91	DCR|DCR|2VULN|1ASPD|1AART	1ERES|2ASPD|3MBVNT|4AART|58VULN|6TBNT|7aRCR|9SPLARM
16	33311 12345	 * 	263.13	ACR|DCR|3VULN|2ASPD	137VULN|2RMIN|4aRCR|5LWND|6MGNSTR|89ASPD
17	33313 12345	   	263.13	ACR|DCR|3VULN|2ASPD	137VULN|2RMIN|4aRCR|5LHND|6MGNSTR|89ASPD
18	33411 12345	   	263.13	ACR|DCR|3VULN|2ASPD	137VULN|2RMIN|3BPWR|4aRCR|5LWND|6MGNSTR|89ASPD
19	33413 12345	   	263.13	ACR|DCR|3VULN|2ASPD	137VULN|2RMIN|3BPWR|4aRCR|5LHND|6MGNSTR|89ASPD
20	33311 24753	   	260.44	ACR|DCR|3VULN|1CDMG|1RPLT	137VULN|2RMIN|49RCR|57LWND|6MBVNT|7BPWR|8RPLT|aCDMG
21	33411 24753	   	260.44	ACR|DCR|3VULN|1CDMG|1RPLT	137VULN|2RMIN|37BPWR|49RCR|57LWND|6MBVNT|8RPLT|aCDMG
