0	Index      	 *	Score 	Summary	Detail	
1	31215 11225	 * 	287.54	DCR|3VULN|3DMG|2MLV|3ZMB|1RPLT	18aDMG|2aMLV|389ZMB|4MDPS|58aVULN|6RPLT|7RCR|8aBPWR
2	46341 42118	 * 	279.49	DCR|DCR|3VULN|1CDMG	1LWND|2DUST|3MBVNT|4CDMG|568VULN|7aRCR|9FEWX
3	46341 42148	   	279.49	DCR|DCR|3VULN|1CDMG	1LWND|2DUST|3MBVNT|4CDMG|568VULN|7aRCR|9LHND
4	46341 42218	   	274.78	DCR|DCR|2VULN|1MLV|1CDMG	1LWND|2DUST|3MBVNT|4CDMG|56VULN|7aRCR|8MLV|9AME
5	21341 43248	 * 	263.76	DCR|DCR|2VULN|1DMG	1LEGI|2aLWND|3MBVNT|4BBNT|5DMG|6aVULN|79RCR|8aERES|aBPWR
6	32516 33242	   	263.76	DCR|DCR|2VULN|1DMG	1DMG|2LWND|3MBVNT|4FEWX|5aVULN|6TBNT|79RCR|8ERES
7	32524 43242	   	263.76	DCR|DCR|2VULN|1DMG	1DMG|2LWND|3MBVNT|4BBNT|5BEXP|6aVULN|79RCR|8ERES
8	32526 43242	   	263.76	DCR|DCR|2VULN|1DMG	1DMG|2LWND|3MBVNT|4BBNT|5FEWX|6aVULN|79RCR|8ERES
9	21341 43242	   	263.66	DCR|DCR|2VULN|1DMG	1LEGI|2LWND|3MBVNT|4BBNT|5DMG|6aVULN|79RCR|8ERES
10	35132 13654	 * 	262.64	DCR|DCR|2DMG|1MLV|1CDMG	12DMG|3FEWX|4MLV|5CDMG|6DUR|7LWND|8MBVNT|9aRCR
11	31621 11435	   	258.46	DCR|DCR|1DMG|1MLV|1ASPD|1CDMG|1SELL	1DMG|2MLV|3CDMG|4SELL|5MDPS|6RCVC|7ASPD|8aRCR|9DUR
