0	Index      	 *	Score 	Summary	Detail	
1	56133 24126	 * 	275.62	DCR|DCR|2VULN|1MLV|1RPLT	1BBNT|2RPLT|3MBVNT|4MLV|5SNITOX|69VULN|7aRCR|8CGEN
2	31451 41212	   	269.70	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1LIT|2CDMG|3VULN|4AART|5CGEN|68RCR|7TBNT|9MLV|aDUR
3	31451 42212	   	269.70	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1LIT|2CDMG|3VULN|4AART|5CGEN|68RCR|7BBNT|9MLV|aDUR
4	31451 41211	   	269.16	DCR|DCR|1VULN|2AART|1MLV|1CDMG	1LIT|2CDMG|3VULN|4aAART|5CGEN|68RCR|7TBNT|9MLV
5	31451 42211	   	269.16	DCR|DCR|1VULN|2AART|1MLV|1CDMG	1LIT|2CDMG|3VULN|4aAART|5CGEN|68RCR|7BBNT|9MLV
6	56232 41311	 * 	267.01	DCR|3VULN|2DMG|2ASPD|1AART|1RPLT	1BBNT|2RPLT|3AART|48DMG|58aVULN|6RCR|78ASPD|8BPWR|9FLTARM
7	56232 41322	   	266.91	DCR|3VULN|2DMG|2ASPD|1AART|1RPLT	1BBNT|2RPLT|3AART|48DMG|58aVULN|6RCR|78ASPD|8BPWR|9DUST
8	33243 11624	   	266.59	DCR|DCR|2VULN|1AART	1LIT|2AAC|3LHND|4BELT|5DUR|6AART|78RCR|9aVULN
9	46221 16231	 * 	263.23	DCR|4VULN|2MLV|2ASPD	17MLV|2579VULN|3AIRARM|4TLV|67ASPD|7BPWR|8AAC|aRCR
10	45221 21232	 * 	262.63	ACR|DCR|2VULN|2MLV|1RPLT	1aMLV|2TLV|3aVULN|4CGEN|59RCR|6RPLT|7ERES|8aLWND|aBPWR
11	31451 41213	   	261.39	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1LIT|2CDMG|3VULN|4AART|5CGEN|68RCR|7TBNT|9MLV|aLWND
12	31451 42213	   	261.39	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1LIT|2CDMG|3VULN|4AART|5CGEN|68RCR|7BBNT|9MLV|aLWND
13	21515 33321	 * 	260.71	ACR|DCR|3MLV|1VULN|1CDMG	1DUST|2aRCR|3DUR|479MLV|5VULN|6RMIN|8CDMG
14	43121 36511	   	259.84	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2DUR|3LHND|4ERES|5LWND|6CDMG|7aRCR|8VULN|9DUST
15	33242 11624	   	258.29	DCR|DCR|2VULN|1AART	1LIT|2AAC|3LHND|4BELT|5LWND|6AART|78RCR|9aVULN
16	41253 13263	 * 	257.80	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1MLV|2CGEN|3VULN|4DLOT|5ZMB|6TBNT|7DMG|8aRCR|9AAC
17	42312 34331	   	257.40	DCR|DCR|1VULN|1MLV|1AART|1RPLT	1MLV|2LWND|3AART|4RPLT|5TBNT|6BBNT|79RCR|8CGEN|aVULN
