0	Index      	 *	Score 	Summary	Detail	
1	41333 61363	 * 	282.24	DCR|DCR|2VULN|1DMG|1CDMG	18VULN|2BBNT|3CDMG|4LWND|5SNITOX|6TBNT|7DMG|9aRCR
2	31426 12433	   	281.36	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1AART	1DMSP|2ASPD|3DMG|4AART|5VULN|69RCR|7LIT|8LEGI|aMLV
3	51322 23152	 * 	274.88	DCR|4VULN|2DMG|2MLV	18MLV|2BEXP|368aVULN|4TLV|5FEWX|78DMG|8BPWR|9RCR
4	51326 23152	   	274.88	DCR|4VULN|2DMG|2MLV	18MLV|2BEXP|368aVULN|4TLV|5LHND|78DMG|8BPWR|9RCR
5	46231 21152	   	274.78	DCR|4VULN|2DMG|2MLV	148aVULN|2MDPS|3DMSP|48BPWR|58DMG|6AAC|78MLV|9RCR
6	51342 23152	   	274.78	DCR|4VULN|2DMG|2MLV	18MLV|2BEXP|368aVULN|4LHND|5ERES|78DMG|8BPWR|9RCR
7	55332 23152	   	274.78	DCR|4VULN|2DMG|2MLV	18MLV|2LWND|368aVULN|4ERES|5FEWX|78DMG|8BPWR|9RCR
8	51321 11152	   	272.15	DCR|4VULN|2MLV|1DMG|2DUR	18MLV|2BEXP|378aVULN|4TLV|5DMG|68DUR|8BPWR|9RCR
9	51331 11152	   	272.15	DCR|4VULN|2MLV|1DMG|2DUR	18MLV|2BEXP|378aVULN|4CGEN|5DMG|68DUR|8BPWR|9RCR
10	55331 11152	   	272.05	DCR|4VULN|2MLV|1DMG|2DUR	18MLV|2LWND|378aVULN|4ERES|5DMG|68DUR|8BPWR|9RCR
11	26323 22263	   	270.48	DCR|DCR|2VULN|1CDMG	1BBNT|2DUR|3CDMG|4AAC|56VULN|7TSLARM|8TBNT|9aRCR
12	41323 42263	   	270.48	DCR|DCR|2VULN|1CDMG	15VULN|2BBNT|3CDMG|4AAC|6VENTOX|7DUR|8TBNT|9aRCR
13	51322 23153	 * 	270.38	DCR|3VULN|3DMG|2MLV	18MLV|2BEXP|368VULN|4TLV|5FEWX|78aDMG|8BPWR|9RCR
14	51326 23153	   	270.38	DCR|3VULN|3DMG|2MLV	18MLV|2BEXP|368VULN|4TLV|5LHND|78aDMG|8BPWR|9RCR
15	46231 21153	   	270.28	DCR|3VULN|3DMG|2MLV	148VULN|2MDPS|3DMSP|48BPWR|58aDMG|6AAC|78MLV|9RCR
16	51342 23153	   	270.28	DCR|3VULN|3DMG|2MLV	18MLV|2BEXP|368VULN|4LHND|5ERES|78aDMG|8BPWR|9RCR
17	55332 23153	   	270.28	DCR|3VULN|3DMG|2MLV	18MLV|2LWND|368VULN|4ERES|5FEWX|78aDMG|8BPWR|9RCR
18	16114 23325	 * 	269.86	DCR|DCR|1VULN|2ASPD|1CDMG|1RPLT	1FEWX|2SNITOX|3RPLT|4CDMG|5TBNT|6aASPD|79RCR|8VULN
19	51321 11153	   	269.59	DCR|3VULN|2DMG|2MLV|2DUR	18MLV|2BEXP|378VULN|4TLV|5aDMG|68DUR|8BPWR|9RCR
20	51331 11153	   	269.59	DCR|3VULN|2DMG|2MLV|2DUR	18MLV|2BEXP|378VULN|4CGEN|5aDMG|68DUR|8BPWR|9RCR
21	55331 11153	   	269.49	DCR|3VULN|2DMG|2MLV|2DUR	18MLV|2LWND|378VULN|4ERES|5aDMG|68DUR|8BPWR|9RCR
22	36134 63274	 * 	268.78	DCR|DCR|1VULN|1DMG|2CDMG	1DMSP|2AAC|3MBVNT|4VULN|5DMG|6DUR|7aRCR|89CDMG
23	36134 84474	   	268.78	DCR|DCR|1VULN|1DMG|2CDMG	1DMSP|2AAC|3MBVNT|4VULN|5DMG|69CDMG|7DUR|8aRCR
24	33412 56213	 * 	268.60	DCR|3VULN|3MLV|2DMG	1DMSP|248MLV|3aDMG|589VULN|68DUST|7RCR|8BPWR
25	36134 33383	   	267.81	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1DMSP|2AAC|3MBVNT|4VULN|5DMG|6ASPD|79RCR|8CDMG|aRCVC
26	36134 33384	   	267.81	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1DMSP|2AAC|3MBVNT|4VULN|5DMG|6ASPD|79RCR|8CDMG|aLIT
27	36134 33387	   	267.81	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1DMSP|2AAC|3MBVNT|4VULN|5DMG|6ASPD|79RCR|8CDMG|aTBNT
28	31341 51152	 * 	267.74	DCR|4VULN|2DMG|2ASPD	1DMSP|28ASPD|3CGEN|4MDPS|58DMG|678aVULN|8BPWR|9RCR
29	36134 33381	   	267.71	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1DMSP|2AAC|3MBVNT|4VULN|5DMG|6ASPD|79RCR|8CDMG|aAME
30	36134 33382	   	267.71	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1DMSP|2AAC|3MBVNT|4VULN|5DMG|6ASPD|79RCR|8CDMG|aMSLREG
31	36134 33385	   	267.71	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1ZMB	1DMSP|2AAC|3MBVNT|4VULN|5DMG|6ASPD|79RCR|8CDMG|aZMB
32	36134 33386	   	267.71	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1DMSP|2AAC|3MBVNT|4VULN|5DMG|6ASPD|79RCR|8CDMG|aDUST
33	36134 33388	   	267.71	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1MSE	1DMSP|2AAC|3MBVNT|4VULN|5DMG|6ASPD|79RCR|8CDMG|aMSE
34	31541 31152	   	267.64	DCR|4VULN|2DMG|2ASPD	1DMSP|28ASPD|3AME|4MDPS|58DMG|678aVULN|8BPWR|9RCR
35	52123 36134	   	265.96	DCR|DCR|2VULN|1MLV	1MLV|26VULN|3TLV|4AME|59AAC|7aRCR|8MSLREG
36	51322 23151	   	264.39	DCR|3VULN|2DMG|2MLV|1RPLT	18MLV|2BEXP|368VULN|4TLV|5FEWX|78DMG|8BPWR|9RCR|aRPLT
37	51326 23151	   	264.39	DCR|3VULN|2DMG|2MLV|1RPLT	18MLV|2BEXP|368VULN|4TLV|5LHND|78DMG|8BPWR|9RCR|aRPLT
38	46231 21151	   	264.29	DCR|3VULN|2DMG|2MLV|1RPLT	148VULN|2MDPS|3DMSP|48BPWR|58DMG|6AAC|78MLV|9RCR|aRPLT
39	51342 23151	   	264.29	DCR|3VULN|2DMG|2MLV|1RPLT	18MLV|2BEXP|368VULN|4LHND|5ERES|78DMG|8BPWR|9RCR|aRPLT
40	55332 23151	   	264.29	DCR|3VULN|2DMG|2MLV|1RPLT	18MLV|2LWND|368VULN|4ERES|5FEWX|78DMG|8BPWR|9RCR|aRPLT
41	31426 12531	   	263.92	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1DMSP|2ASPD|3DMG|4AART|5VULN|69RCR|7LIT|8BEXP|aBELT
42	31426 12532	   	263.92	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1DMSP|2ASPD|3DMG|4AART|5VULN|69RCR|7LIT|8BEXP|aCGEN
43	31426 12533	   	263.92	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1DMSP|2ASPD|3DMG|4AART|5VULN|69RCR|7LIT|8BEXP|aRMIN
44	31426 12431	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1DMSP|2ASPD|3DMG|4AART|5VULN|69RCR|7LIT|8LEGI|aFEWX
45	31426 12432	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1DMSP|2ASPD|3DMG|4AART|5VULN|69RCR|7LIT|8LEGI|aCGEN
46	36134 33728	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	19DMSP|2AAC|3MBVNT|4VULN|5DMG|6ASPD|7aRCR|8RPLT
47	16114 23326	   	263.72	DCR|DCR|1VULN|2CDMG|1ASPD|1RPLT	1FEWX|2SNITOX|3RPLT|4aCDMG|5TBNT|6ASPD|79RCR|8VULN
48	51322 26152	 * 	263.33	DCR|4VULN|2MLV|2ASPD	18MLV|2BEXP|368aVULN|4TLV|5FEWX|78ASPD|8BPWR|9RCR
