0	Index      	 *	Score 	Summary	Detail	
1	33415 12523	 * 	297.73	DCR|DCR|3VULN|1MLV	1RCVC|2MLV|358VULN|45AME|5BPWR|6aRCR|7DUR|9BLAICY
2	33425 12341	 * 	290.35	DCR|3VULN|3DMG|2MLV|3DUR	1RCVC|2aMLV|359VULN|45aDMG|5aBPWR|6RCR|78aDUR
3	33425 12522	 * 	283.09	DCR|4VULN|2DMG|2MLV	1RCVC|2aMLV|358aVULN|45DMG|5aBPWR|6RCR|7DUR|9aSPLREG
4	33415 12323	   	280.81	DCR|DCR|2VULN|1MLV|2DUR	1RCVC|2MLV|35VULN|45AME|5BPWR|6aRCR|78DUR|9BLAICY
5	13125 62361	 * 	279.27	ACR|DCR|2VULN|1DMG|1MLV|1ASPD	16RCR|2LHND|3ASPD|4CGEN|5DMG|7DUR|8MLV|9aVULN
6	33415 12423	   	274.27	DCR|DCR|2VULN|1MLV	18RCVC|2MLV|35VULN|45AME|5BPWR|6aRCR|7DUR|9BLAICY
7	33432 12523	   	274.27	DCR|DCR|2VULN|1MLV	14RCVC|2MLV|38VULN|5ERES|6aRCR|7DUR|9BLAICY
8	12662 22611	 * 	271.74	ACR|DCR|2VULN|2DMG|2DUR|2ZMB	17RCR|29ZMB|39VULN|4BLASTR|5aDUR|6MBVNT|89DMG|9BPWR
9	13125 61361	   	270.97	ACR|DCR|2VULN|1DMG|1MLV|1ASPD	16RCR|2LHND|3ASPD|4CGEN|5DMG|7FEWX|8MLV|9aVULN
10	13125 64311	   	270.97	ACR|DCR|2VULN|1DMG|1MLV|1ASPD	16RCR|27LHND|3ASPD|4CGEN|5DMG|8MLV|9aVULN
11	33425 14212	   	270.48	DCR|3VULN|3DMG|2MLV	1RCVC|28MLV|358VULN|458DMG|58BPWR|6RCR|7AAC|9FEWX|aLIT
12	33425 14213	   	270.48	DCR|3VULN|3DMG|2MLV	1RCVC|28MLV|358VULN|458DMG|58BPWR|6RCR|7AAC|9FEWX|aLWND
13	33425 14221	   	270.48	DCR|3VULN|3DMG|2MLV	19RCVC|28MLV|358VULN|458DMG|58BPWR|6RCR|7AAC|aLWND
14	33425 15212	   	270.48	DCR|3VULN|3DMG|2MLV	1RCVC|28MLV|358VULN|458DMG|58BPWR|6RCR|7RMIN|9FEWX|aLIT
15	33425 15213	   	270.48	DCR|3VULN|3DMG|2MLV	1RCVC|28MLV|358VULN|458DMG|58BPWR|6RCR|7RMIN|9FEWX|aLWND
16	33425 15221	   	270.48	DCR|3VULN|3DMG|2MLV	19RCVC|28MLV|358VULN|458DMG|58BPWR|6RCR|7RMIN|aLWND
17	33425 14211	   	270.38	DCR|3VULN|3DMG|2MLV|1ZMB	1RCVC|28MLV|358VULN|458DMG|58BPWR|6RCR|7AAC|9FEWX|aZMB
18	33425 14222	   	270.38	DCR|3VULN|3DMG|2MLV	19RCVC|28MLV|358VULN|458DMG|58BPWR|6RCR|7AAC|aDUST
19	33425 14223	   	270.38	DCR|3VULN|3DMG|2MLV	19RCVC|28MLV|358VULN|458DMG|58BPWR|6RCR|7AAC|aERES
20	33425 14232	   	270.38	DCR|3VULN|3DMG|2MLV	1RCVC|28MLV|358VULN|458DMG|58BPWR|6RCR|7AAC|9DUST|aLIT
21	33425 14233	   	270.38	DCR|3VULN|3DMG|2MLV	1RCVC|28MLV|358VULN|458DMG|58BPWR|6RCR|7AAC|9DUST|aLWND
22	33425 15211	   	270.38	DCR|3VULN|3DMG|2MLV|1ZMB	1RCVC|28MLV|358VULN|458DMG|58BPWR|6RCR|7RMIN|9FEWX|aZMB
23	33425 15222	   	270.38	DCR|3VULN|3DMG|2MLV	19RCVC|28MLV|358VULN|458DMG|58BPWR|6RCR|7RMIN|aDUST
24	33425 15223	   	270.38	DCR|3VULN|3DMG|2MLV	19RCVC|28MLV|358VULN|458DMG|58BPWR|6RCR|7RMIN|aERES
25	33425 15232	   	270.38	DCR|3VULN|3DMG|2MLV	1RCVC|28MLV|358VULN|458DMG|58BPWR|6RCR|7RMIN|9DUST|aLIT
26	33425 15233	   	270.38	DCR|3VULN|3DMG|2MLV	1RCVC|28MLV|358VULN|458DMG|58BPWR|6RCR|7RMIN|9DUST|aLWND
27	33425 14231	   	270.28	DCR|3VULN|3DMG|2MLV|1ZMB	1RCVC|28MLV|358VULN|458DMG|58BPWR|6RCR|7AAC|9DUST|aZMB
28	33425 15231	   	270.28	DCR|3VULN|3DMG|2MLV|1ZMB	1RCVC|28MLV|358VULN|458DMG|58BPWR|6RCR|7RMIN|9DUST|aZMB
29	33425 11511	   	270.18	DCR|3VULN|3DMG|2MLV	1RCVC|2aMLV|358VULN|45aDMG|5aBPWR|6RCR|79aDUST
30	33425 12322	   	269.49	DCR|3VULN|2DMG|2MLV|2DUR	1RCVC|2aMLV|35aVULN|45DMG|5aBPWR|6RCR|78DUR|9aSPLREG
31	33351 21261	 * 	268.80	DCR|3VULN|3MLV|2DMG	1RCVC|258MLV|3BBNT|4RMIN|58BPWR|68DMG|789VULN|aRCR
32	33624 21261	   	268.80	DCR|3VULN|3MLV|2DMG	1RCVC|238MLV|38BPWR|4AAC|5BBNT|68DMG|789VULN|aRCR
33	33425 14122	   	268.28	DCR|3VULN|2DMG|2MLV|1ASPD	1RCVC|2aMLV|35aVULN|45DMG|5aBPWR|6RCR|7AAC|8ASPD|9aSPLREG
34	33425 15122	   	268.28	DCR|3VULN|2DMG|2MLV|1ASPD	1RCVC|2aMLV|35aVULN|45DMG|5aBPWR|6RCR|7RMIN|8ASPD|9aSPLREG
