0	Index      	 *	Score 	Summary	Detail	
1	62223 11152	 * 	287.07	DCR|DCR|2VULN|3DUR|1CDMG|1RPLT	134DUR|2RPLT|5BBNT|6aRCR|78VULN|9CDMG
2	26246 33233	 * 	283.57	DCR|DCR|3VULN|1MLV	1AAC|249VULN|34LHND|4BPWR|5ERES|6aRCR|7MLV|8LWND
3	26626 33233	   	283.47	DCR|DCR|3VULN|1MLV	1AAC|239VULN|4LHND|5ERES|6aRCR|7MLV|8LWND
4	21646 33313	 * 	277.14	DCR|DCR|2VULN|2MLV	1AAC|24BEXP|34VULN|4BPWR|57MLV|6aRCR|8LWND|9CGEN
5	22646 33313	   	277.14	DCR|DCR|2VULN|2MLV	1AAC|24FEWX|34VULN|4BPWR|57MLV|6aRCR|8LWND|9CGEN
6	26346 33313	   	277.14	DCR|DCR|2VULN|2MLV	1AAC|24VULN|34FEWX|4BPWR|57MLV|6aRCR|8LWND|9CGEN
7	26636 33313	   	277.04	DCR|DCR|2VULN|2MLV	1AAC|23VULN|4BEXP|57MLV|6aRCR|8LWND|9CGEN
8	51362 34313	   	274.98	DCR|DCR|2VULN|1MLV|1ASPD	1MLV|2RMIN|3ERES|47VULN|5ASPD|6aRCR|8LWND|9CGEN
9	12543 21112	 * 	273.52	DCR|DCR|2VULN|1DMG|1RPLT	1DUST|2RPLT|3RMIN|4DMG|5AAC|69RCR|7LSRICY|8aVULN
10	51533 33343	 * 	270.90	DCR|DCR|2MLV|1VULN|1DMG	17MLV|2RMIN|3VULN|45FEWX|6aRCR|8LWND|9DMG
11	41351 31224	   	269.53	DCR|DCR|2VULN|1MLV	1LHND|2TLV|35VULN|4MDPS|6MLV|7MSLTOX|8aRCR|9DUR
12	62211 24216	   	267.97	DCR|DCR|2VULN|2DUR|1RPLT|1ZMB	13DUR|2RPLT|47VULN|59ERES|6ZMB|8aRCR
13	26246 32233	   	265.94	DCR|DCR|3VULN	1AAC|249VULN|34LHND|4BPWR|5ERES|6aRCR|7AME|8LWND
14	26626 32233	   	265.84	DCR|DCR|3VULN	1AAC|239VULN|4LHND|5ERES|6aRCR|7AME|8LWND
15	51362 33313	   	264.39	DCR|DCR|2MLV|1VULN|1ASPD	17MLV|2RMIN|3ERES|4VULN|5ASPD|6aRCR|8LWND|9CGEN
16	51552 33313	   	264.39	DCR|DCR|2MLV|1VULN|1ASPD	17MLV|2RMIN|3VULN|4ERES|5ASPD|6aRCR|8LWND|9CGEN
17	24533 34313	   	261.43	DCR|DCR|2VULN|1MLV	1AAC|2MLV|37VULN|45FEWX|6aRCR|8LWND|9CGEN
18	33421 34253	   	261.43	DCR|DCR|2VULN|1MLV	1RCVC|2AAC|3TLV|47VULN|5LWND|6aRCR|8FEWX|9MLV
19	33321 33633	   	261.33	DCR|DCR|2VULN|1MLV	1RCVC|2AAC|3ERES|49VULN|5LWND|6aRCR|7MLV|8FEWX
20	33321 34653	   	261.33	DCR|DCR|2VULN|1MLV	1RCVC|2AAC|3ERES|47VULN|5LWND|6aRCR|8FEWX|9MLV
21	33321 35553	   	261.33	DCR|DCR|2VULN|1MLV	1RCVC|2AAC|3ERES|48VULN|5LWND|6aRCR|7LHND|9MLV
22	33421 34353	   	261.33	DCR|DCR|2VULN|1MLV	1RCVC|2AAC|3TLV|47VULN|5LWND|6aRCR|8LEGI|9MLV
23	62311 24216	   	261.32	DCR|DCR|2VULN|1RPLT|1ZMB	1DUR|2RPLT|3AELOIC|47VULN|59ERES|6ZMB|8aRCR
24	33321 34453	   	261.23	DCR|DCR|2VULN|1MLV	1RCVC|2AAC|3ERES|47VULN|5LWND|6aRCR|8DUST|9MLV
25	34522 33223	 * 	261.23	DCR|DCR|1VULN|2ASPD|1MLV	1RCVC|2ERES|3VULN|4LHND|59ASPD|6aRCR|7MLV|8LWND
26	34532 33223	   	261.23	DCR|DCR|1VULN|2ASPD|1MLV	1RCVC|2ERES|3VULN|4BEXP|59ASPD|6aRCR|7MLV|8LWND
27	36552 33223	   	261.23	DCR|DCR|1VULN|2ASPD|1MLV	1RCVC|2FEWX|3VULN|4ERES|59ASPD|6aRCR|7MLV|8LWND
28	51362 32223	   	261.13	DCR|DCR|1VULN|2ASPD|1MLV	1MLV|2RMIN|3ERES|4VULN|59ASPD|6aRCR|7AME|8LWND
29	51552 32223	   	261.13	DCR|DCR|1VULN|2ASPD|1MLV	1MLV|2RMIN|3VULN|4ERES|59ASPD|6aRCR|7AME|8LWND
30	31526 34313	   	261.08	DCR|DCR|2VULN|1MLV|1ZMB	1RCVC|2DUST|37VULN|4ZMB|5MLV|6aRCR|8LWND|9CGEN
31	62223 11352	   	260.87	DCR|DCR|1VULN|3DUR|1CDMG|1RPLT	134DUR|2RPLT|5BBNT|6aRCR|7VULN|8DMSP|9CDMG
32	62223 11652	   	260.87	DCR|DCR|1VULN|3DUR|1CDMG|1RPLT	134DUR|2RPLT|5BBNT|6aRCR|7VULN|8RCVC|9CDMG
33	25521 34133	   	258.75	DCR|DCR|2VULN|2DUR	1AAC|2LWND|35CGEN|45DUR|5BPWR|6aRCR|79VULN|8ERES
34	34522 34313	   	257.45	DCR|DCR|2VULN|1ASPD	1RCVC|2ERES|37VULN|4LHND|5ASPD|6aRCR|8LWND|9CGEN
35	34522 34333	   	257.45	DCR|DCR|2VULN|1ASPD	1RCVC|2ERES|37VULN|4LHND|5ASPD|6aRCR|8LWND|9TLV
36	34532 34313	   	257.45	DCR|DCR|2VULN|1ASPD	1RCVC|2ERES|37VULN|4BEXP|5ASPD|6aRCR|8LWND|9CGEN
37	31552 34313	   	257.35	DCR|DCR|2VULN|1ASPD	1RCVC|2DUST|37VULN|4ERES|5ASPD|6aRCR|8LWND|9CGEN
