0	Index      	 *	Score 	Summary	Detail	
1	16335 11224	 * 	298.08	ACR|DCR|3VULN|2DMG|1MLV|1SELL|1ZMB	189VULN|28DMG|3MLV|4ZMB|5aRCR|6SELL|78CGEN|8BPWR
2	15321 15315	 * 	293.11	DCR|DCR|2VULN|1DMG|2DUR	17VULN|2AART|3FEWX|4MBVNT|5aDUR|6DMG|89RCR
3	15321 45315	   	286.69	DCR|DCR|2VULN|2DUR|1ASPD	16VULN|2AART|3FEWX|4MBVNT|5aDUR|7ASPD|89RCR
4	15321 15313	   	286.56	DCR|DCR|2VULN|1DMG	17VULN|2AART|3FEWX|4MBVNT|5DUR|6DMG|89RCR|aCGEN
5	15321 15314	   	286.56	DCR|DCR|2VULN|1DMG	17VULN|2AART|3FEWX|4MBVNT|5DUR|6DMG|89RCR|aTLV
6	15321 15316	   	286.56	DCR|DCR|2VULN|1DMG	17VULN|2AART|3FEWX|4MBVNT|5DUR|6DMG|89RCR|aLWND
7	15321 15317	   	286.56	DCR|DCR|2VULN|1DMG	17VULN|2AART|3FEWX|4MBVNT|5DUR|6DMG|89RCR|aRCVC
8	15321 15318	   	286.56	DCR|DCR|2VULN|1DMG	17VULN|2AART|3aFEWX|4MBVNT|5DUR|6DMG|89RCR
9	35421 15313	   	286.56	DCR|DCR|2VULN|1DMG	1LWND|2AART|37VULN|4MBVNT|5DUR|6DMG|89RCR|aCGEN
10	35421 15314	   	286.56	DCR|DCR|2VULN|1DMG	1LWND|2AART|37VULN|4MBVNT|5DUR|6DMG|89RCR|aTLV
11	15321 15311	   	286.46	DCR|DCR|2VULN|1DMG|1MSE	17VULN|2AART|3FEWX|4MBVNT|5DUR|6DMG|89RCR|aMSE
12	15321 15312	   	286.46	DCR|DCR|2VULN|1DMG	17VULN|2AART|3FEWX|4MBVNT|5DUR|6DMG|89RCR|aDUST
13	35421 15311	   	286.46	DCR|DCR|2VULN|1DMG|1MSE	1LWND|2AART|37VULN|4MBVNT|5DUR|6DMG|89RCR|aMSE
14	35421 15312	   	286.46	DCR|DCR|2VULN|1DMG	1LWND|2AART|37VULN|4MBVNT|5DUR|6DMG|89RCR|aDUST
15	21163 36224	   	282.04	DCR|DCR|2VULN|1DMG|1CDMG	1NUKE|2AELOIC|3CDMG|4ERES|56VULN|7aRCR|8CGEN|9DMG
16	11522 12232	 * 	280.63	ACR|DCR|2VULN|1DMG|1MLV|1CDMG	19VULN|2FEWX|3LIT|4RPLT|58RCR|6CDMG|7MLV|aDMG
17	13522 12232	   	280.63	ACR|DCR|2VULN|1DMG|1MLV|1CDMG	19VULN|2BEXP|3LIT|4RPLT|58RCR|6CDMG|7MLV|aDMG
18	15321 45313	   	280.14	DCR|DCR|2VULN|1ASPD	16VULN|2AART|3FEWX|4MBVNT|5DUR|7ASPD|89RCR|aCGEN
19	15321 45314	   	280.14	DCR|DCR|2VULN|1ASPD	16VULN|2AART|3FEWX|4MBVNT|5DUR|7ASPD|89RCR|aTLV
20	15321 45316	   	280.14	DCR|DCR|2VULN|1ASPD	16VULN|2AART|3FEWX|4MBVNT|5DUR|7ASPD|89RCR|aLWND
21	15321 45317	   	280.14	DCR|DCR|2VULN|1ASPD	16VULN|2AART|3FEWX|4MBVNT|5DUR|7ASPD|89RCR|aRCVC
22	15321 45318	   	280.14	DCR|DCR|2VULN|1ASPD	16VULN|2AART|3aFEWX|4MBVNT|5DUR|7ASPD|89RCR
23	15321 45311	   	280.04	DCR|DCR|2VULN|1ASPD|1MSE	16VULN|2AART|3FEWX|4MBVNT|5DUR|7ASPD|89RCR|aMSE
24	15321 45312	   	280.04	DCR|DCR|2VULN|1ASPD	16VULN|2AART|3FEWX|4MBVNT|5DUR|7ASPD|89RCR|aDUST
25	15327 15313	   	278.25	DCR|DCR|2VULN|1DMG	17VULN|2AART|3FEWX|4MBVNT|5LHND|6DMG|89RCR|aCGEN
26	15327 15314	   	278.25	DCR|DCR|2VULN|1DMG	17VULN|2AART|3FEWX|4MBVNT|5LHND|6DMG|89RCR|aTLV
27	35326 15313	   	278.25	DCR|DCR|2VULN|1DMG	1LWND|2AART|3FEWX|4MBVNT|57VULN|6DMG|89RCR|aCGEN
28	35326 15314	   	278.25	DCR|DCR|2VULN|1DMG	1LWND|2AART|3FEWX|4MBVNT|57VULN|6DMG|89RCR|aTLV
29	15327 15311	   	278.15	DCR|DCR|2VULN|1DMG|1MSE	17VULN|2AART|3FEWX|4MBVNT|5LHND|6DMG|89RCR|aMSE
30	15327 15312	   	278.15	DCR|DCR|2VULN|1DMG	17VULN|2AART|3FEWX|4MBVNT|5LHND|6DMG|89RCR|aDUST
31	35326 15311	   	278.15	DCR|DCR|2VULN|1DMG|1MSE	1LWND|2AART|3FEWX|4MBVNT|57VULN|6DMG|89RCR|aMSE
32	35326 15312	   	278.15	DCR|DCR|2VULN|1DMG	1LWND|2AART|3FEWX|4MBVNT|57VULN|6DMG|89RCR|aDUST
33	13333 55533	   	278.01	DCR|DCR|2VULN|1DMG|1ZMB	17VULN|2BEXP|3ZMB|4DMG|5SNIFST|6aRCR|8RPLT|9CGEN
34	14131 25384	   	276.80	DCR|DCR|2VULN|1DMG	1aVULN|2MBVNT|3ERES|4DMG|5BBNT|6RMIN|79RCR|8DUR
35	21163 36234	   	275.63	DCR|DCR|2VULN|1ASPD|1CDMG	1NUKE|2AELOIC|3CDMG|4ERES|56VULN|7aRCR|8CGEN|9ASPD
36	16211 62312	 * 	275.14	ACR|DCR|2VULN|2DMG	1aVULN|27DMG|3RPLT|48RCR|5SPLARM|6CANTOX|9DUR
37	14321 18833	   	272.94	DCR|DCR|2VULN|2DUR	13VULN|2MBVNT|48DUR|5BBNT|6RPLT|7CANTOX|9aRCR
38	15326 25313	   	271.84	DCR|DCR|2VULN|1ASPD	15VULN|2AART|3FEWX|4MBVNT|6BEXP|7ASPD|89RCR|aCGEN
39	15326 25314	   	271.84	DCR|DCR|2VULN|1ASPD	15VULN|2AART|3FEWX|4MBVNT|6BEXP|7ASPD|89RCR|aTLV
40	15326 35313	   	271.84	DCR|DCR|2VULN|1ASPD	15VULN|2AART|3FEWX|4MBVNT|6LHND|7ASPD|89RCR|aCGEN
41	15326 35314	   	271.84	DCR|DCR|2VULN|1ASPD	15VULN|2AART|3FEWX|4MBVNT|6LHND|7ASPD|89RCR|aTLV
42	15326 45313	   	271.84	DCR|DCR|2VULN|1ASPD	15VULN|2AART|3FEWX|4MBVNT|6LWND|7ASPD|89RCR|aCGEN
43	15326 45314	   	271.84	DCR|DCR|2VULN|1ASPD	15VULN|2AART|3FEWX|4MBVNT|6LWND|7ASPD|89RCR|aTLV
44	15326 25311	   	271.74	DCR|DCR|2VULN|1ASPD|1MSE	15VULN|2AART|3FEWX|4MBVNT|6BEXP|7ASPD|89RCR|aMSE
45	15326 25312	   	271.74	DCR|DCR|2VULN|1ASPD	15VULN|2AART|3FEWX|4MBVNT|6BEXP|7ASPD|89RCR|aDUST
46	15326 35311	   	271.74	DCR|DCR|2VULN|1ASPD|1MSE	15VULN|2AART|3FEWX|4MBVNT|6LHND|7ASPD|89RCR|aMSE
47	15326 35312	   	271.74	DCR|DCR|2VULN|1ASPD	15VULN|2AART|3FEWX|4MBVNT|6LHND|7ASPD|89RCR|aDUST
48	15326 45311	   	271.74	DCR|DCR|2VULN|1ASPD|1MSE	15VULN|2AART|3FEWX|4MBVNT|6LWND|7ASPD|89RCR|aMSE
49	15326 45312	   	271.74	DCR|DCR|2VULN|1ASPD	15VULN|2AART|3FEWX|4MBVNT|6LWND|7ASPD|89RCR|aDUST
50	34341 71473	   	271.35	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1SELL	1LWND|2MBVNT|3VULN|4SELL|5FRZFST|6MLV|7aRCR|8DMG|9ASPD
51	34821 22384	   	268.59	DCR|DCR|2VULN|1DMG	1LWND|2MBVNT|3DMG|4CGEN|5BBNT|6RMIN|7aVULN|89RCR
52	34822 22384	   	268.59	DCR|DCR|2VULN|1DMG	1LWND|2MBVNT|3DMG|4CGEN|5TBNT|6RMIN|7aVULN|89RCR
53	12121 16384	   	268.49	DCR|DCR|2VULN|1DMG	1aVULN|2LWND|3ERES|4CGEN|5BBNT|6MBVNT|7DMG|89RCR
54	12126 16384	   	268.49	DCR|DCR|2VULN|1DMG	1aVULN|2LWND|3ERES|4CGEN|5TBNT|6MBVNT|7DMG|89RCR
55	14131 24384	   	268.49	DCR|DCR|2VULN|1DMG	1aVULN|2MBVNT|3ERES|4DMG|5BBNT|6RMIN|7BEXP|89RCR
56	14131 25284	   	268.49	DCR|DCR|2VULN|1DMG	1aVULN|2MBVNT|3ERES|4DMG|5BBNT|6RMIN|79RCR|8LWND
57	14131 28384	   	268.49	DCR|DCR|2VULN|1DMG	1aVULN|2MBVNT|3ERES|4DMG|5BBNT|6RMIN|7LHND|89RCR
58	14151 14484	   	268.49	DCR|DCR|2VULN|1DMG	1aVULN|2MBVNT|3ERES|4BBNT|5LWND|6RMIN|79RCR|8DMG
59	14182 14484	   	268.49	DCR|DCR|2VULN|1DMG	1aVULN|2MBVNT|3ERES|4LHND|5TBNT|6RMIN|79RCR|8DMG
60	14247 41384	   	268.49	DCR|DCR|2VULN|1DMG	1aVULN|2MBVNT|3BEXP|4CGEN|5DMG|6AME|7BBNT|89RCR
61	14253 34484	   	268.49	DCR|DCR|2VULN|1DMG	1aVULN|2MBVNT|3BEXP|4BBNT|5RMIN|6ERES|79RCR|8DMG
62	33121 16384	   	268.49	DCR|DCR|2VULN|1DMG	1LWND|2aVULN|3ERES|4CGEN|5BBNT|6MBVNT|7DMG|89RCR
63	33126 16384	   	268.49	DCR|DCR|2VULN|1DMG	1LWND|2aVULN|3ERES|4CGEN|5TBNT|6MBVNT|7DMG|89RCR
64	34131 22384	   	268.49	DCR|DCR|2VULN|1DMG	1LWND|2MBVNT|3ERES|4DMG|5BBNT|6RMIN|7aVULN|89RCR
65	34132 22384	   	268.49	DCR|DCR|2VULN|1DMG	1LWND|2MBVNT|3ERES|4DMG|5TBNT|6RMIN|7aVULN|89RCR
66	34821 32384	   	268.49	DCR|DCR|2VULN|1DMG	1LWND|2MBVNT|3DMG|4CGEN|5BBNT|6ERES|7aVULN|89RCR
67	34822 32384	   	268.49	DCR|DCR|2VULN|1DMG	1LWND|2MBVNT|3DMG|4CGEN|5TBNT|6ERES|7aVULN|89RCR
68	34841 22384	   	268.49	DCR|DCR|2VULN|1DMG	1LWND|2MBVNT|3DMG|4ERES|5BBNT|6RMIN|7aVULN|89RCR
69	34842 22384	   	268.49	DCR|DCR|2VULN|1DMG	1LWND|2MBVNT|3DMG|4ERES|5TBNT|6RMIN|7aVULN|89RCR
70	14112 14484	   	268.39	DCR|DCR|2VULN|1DMG	1aVULN|2MBVNT|3ERES|4DUST|5TBNT|6RMIN|79RCR|8DMG
71	14131 81384	   	268.39	DCR|DCR|2VULN|1DMG	1aVULN|2MBVNT|3ERES|4DMG|5BBNT|6DUST|7CGEN|89RCR
72	14141 44484	   	268.39	DCR|DCR|2VULN|1DMG	1aVULN|2MBVNT|3ERES|4RMIN|5BBNT|6DUST|79RCR|8DMG
73	54131 22384	   	268.39	DCR|DCR|2VULN|1DMG	1DUST|2MBVNT|3ERES|4DMG|5BBNT|6RMIN|7aVULN|89RCR
74	54132 22384	   	268.39	DCR|DCR|2VULN|1DMG	1DUST|2MBVNT|3ERES|4DMG|5TBNT|6RMIN|7aVULN|89RCR
75	14117 41384	   	268.29	DCR|DCR|2VULN|1DMG	1aVULN|2MBVNT|3ERES|4DUST|5DMG|6AME|7BBNT|89RCR
