0	Index      	 *	Score 	Summary	Detail	
1	33121 14116	 * 	284.54	DCR|DCR|2VULN|1MLV|1CDMG|1AART	1AART|2RCVC|3CDMG|49VULN|5MLV|6aRCR|7MBVNT|8LSRREG
2	11435 32133	 * 	279.59	DCR|DCR|3VULN|1CDMG	1CGEN|256VULN|36CANARM|4RMIN|6BPWR|7LIT|89RCR|aCDMG
3	31542 23115	 * 	278.50	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1AART	1AART|2VULN|3DMG|4ASPD|5MLV|6ERES|7LIT|8TBNT|9aRCR
4	11531 33133	   	275.08	DCR|DCR|2VULN|1MLV|1CDMG	134CGEN|23VULN|3BPWR|5BASARM|6LIT|7MLV|89RCR|aCDMG
5	11533 33133	   	275.08	DCR|DCR|2VULN|1MLV|1CDMG	134CGEN|23VULN|3BPWR|5LSRREG|6LIT|7MLV|89RCR|aCDMG
6	11131 33133	   	274.98	DCR|DCR|2VULN|1MLV|1CDMG	14CGEN|23VULN|5BASARM|6LIT|7MLV|89RCR|aCDMG
7	11133 33133	   	274.98	DCR|DCR|2VULN|1MLV|1CDMG	14CGEN|23VULN|5LSRREG|6LIT|7MLV|89RCR|aCDMG
8	11466 33133	   	274.98	DCR|DCR|2VULN|1MLV|1CDMG	15CGEN|24VULN|3CANARM|6LIT|7MLV|89RCR|aCDMG
9	11511 51115	   	274.34	DCR|DCR|3VULN	13CGEN|236VULN|3BPWR|4LWND|5LHND|7aRCR|8MBVNT|9DUR
10	11111 51115	   	274.24	DCR|DCR|3VULN	1CGEN|236VULN|4LWND|5LHND|7aRCR|8MBVNT|9DUR
11	11114 41115	   	274.14	DCR|DCR|3VULN	1CGEN|235VULN|4LWND|6LEGI|7aRCR|8MBVNT|9DUR
12	31312 36366	 * 	271.89	DCR|3VULN|2DMG|2MLV|1ASPD|1AART	1AART|27aVULN|3RMIN|4AME|57MLV|67DMG|7BPWR|8ASPD|9RCR
13	31346 31261	   	270.63	DCR|DCR|1VULN|1DMG|1ASPD|1AART|1RPLT	1AART|2VULN|3RMIN|4ASPD|5BBNT|6DMG|7RPLT|8aRCR|9MGNSTR
14	31116 35533	   	267.01	DCR|DCR|2VULN|1CDMG|1AART	1AART|2aVULN|3CGEN|4AME|5BBNT|68RCR|7ERES|9CDMG
15	33125 14116	   	267.01	DCR|DCR|2VULN|1CDMG|1AART	1AART|2RCVC|3CDMG|49VULN|5TLV|6aRCR|7MBVNT|8LSRREG
16	33123 14116	   	266.91	DCR|DCR|2VULN|1CDMG|1AART	1AART|2RCVC|3CDMG|49VULN|5AME|6aRCR|7MBVNT|8LSRREG
17	33123 14416	   	266.91	DCR|DCR|2VULN|1CDMG|1AART	1AART|2RCVC|3CDMG|49VULN|5AME|6aRCR|7MBVNT|8BLASTR
18	42413 22371	   	266.64	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1MDPS|2RPLT|3CGEN|4MLV|5MBVNT|68RCR|7DUR|9VULN|aCDMG
19	11514 31125	   	265.94	DCR|DCR|3VULN	13CGEN|235VULN|3BPWR|4LWND|6DUST|7aRCR|8MBVNT|9FEWX
20	11521 51125	   	265.94	DCR|DCR|3VULN	13CGEN|236VULN|3BPWR|4DUST|5LHND|7aRCR|8MBVNT|9FEWX
21	11114 61125	   	265.94	DCR|DCR|3VULN	1CGEN|235VULN|4LWND|6BEXP|7aRCR|8MBVNT|9FEWX
22	11124 41125	   	265.84	DCR|DCR|3VULN	1CGEN|235VULN|4DUST|6LHND|7aRCR|8MBVNT|9FEWX
23	11111 51165	   	265.84	DCR|DCR|3VULN	1CGEN|236VULN|4LWND|5LHND|7aRCR|8MBVNT|9DUST
24	11111 51175	   	265.84	DCR|DCR|3VULN	1CGEN|236VULN|4LWND|5LHND|7aRCR|8MBVNT|9LEGI
25	11114 31125	   	265.84	DCR|DCR|3VULN	1CGEN|235VULN|4LWND|6DUST|7aRCR|8MBVNT|9FEWX
26	11114 41145	   	265.84	DCR|DCR|3VULN	1CGEN|235VULN|4LWND|6LEGI|7aRCR|8MBVNT|9LHND
27	11121 51125	   	265.84	DCR|DCR|3VULN	1CGEN|236VULN|4DUST|5LHND|7aRCR|8MBVNT|9FEWX
28	11435 32131	   	265.84	DCR|DCR|3VULN	1CGEN|256VULN|36CANARM|4RMIN|6BPWR|7LIT|89RCR|aMDPS
29	11435 32132	   	265.84	DCR|DCR|3VULN|1MSE	1CGEN|256VULN|36CANARM|4RMIN|6BPWR|7LIT|89RCR|aMSE
30	11435 32134	   	265.84	DCR|DCR|3VULN	1CGEN|256VULN|36CANARM|4RMIN|6BPWR|7LIT|89RCR|aAME
31	11435 32135	   	265.84	DCR|DCR|3VULN	1CGEN|256VULN|36CANARM|4RMIN|6BPWR|7LIT|89RCR|aDUST
32	11435 32136	   	265.84	DCR|DCR|3VULN|1SELL	1CGEN|256VULN|36CANARM|4RMIN|6BPWR|7LIT|89RCR|aSELL
33	32111 43263	 * 	264.12	DCR|4VULN|3ASPD|3DUR|1AART	1AART|279ASPD|3FRZFST|4579VULN|679DUR|79BPWR|8MDPS|aRCR
34	32511 43263	   	264.12	DCR|4VULN|3ASPD|3DUR|1AART	1AART|279ASPD|3FLTFST|4579VULN|679DUR|79BPWR|8MDPS|aRCR
35	11531 33131	   	261.33	DCR|DCR|2VULN|1MLV	134CGEN|23VULN|3BPWR|5BASARM|6LIT|7MLV|89RCR|aMDPS
36	11531 33132	   	261.33	DCR|DCR|2VULN|1MLV|1MSE	134CGEN|23VULN|3BPWR|5BASARM|6LIT|7MLV|89RCR|aMSE
37	11531 33134	   	261.33	DCR|DCR|2VULN|1MLV	134CGEN|23VULN|3BPWR|5BASARM|6LIT|7MLV|89RCR|aAME
38	11531 33135	   	261.33	DCR|DCR|2VULN|1MLV	134CGEN|23VULN|3BPWR|5BASARM|6LIT|7MLV|89RCR|aDUST
39	11531 33136	   	261.33	DCR|DCR|2VULN|1MLV|1SELL	134CGEN|23VULN|3BPWR|5BASARM|6LIT|7MLV|89RCR|aSELL
40	11533 33131	   	261.33	DCR|DCR|2VULN|1MLV	134CGEN|23VULN|3BPWR|5LSRREG|6LIT|7MLV|89RCR|aMDPS
41	11533 33132	   	261.33	DCR|DCR|2VULN|1MLV|1MSE	134CGEN|23VULN|3BPWR|5LSRREG|6LIT|7MLV|89RCR|aMSE
42	11533 33134	   	261.33	DCR|DCR|2VULN|1MLV	134CGEN|23VULN|3BPWR|5LSRREG|6LIT|7MLV|89RCR|aAME
43	11533 33135	   	261.33	DCR|DCR|2VULN|1MLV	134CGEN|23VULN|3BPWR|5LSRREG|6LIT|7MLV|89RCR|aDUST
44	11533 33136	   	261.33	DCR|DCR|2VULN|1MLV|1SELL	134CGEN|23VULN|3BPWR|5LSRREG|6LIT|7MLV|89RCR|aSELL
45	53224 22135	   	261.33	DCR|DCR|2VULN|1MLV	14FEWX|25VULN|3MLV|6aRCR|7LWND|8MBVNT|9LHND
46	53224 31135	   	261.33	DCR|DCR|2VULN|1MLV	14FEWX|25VULN|3MLV|6LHND|7aRCR|8MBVNT|9LWND
47	11131 33131	   	261.23	DCR|DCR|2VULN|1MLV	14CGEN|23VULN|5BASARM|6LIT|7MLV|89RCR|aMDPS
48	11131 33132	   	261.23	DCR|DCR|2VULN|1MLV|1MSE	14CGEN|23VULN|5BASARM|6LIT|7MLV|89RCR|aMSE
49	11131 33134	   	261.23	DCR|DCR|2VULN|1MLV	14CGEN|23VULN|5BASARM|6LIT|7MLV|89RCR|aAME
