0	Index      	 *	Score 	Summary	Detail	
1	22536 26313	 * 	273.70	DCR|3VULN|2DMG|2ASPD|3CDMG	138CDMG|23ASPD|38BPWR|468VULN|58DMG|7DLOT|9LHND|aRCR
2	21533 13264	 * 	272.23	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1CDMG|2VULN|3RPLT|4CGEN|5DMG|6aRCR|7DUR|8LHND|9FEWX
3	21533 13364	   	272.13	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1CDMG|2VULN|3RPLT|4CGEN|5DMG|6aRCR|7DUR|8DUST|9FEWX
4	21533 13334	   	272.03	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1CDMG|2VULN|3RPLT|4CGEN|5DMG|6aRCR|7DUR|8DUST|9LEGI
5	21533 12314	   	269.12	DCR|DCR|1VULN|1DMG|2RPLT|1CDMG	1CDMG|2VULN|38RPLT|4CGEN|5DMG|6aRCR|7RCVC|9TBNT
6	36341 32122	 * 	268.49	DCR|DCR|2VULN|3DUR	138DUR|27RMIN|4aVULN|5AAC|69RCR
7	22533 31253	   	268.43	DCR|3VULN|2ASPD|3CDMG|1MLV|2DUR	13aCDMG|23ASPD|3aBPWR|49aVULN|5FRZFST|6MLV|7aDUR|8RCR
8	21533 11264	   	263.92	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1CDMG|2VULN|3RPLT|4CGEN|5DMG|6aRCR|7LWND|8LHND|9FEWX
9	21533 11364	   	263.82	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1CDMG|2VULN|3RPLT|4CGEN|5DMG|6aRCR|7LWND|8DUST|9FEWX
10	21533 12144	   	263.82	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1CDMG|2VULN|3RPLT|4CGEN|5DMG|6aRCR|7RCVC|8LHND|9MDPS
11	21533 14124	   	263.72	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1CDMG|2VULN|3RPLT|4CGEN|5DMG|6aRCR|7MDPS|8RMIN|9ERES
12	21533 14214	   	263.72	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1CDMG|2VULN|3RPLT|4CGEN|5DMG|6aRCR|7MDPS|8DUST|9DMSP
13	36341 33522	   	263.38	DCR|DCR|2VULN|2DUR	13DUR|2RMIN|4aVULN|5AAC|69RCR|7DUST|8TBNT
14	21423 31253	   	262.29	DCR|3VULN|2ASPD|2CDMG|1MLV|2DUR	1aCDMG|249VULN|3aASPD|5FRZFST|6MLV|7aDUR|8RCR|aBPWR
15	33434 11314	 * 	261.58	DCR|DCR|2ASPD|2CDMG|2RPLT|2DUR	17DUR|27CDMG|37ASPD|48RPLT|5RMIN|6aRCR|7BPWR|9BBNT
16	33434 11334	   	261.58	DCR|DCR|2ASPD|2CDMG|2RPLT|2DUR	17DUR|27CDMG|37ASPD|48RPLT|5RMIN|6aRCR|7BPWR|9TBNT
17	21133 54236	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1CDMG|2VULN|3MLV|4BEXP|5RPLT|6LIT|7aRCR|8CANARM|9LEGI
18	33224 33144	   	260.75	DCR|DCR|2ASPD|1MLV|1CDMG|1RPLT	1DUR|2CDMG|3LHND|48ASPD|5MDPS|6RPLT|7aRCR|9MLV
