0	Index      	 *	Score 	Summary	Detail	
1	15414 48348	 * 	286.08	DCR|DCR|2VULN|3ASPD	14aASPD|2MBVNT|34VULN|4BPWR|5BEXP|69RCR|7RMIN|8MDPS
2	15261 22451	 * 	285.94	DCR|DCR|1VULN|2ASPD|1DMG|1AART|1RPLT	17ASPD|2MBVNT|3AART|4BEXP|5RPLT|6VULN|89RCR|aDMG
3	15414 48341	   	284.29	DCR|DCR|2VULN|2ASPD|1RPLT	14ASPD|2MBVNT|34VULN|4BPWR|5BEXP|69RCR|7RMIN|8MDPS|aRPLT
4	15414 48344	   	284.29	DCR|DCR|2VULN|2ASPD|1AART	14ASPD|2MBVNT|34VULN|4BPWR|5BEXP|69RCR|7RMIN|8MDPS|aAART
5	15348 36342	   	274.73	DCR|DCR|2VULN|2ASPD	18ASPD|2MBVNT|38LHND|4LIT|5CGEN|68VULN|7aRCR|8BPWR|9BASICY
6	15484 46342	   	274.73	DCR|DCR|2VULN|2ASPD	18ASPD|2MBVNT|38VULN|4LIT|5LHND|68CGEN|7aRCR|8BPWR|9BASICY
7	15414 48342	   	274.63	DCR|DCR|2VULN|2ASPD	14ASPD|2MBVNT|34VULN|4BPWR|5BEXP|69RCR|7RMIN|8MDPS|aDMSP
8	15414 48343	   	274.63	DCR|DCR|2VULN|2ASPD	14ASPD|2MBVNT|34VULN|4BPWR|5BEXP|69RCR|7RMIN|8MDPS|aFEWX
9	15414 48345	   	274.63	DCR|DCR|2VULN|2ASPD	14ASPD|2MBVNT|34VULN|4BPWR|5BEXP|69RCR|7RMIN|8MDPS|aCGEN
10	15414 48346	   	274.53	DCR|DCR|2VULN|2ASPD	14ASPD|2MBVNT|34VULN|4BPWR|5BEXP|69RCR|7RMIN|8MDPS|aERES
11	15421 48348	   	274.53	DCR|DCR|2VULN|2ASPD	1aASPD|2MBVNT|35VULN|4FEWX|69RCR|7RMIN|8MDPS
12	15261 13451	   	273.49	DCR|DCR|1VULN|1DMG|1ASPD|1AART|1RPLT	1ASPD|2MBVNT|3AART|46BEXP|5RPLT|7VULN|89RCR|aDMG
13	15241 33451	   	273.39	DCR|DCR|1VULN|1DMG|1ASPD|1AART|1RPLT	1ASPD|2MBVNT|3AART|4DUST|5RPLT|6DMSP|7VULN|89RCR|aDMG
14	15421 48341	   	271.74	DCR|DCR|2VULN|1ASPD|1RPLT	1ASPD|2MBVNT|35VULN|4FEWX|69RCR|7RMIN|8MDPS|aRPLT
